期間,收受部門-國外_原始值,收受部門-國外_年增率(%),存款部門-其他貨幣機構_原始值,存款部門-其他貨幣機構_年增率(%),存款部門-保險公司及退休基金_原始值,存款部門-保險公司及退休基金_年增率(%),存款部門-其他金融機構_原始值,存款部門-其他金融機構_年增率(%),存款部門-公營事業_原始值,存款部門-公營事業_年增率(%),存款部門-民營企業_原始值,存款部門-民營企業_年增率(%),存款部門-家庭及非營利團體_原始值,存款部門-家庭及非營利團體_年增率(%)
2006,"1,753,436",7.66,"566,044",8.18,-,--,"11,588",71.19,281,21.12,"33,379",345.36,"1,142,144",4.77
2007,"2,247,113",28.15,"716,151",26.52,526,--,"6,549",-43.49,317,12.81,"27,255",-18.35,"1,496,316",31.01
2008,"2,611,465",16.21,"1,038,456",45.01,"1,503",185.71,"3,408",-47.96,204,-35.65,"5,428",-80.08,"1,562,466",4.42
