期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),商業本票_原始值,商業本票_年增率(%),商業本票_原始值,商業本票_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),國庫券_原始值,國庫券_年增率(%),國庫券_原始值,國庫券_年增率(%)
2003M04,"2,247,816",-8.41,"1,778,932",-2.59,"1,865,581",-13.07,"1,552,044",-7.52,"272,465",-8.76,"131,300",-4.71,"4,853",35.48,"3,761",0.29,"104,917","1,657.40","91,827","1,321.91"
2003M05,"2,224,469",-4.65,"1,698,338",-2.90,"1,788,331",-5.67,"1,448,822",-7.01,"338,735",-9.18,"163,855",-0.72,"3,502",-17.91,"3,144",-19.20,"93,901",57.05,"82,517",275.97
2003M06,"2,066,815",-12.09,"1,686,695",-4.21,"1,692,931",-6.97,"1,381,499",-9.37,"294,706",-43.14,"234,006",6.58,"3,389",-14.87,"2,862",-18.58,"75,789",738.56,"68,328",406.32
2003M07,"2,364,302",-4.31,"1,898,388",-4.12,"1,945,945",-7.98,"1,604,226",-8.06,"334,556",11.08,"207,878",4.36,"4,228",-8.96,"3,873",-6.94,"79,573",58.64,"82,411",159.21
2003M08,"2,301,539",2.62,"1,812,000",5.42,"1,869,973",-2.71,"1,521,134",2.03,"380,999",32.04,"246,505",20.58,"3,959",-8.61,"3,251",-14.22,"46,608",67.95,"41,110",109.13
2003M09,"2,205,426",-2.73,"1,777,324",-0.01,"1,822,260",-2.82,"1,498,261",0.01,"299,842",42.19,"213,750",42.68,"3,437",-16.17,"2,678",-24.54,"79,887",-54.88,"62,635",-50.35
2003M10,"2,211,689",-21.71,"1,941,670",6.36,"1,780,583",-8.76,"1,560,314",-1.06,"380,355",-49.15,"327,824",106.16,"3,452",-13.14,"2,849",-17.75,"47,299",-61.02,"50,683",-41.04
2003M11,"2,159,049",-1.14,"1,882,070",8.82,"1,747,873",-6.44,"1,523,442",0.31,"343,376",60.27,"307,548",167.26,"3,411",-11.93,"2,848",-22.57,"64,389",-34.15,"48,232",-47.62
2003M12,"2,278,936",-7.22,"1,959,414",0.68,"1,787,716",-11.25,"1,567,132",-6.76,"432,502",40.14,"334,522",112.69,"3,825",-55.83,"3,288",-16.02,"54,893",-55.96,"54,472",-47.71
2004M01,"1,872,400",-27.45,"1,447,947",-25.19,"1,375,999",-34.54,"1,203,511",-26.68,"444,773",35.45,"196,448",18.08,"2,567",-46.38,"2,230",-48.53,"49,061",-66.30,"45,758",-62.88
