期間,收寄函件(千件)_原始值,收寄函件(千件)_年增率(%),收寄包裹(千件)_原始值,收寄包裹(千件)_年增率(%),快捷郵件(千件)_原始值,快捷郵件(千件)_年增率(%),國民通信率(件／人)_原始值,國民通信率(件／人)_年增率(%),儲金戶數(戶)_原始值,儲金戶數(戶)_年增率(%),結存金額(新台幣百萬元)_原始值,結存金額(新台幣百萬元)_年增率(%),匯兌-開發張數(千張)_原始值,匯兌-開發張數(千張)_年增率(%),匯兌-開發金額(新台幣百萬元)_原始值,匯兌-開發金額(新台幣百萬元)_年增率(%),匯兌-兌付張數(千張)_原始值,匯兌-兌付張數(千張)_年增率(%),匯兌-兌付金額(新台幣百萬元)_原始值,匯兌-兌付金額(新台幣百萬元)_年增率(%),簡易壽險保費收入(新台幣千元)_原始值,簡易壽險保費收入(新台幣千元)_年增率(%)
2007M09,"190,868",-9.05,"1,679",2.14,486,0.81,8.33,-,"31,602,954",1.33,"4,131,332",2.90,"1,254",-6.35,"123,214",7.81,"1,282",-2.58,"77,045",-17.81,"10,368,485",-0.24
2007M10,"224,843",11.22,"1,764",28.81,488,14.28,9.81,-,"31,632,249",1.27,"4,121,463",2.43,"1,341",5.14,"141,545",10.35,"1,433",8.10,"95,147",6.71,"10,754,152",3.21
2007M11,"219,840",3.55,"1,879",14.25,490,6.58,9.58,-,"31,648,397",1.23,"4,113,435",2.17,"1,306",0.22,"139,181",6.38,"1,393",4.04,"90,625",5.92,"10,397,986",0.31
2007M12,"240,340",13.45,"2,115",12.86,554,1.78,10.47,-,"31,668,487",1.25,"4,137,041",2.30,"1,456",1.81,"140,295",3.94,"1,483",2.37,"91,821",0.28,"12,281,059",-0.10
2008M01,"245,267",4.72,"2,177",20.61,571,10.09,10.68,-,"31,698,753",1.17,"4,203,307",2.36,"1,814",9.36,"160,771",6.27,"1,826",15.97,"135,814",11.02,"11,017,167",1.32
2008M02,"187,585",0.12,"1,589",30.98,451,13.51,8.17,-,"31,795,173",1.39,"4,238,952",1.39,"1,115",-9.18,"119,399",7.90,"1,284",-8.98,"84,098",-5.32,"10,070,347",-3.75
2008M03,"232,090",-4.58,"1,817",8.43,524,1.28,10.10,-,"31,841,809",1.23,"4,252,237",2.02,"1,327",-6.11,"141,991",-19.62,"1,374",-4.49,"117,147",27.10,"13,213,197",-0.15
2008M04,"223,562",3.31,"1,846",26.21,523,16.22,9.73,-,"31,877,337",1.26,"4,260,120",2.04,"1,276",3.22,"138,959",8.18,"1,402",7.63,"105,709",7.79,"11,150,692",-4.59
2008M05,"232,900",-3.13,"2,008",23.22,549,10.53,10.13,-,"31,900,307",1.29,"4,249,376",2.33,"1,306",-2.23,"150,555",-0.68,"1,435",1.45,"105,791",4.11,"10,864,300",-2.95
2008M06,"208,271",-4.41,"1,993",38.15,520,16.33,9.06,-,"31,919,147",1.35,"4,225,567",2.05,"1,322",-0.71,"165,536",20.22,"1,425",4.87,"114,703",39.16,"10,484,263",-1.59
2008M07,"229,918",-0.81,"1,974",22.57,528,12.79,10.00,-,"31,981,402",1.47,"4,238,979",1.73,"1,330",-4.55,"179,105",12.01,"1,453",2.41,"110,511",-2.83,"10,316,510",-0.99
2008M08,"215,442",-3.25,"1,932",14.80,502,4.56,9.37,-,"32,064,929",1.59,"4,268,954",3.02,"1,242",-7.29,"118,776",-25.38,"1,375",-1.57,"109,652",17.70,"10,848,042",5.61
2008M09,"208,020",8.99,"2,265",34.96,540,11.18,9.04,-,"32,149,024",1.73,"4,321,828",4.61,"1,348",7.46,"122,021",-0.97,"1,481",15.57,"135,748",76.19,"11,551,181",11.41
2008M10,"219,320",-2.46,"2,184",23.76,524,7.18,9.53,-,"32,259,475",1.98,"4,427,235",7.42,"1,326",-1.16,"123,843",-12.51,"1,527",6.58,"175,831",84.80,"13,867,850",28.95
2008M11,"202,837",-7.73,"1,985",5.63,463,-5.45,8.81,-,"32,280,241",2.00,"4,468,609",8.63,"1,197",-8.35,"109,573",-21.27,"1,355",-2.71,"113,550",25.30,"15,469,215",48.77
2008M12,"240,717",0.16,"2,499",18.16,599,8.09,10.45,-,"32,293,711",1.97,"4,457,459",7.75,"1,554",6.69,"156,024",11.21,"1,695",14.29,"118,105",28.63,"11,264,114",-8.28
2009M01,"194,807",-20.57,"1,939",-10.95,492,-13.85,8.45,-,"32,294,650",1.88,"4,574,432",8.83,"1,335",-26.40,"118,200",-26.48,"1,609",-11.85,"116,404",-14.29,"10,851,702",-1.50
2009M02,"224,594",19.73,"2,206",38.84,448,-0.65,9.74,-,"32,360,249",1.78,"4,630,185",9.23,"1,169",4.79,"125,904",5.45,"1,323",2.98,"101,927",21.20,"12,304,469",22.19
2009M03,"227,078",-2.16,"2,125",16.93,487,-6.96,9.85,-,"32,376,130",1.68,"4,591,249",7.97,"1,310",-1.29,"159,245",12.15,"1,463",6.51,"99,228",-15.30,"13,960,016",5.65
2009M04,"218,157",-2.42,"2,054",11.25,490,-6.35,9.46,-,"32,379,146",1.57,"4,583,355",7.59,"1,243",-2.59,"125,448",-9.72,"1,420",1.30,"87,829",-16.91,"12,619,659",13.17
2009M05,"211,408",-9.23,"1,772",-11.74,444,-19.11,9.17,-,"32,370,648",1.47,"4,544,438",6.94,"1,159",-11.26,"119,517",-20.62,"1,292",-9.98,"75,749",-28.40,"10,855,754",-0.08
2009M06,"228,497",9.71,"2,167",8.75,498,-4.22,9.91,-,"32,362,133",1.39,"4,497,852",6.44,"1,358",2.77,"123,437",-25.43,"1,483",4.06,"91,235",-20.46,"10,858,973",3.57
2009M07,"235,362",2.37,"2,067",4.67,491,-7.04,10.20,-,"32,365,096",1.20,"4,549,517",7.33,"1,327",-0.22,"126,791",-29.21,"1,456",0.23,"98,592",-10.78,"10,633,398",3.07
2009M08,"205,049",-4.82,"1,960",1.45,468,-6.80,8.88,-,"32,391,817",1.02,"4,553,682",6.67,"1,231",-0.92,"113,007",-4.86,"1,354",-1.54,"87,532",-20.17,"11,372,340",4.83
