期間,收受部門-其他貨幣機構_原始值,收受部門-其他貨幣機構_年增率(%),存款部門-其他貨幣機構_原始值,存款部門-其他貨幣機構_年增率(%),存款部門-保險公司及退休基金_原始值,存款部門-保險公司及退休基金_年增率(%),存款部門-其他金融機構_原始值,存款部門-其他金融機構_年增率(%),存款部門-公營事業_原始值,存款部門-公營事業_年增率(%),存款部門-民營企業_原始值,存款部門-民營企業_年增率(%),存款部門-家庭及非營利團體_原始值,存款部門-家庭及非營利團體_年增率(%),存款部門-國外_原始值,存款部門-國外_年增率(%)
2003,"15,192,204",1.45,"882,701",5.30,"714,939",-3.16,"662,959",-12.60,"129,579",-1.22,"1,083,690",11.19,"10,600,858",-0.87,"1,117,478",32.94
2004,"15,968,097",5.11,"892,975",1.16,"860,694",20.39,"595,581",-10.16,"119,920",-7.45,"1,134,101",4.65,"11,066,574",4.39,"1,298,252",16.18
2005,"17,088,576",7.02,"902,004",1.01,"935,452",8.69,"504,714",-15.26,"125,696",4.82,"1,380,119",21.69,"11,879,685",7.35,"1,360,906",4.83
