期間,合計_原始值,合計_年增率(%),隔夜_原始值,隔夜_年增率(%),1週_原始值,1週_年增率(%),2週_原始值,2週_年增率(%),3週_原始值,3週_年增率(%),1個月_原始值,1個月_年增率(%),2-6個月_原始值,2-6個月_年增率(%),7個月-1年_原始值,7個月-1年_年增率(%)
2010M01,"2,514,400",179.38,"1,661,531",393.87,"684,774",80.91,"146,280",2.12,"1,950",-94.29,"6,700",34.00,"13,165",538.46,-,-
2010M02,"2,100,436",40.12,"1,257,741",77.42,"535,889",-17.20,"248,280",146.87,"27,940",30.32,"22,522",118.24,"8,064",-24.09,-,-
2010M03,"2,537,458",85.53,"1,612,113",97.41,"763,133",103.99,"112,445",-21.42,"16,180",5.41,"20,697",354.88,"12,890",-7.53,-,-
2010M04,"2,675,473",127.22,"1,717,731",144.72,"834,787",181.02,"98,625",-20.34,"7,100",-74.93,"8,219",45.47,"9,011",-56.49,-,-
2010M05,"3,417,727",156.54,"2,161,056",365.81,"1,108,913",99.58,"119,584",-50.83,"4,050",-92.09,"5,100",-36.92,"19,024",86.88,-,-
2010M06,"2,806,485",0.78,"1,780,746",15.40,"895,607",-4.75,"115,842",-57.51,"8,910",-63.19,"3,540",82.47,"1,840",-28.18,-,-
2010M07,"3,348,551",23.11,"2,099,408",25.60,"1,101,288",35.09,"129,546",-34.60,"7,070",-53.75,"3,300",-65.45,"7,939",-22.76,-,-
2010M08,"3,733,867",43.13,"2,467,797",60.10,"1,045,756",26.97,"196,335",-1.58,"14,280",-43.53,"3,720",-68.61,"5,979",-13.97,-,-
2010M09,"2,895,982",19.05,"1,918,900",26.42,"813,476",10.54,"127,411",-13.10,"18,650",60.22,"11,243",-12.84,"6,302",-15.84,-,-
2010M10,"2,909,339",-5.05,"1,892,698",-6.37,"917,930",13.50,"79,020",-61.27,"11,780",-0.17,"1,262",-89.79,"6,649",22.00,-,-
2010M11,"3,342,709",21.46,"2,037,595",10.30,"1,185,360",62.47,"100,715",-29.90,"13,560",-5.70,"5,370",-51.18,109,-98.27,-,-
2010M12,"3,196,983",4.17,"1,934,774",1.87,"1,130,868",21.08,"117,640",-42.13,"5,200",-65.08,"6,010",-30.92,"2,491",-71.50,-,-
2011M01,"3,369,607",34.01,"2,157,059",29.82,"1,010,828",47.61,"192,021",31.27,"5,060",159.49,"3,600",-46.27,"1,039",-92.11,-,-
2011M02,"2,391,878",13.88,"1,521,923",21.00,"673,061",25.60,"190,145",-23.42,"5,630",-79.85,580,-97.42,539,-93.32,-,-
2011M03,"3,137,197",23.64,"1,862,347",15.52,"1,152,455",51.02,"110,317",-1.89,"8,680",-46.35,"1,780",-91.40,"1,618",-87.45,-,-
