期間,授信部門-中央銀行_原始值,授信部門-中央銀行_年增率(%),受信部門-其他貨幣機構_原始值,受信部門-其他貨幣機構_年增率(%),受信部門-其他金融機構_原始值,受信部門-其他金融機構_年增率(%)
2003,"807,891",20.22,"807,891",20.22,-,--
2004,"490,257",-39.32,"490,257",-39.32,-,--
2005,"425,610",-13.19,"425,610",-13.19,-,--
