期間,總計_原始值,總計_年增率(%),男_原始值,男_年增率(%),女_原始值,女_年增率(%),專門性技術性工作_原始值,專門性技術性工作_年增率(%),華僑或外國人投資設立事業之主管工作_原始值,華僑或外國人投資設立事業之主管工作_年增率(%),學校教師工作_原始值,學校教師工作_年增率(%),補習班語文教師工作_原始值,補習班語文教師工作_年增率(%),運動教練及運動員工作_原始值,運動教練及運動員工作_年增率(%),宗教、藝術及演藝工作_原始值,宗教、藝術及演藝工作_年增率(%),履約_原始值,履約_年增率(%)
2006M11,"29,592",14.94,"24,216",17.17,"5,376",5.89,"16,188",28.35,"1,413",41.58,"2,199",7.58,"6,468",-1.46,51,30.77,"2,006",10.04,"1,267",-23.90
2006M12,"29,336",13.12,"24,128",15.28,"5,208",4.10,"16,292",24.20,"1,440",37.93,"2,212",7.33,"6,392",-3.59,47,74.07,"1,488",-1.85,"1,465",-4.68
2007M01,"29,283",12.30,"24,057",14.00,"5,226",5.11,"16,082",19.87,"1,477",37.14,"2,295",8.36,"6,477",-2.97,32,14.29,"1,489",6.74,"1,431",4.76
2007M02,"29,046",9.23,"23,791",10.52,"5,255",3.75,"15,939",18.59,"1,466",31.24,"2,234",5.43,"6,425",-4.48,36,2.86,"1,606",1.58,"1,340",-14.81
2007M03,"29,183",6.63,"23,932",7.98,"5,251",0.86,"16,060",15.49,"1,467",26.68,"2,417",11.85,"6,354",-6.49,50,13.64,"1,518",-14.09,"1,317",-14.37
2007M04,"29,263",7.23,"23,911",8.34,"5,352",2.55,"15,894",13.20,"1,444",21.86,"2,488",4.67,"6,389",-5.35,48,0.00,"1,642",5.19,"1,358",2.26
2007M05,"29,595",7.17,"23,983",8.49,"5,612",1.89,"15,864",12.20,"1,448",20.07,"2,710",6.36,"6,409",-5.94,54,22.73,"1,629",-11.23,"1,481",44.07
2007M06,"30,815",5.14,"24,945",7.18,"5,870",-2.75,"15,851",9.41,"1,449",15.18,"3,178",2.81,"6,411",-6.71,50,2.04,"1,991",-16.97,"1,885",63.49
2007M07,"30,636",3.34,"24,918",5.39,"5,718",-4.75,"15,800",7.75,"1,452",13.35,"3,029",1.14,"6,343",-6.33,54,8.00,"2,115",-20.88,"1,843",52.06
2007M08,"28,947",-1.58,"23,816",-0.48,"5,131",-6.39,"15,487",-2.10,"1,428",7.69,"2,094",-0.81,"6,141",-9.10,51,-19.05,"1,974",-8.40,"1,772",50.04
2007M09,"28,317",-4.93,"23,297",-4.21,"5,020",-8.09,"15,339",-3.92,"1,411",4.44,"2,114",-0.84,"5,941",-8.98,53,-3.64,"1,777",-29.40,"1,682",35.86
2007M10,"28,825",-1.43,"23,727",-1.15,"5,098",-2.75,"15,377",-4.51,"1,417",3.36,"2,186",0.88,"5,941",-7.23,48,-4.00,"2,013",4.03,"1,843",51.94
2007M11,"28,378",-4.10,"23,403",-3.36,"4,975",-7.46,"15,323",-5.34,"1,430",1.20,"2,209",0.45,"5,991",-7.37,39,-23.53,"1,455",-27.47,"1,931",52.41
2007M12,"28,956",-1.30,"23,805",-1.34,"5,151",-1.09,"15,467",-5.06,"1,451",0.76,"2,243",1.40,"5,983",-6.40,39,-17.02,"1,792",20.43,"1,981",35.22
2008M01,"28,007",-4.36,"22,951",-4.60,"5,056",-3.25,"14,875",-7.51,"1,427",-3.39,"2,290",-0.22,"5,962",-7.95,38,18.75,"1,676",12.56,"1,739",21.52
2008M02,"27,183",-6.41,"22,277",-6.36,"4,906",-6.64,"14,740",-7.52,"1,429",-2.52,"2,252",0.81,"5,928",-7.74,45,25.00,"1,464",-8.84,"1,325",-1.12
2008M03,"27,813",-4.69,"22,795",-4.75,"5,018",-4.44,"14,957",-6.87,"1,458",-0.61,"2,505",3.64,"6,016",-5.32,51,2.00,"1,454",-4.22,"1,372",4.18
2008M04,"27,811",-4.96,"22,664",-5.22,"5,147",-3.83,"14,798",-6.90,"1,436",-0.55,"2,569",3.26,"6,001",-6.07,59,22.92,"1,510",-8.04,"1,438",5.89
2008M05,"27,965",-5.51,"22,663",-5.50,"5,302",-5.52,"14,722",-7.20,"1,416",-2.21,"2,723",0.48,"6,063",-5.40,61,12.96,"1,640",0.68,"1,340",-9.52
2008M06,"28,815",-6.49,"23,406",-6.17,"5,409",-7.85,"14,895",-6.03,"1,429",-1.38,"3,342",5.16,"6,152",-4.04,68,36.00,"1,537",-22.80,"1,392",-26.15
2008M07,"29,306",-4.34,"23,731",-4.76,"5,575",-2.50,"14,764",-6.56,"1,414",-2.62,"3,270",7.96,"6,188",-2.44,71,31.48,"2,118",0.14,"1,481",-19.64
2008M08,"27,538",-4.87,"22,588",-5.16,"4,950",-3.53,"14,522",-6.23,"1,424",-0.28,"2,224",6.21,"6,002",-2.26,65,27.45,"1,713",-13.22,"1,588",-10.38
