期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%)
2005M02,"17,269",-27.05,"12,247",43.66,"5,022",-66.85,0,--,0,--,"8,008",-29.95,"5,720",86.68,"2,288",-72.66,0,--,0,--,"9,261",-24.35,"6,527",19.52,"2,734",-59.68,0,--,0,--
2005M03,"21,213",-8.18,"12,411",96.16,"8,802",-47.54,0,--,0,--,"9,206",-22.44,"5,237",78.92,"3,969",-55.61,0,--,0,--,"12,007",6.87,"7,174",111.00,"4,833",-38.32,0,--,0,--
2005M04,"34,108",94.33,"18,061","1,009.40","16,047",0.77,0,--,0,--,"17,104",109.99,"8,541","1,594.64","8,563",12.07,0,--,0,--,"17,004",80.76,"9,520",746.98,"7,484",-9.65,0,--,0,--
2005M05,"37,694",134.72,"19,749",172.93,"17,945",144.75,0,--,0,-100.00,"18,133",152.48,"9,194",191.41,"8,939",173.78,0,--,0,-100.00,"19,561",120.36,"10,555",158.64,"9,006",121.44,0,--,0,-100.00
2005M06,"43,078",26.55,"23,799",3.08,"19,279",150.02,0,--,0,-100.00,"20,939",31.44,"11,708",6.59,"9,231",183.42,0,--,0,-100.00,"22,139",22.24,"12,091",-0.11,"10,048",125.59,0,--,0,-100.00
2005M07,"64,244",4.51,"24,587",-6.51,"30,195",7.30,0,--,"9,462",34.63,"32,326",10.21,"11,340",-5.18,"16,039",15.65,0,--,"4,947",41.22,"31,918",-0.68,"13,247",-7.62,"14,156",-0.82,0,--,"4,515",28.09
2005M08,"76,211",35.50,"19,279",-34.87,"47,058",157.89,0,-100.00,"9,874",30.69,"27,908",4.72,"8,983",-34.33,"13,632",57.81,0,-100.00,"5,293",34.54,"48,303",63.23,"10,296",-35.34,"33,426",247.86,0,-100.00,"4,581",26.51
2005M09,"28,542",-30.63,"15,826",-24.51,"9,997",-31.38,0,--,"2,719",-51.54,"13,312",-34.16,"6,943",-27.04,"4,962",-34.27,0,--,"1,407",-55.39,"15,230",-27.22,"8,883",-22.41,"5,035",-28.28,0,--,"1,312",-46.60
2005M10,"24,975",-26.21,"13,702",-34.81,"8,555",-12.17,"1,326",57.11,"1,392",-38.00,"12,204",-24.86,"6,794",-30.91,"4,041",-13.58,663,57.11,706,-46.11,"12,771",-27.47,"6,908",-38.24,"4,514",-10.86,663,57.11,686,-26.63
2005M11,"7,523",-57.29,"2,220",-82.53,"5,303",8.05,0,--,0,--,"3,496",-58.13,"1,085",-82.42,"2,411",10.75,0,--,0,--,"4,027",-56.53,"1,135",-82.63,"2,892",5.90,0,--,0,--
2005M12,"8,805",-53.72,"3,119",-79.48,"5,686",48.77,0,--,0,--,"3,408",-59.98,"1,485",-78.37,"1,923",16.47,0,--,0,--,"5,397",-48.64,"1,634",-80.40,"3,763",73.33,0,--,0,--
2006M01,"7,424",-75.53,"3,011",-82.48,"4,413",-66.44,0,--,0,--,"3,682",-74.78,"1,125",-85.54,"2,557",-62.51,0,--,0,--,"3,742",-76.22,"1,886",-79.95,"1,856",-70.68,0,--,0,--
2006M02,"22,817",32.13,"8,391",-31.49,"12,834",155.56,0,--,"1,592",--,"11,262",40.63,"3,719",-34.98,"6,683",192.09,0,--,860,--,"11,555",24.77,"4,672",-28.42,"6,151",124.98,0,--,732,--
2006M03,"16,206",-23.60,"4,903",-60.49,"10,139",15.19,737,--,427,--,"7,063",-23.28,"1,779",-66.03,"4,695",18.29,367,--,222,--,"9,143",-23.85,"3,124",-56.45,"5,444",12.64,370,--,205,--
