期間,總指數(含食物)_原始值,總指數(含食物)_年增率(%),商品類(含食物)_原始值,商品類(含食物)_年增率(%),商品類(不含食物)_原始值,商品類(不含食物)_年增率(%),非耐久性消費品(含食物)_原始值,非耐久性消費品(含食物)_年增率(%),非耐久性消費品(不含食物)_原始值,非耐久性消費品(不含食物)_年增率(%),半耐久性消費品_原始值,半耐久性消費品_年增率(%),耐久性消費品_原始值,耐久性消費品_年增率(%),服務類_原始值,服務類_年增率(%),外食費_原始值,外食費_年增率(%),衣著服務_原始值,衣著服務_年增率(%),居住服務_原始值,居住服務_年增率(%),交通及通訊服務_原始值,交通及通訊服務_年增率(%),醫藥保健服務_原始值,醫藥保健服務_年增率(%),教養娛樂服務_原始值,教養娛樂服務_年增率(%),教養服務_原始值,教養服務_年增率(%),娛樂服務_原始值,娛樂服務_年增率(%),雜項服務_原始值,雜項服務_年增率(%)
1989M06,66.69,4.40,70.57,2.36,86.62,-0.56,58.37,3.20,66.99,-0.86,92.05,1.12,132.20,-1.98,61.07,7.46,61.24,7.82,58.20,4.66,70.04,6.77,83.85,10.20,52.65,6.45,38.57,6.55,37.09,7.20,47.54,3.53,54.22,12.30
1989M07,66.38,3.91,69.79,1.81,86.29,-0.36,57.65,2.84,66.96,0.78,91.23,-0.64,131.59,-2.36,61.34,7.05,62.27,9.51,58.24,4.80,70.30,6.89,83.10,3.82,52.96,7.21,38.60,6.54,37.11,7.25,47.69,3.45,55.25,12.53
1989M08,66.93,3.32,70.58,0.89,85.49,-0.80,58.68,1.70,66.37,0.17,90.06,-0.77,130.87,-2.78,61.60,7.04,62.58,7.60,58.24,4.86,70.60,7.03,82.88,3.29,53.10,7.49,39.04,7.88,37.45,8.24,48.68,6.17,55.32,12.14
1989M09,68.69,5.69,72.97,4.69,85.30,-0.09,61.29,6.41,66.15,0.76,90.03,0.75,130.51,-2.84,62.56,7.29,63.26,8.16,58.24,4.86,71.08,7.49,83.16,1.35,53.15,7.59,41.61,9.21,40.40,9.75,49.11,6.76,55.42,11.82
1989M10,69.34,5.94,73.92,4.94,85.39,-0.48,62.05,6.67,65.24,-0.31,92.58,1.11,130.35,-2.76,62.80,7.44,63.65,8.77,58.58,5.34,71.53,7.86,83.16,1.38,53.15,7.59,41.63,8.69,40.40,9.01,49.21,7.07,55.58,11.88
1989M11,67.56,3.75,70.60,1.26,85.98,-0.44,58.09,1.59,64.74,-1.15,95.91,2.41,130.45,-2.55,62.99,7.47,63.64,8.75,58.88,5.09,71.86,8.04,83.20,0.27,53.16,7.61,41.71,8.90,40.46,9.17,49.47,7.64,56.10,12.88
1989M12,67.10,3.14,69.52,0.14,85.73,-0.75,57.03,0.32,64.73,-1.19,94.99,1.27,130.44,-2.40,63.31,7.58,63.91,9.21,58.96,5.08,72.38,7.92,83.28,0.33,53.76,8.43,41.71,8.90,40.46,9.17,49.47,7.68,56.35,13.27
1990M01,67.57,3.86,69.72,1.12,85.47,-1.02,57.38,1.79,64.84,-1.14,93.77,0.10,130.43,-2.19,64.11,7.86,64.30,9.88,59.22,4.63,73.37,7.25,83.36,0.23,53.96,7.96,41.74,8.98,40.46,9.17,49.69,8.21,62.52,25.19
1990M02,67.47,2.80,69.41,-0.10,84.66,-0.32,57.38,0.03,64.90,-0.08,90.87,0.83,129.97,-2.24,64.28,7.06,64.47,9.89,59.84,5.09,73.51,7.19,83.88,-0.72,53.96,6.28,42.65,11.13,41.02,10.69,52.56,13.06,59.04,6.53
1990M03,67.98,3.33,70.12,0.53,84.42,-0.76,58.27,1.08,65.01,-0.25,90.00,-0.13,129.48,-2.60,64.51,7.36,64.84,9.62,60.90,5.77,73.91,7.62,83.91,-0.08,53.96,4.05,42.73,11.33,41.08,10.82,52.78,13.73,59.04,11.73
