期間,總計_原始值,總計_年增率(%),空氣污染(不含異味污染物)_原始值,空氣污染(不含異味污染物)_年增率(%),異味污染物_原始值,異味污染物_年增率(%),噪音_原始值,噪音_年增率(%),水污染_原始值,水污染_年增率(%),環境衛生_原始值,環境衛生_年增率(%),廢棄物_原始值,廢棄物_年增率(%),振動_原始值,振動_年增率(%),其他_原始值,其他_年增率(%)
2004M05,"9,981",-9.92,860,-18.25,"2,068",4.50,"2,739",14.32,705,1.59,"2,165",-35.62,"1,356",-11.02,2,100.00,86,21.13
2004M06,"12,292",30.06,"1,072",30.26,"2,030",16.00,"2,764",0.18,607,-0.49,"2,017",-12.19,"3,718",216.97,9,--,75,92.31
2004M07,"11,092",-2.82,893,-28.33,"2,103",-0.71,"2,292",-10.22,565,-10.17,"2,148",-17.45,"3,023",37.41,4,300.00,64,-1.54
2004M08,"10,037",10.66,819,-7.87,"1,963",7.98,"2,277",3.03,536,11.20,"2,030",-4.69,"2,329",57.79,7,600.00,76,18.75
2004M09,"9,520",-0.96,726,-27.04,"2,103",-4.10,"2,428",1.42,480,-14.29,"1,979",-6.52,"1,736",35.31,3,0.00,65,-2.99
2004M10,"10,180",-1.76,"1,122",-4.27,"2,285",2.15,"3,152",-8.05,521,-5.96,"1,837",4.26,"1,188",3.76,5,25.00,70,16.67
2004M11,"10,619",9.29,"1,053",-10.99,"2,548",25.77,"3,500",2.55,550,16.28,"1,709",8.99,"1,177",19.25,1,--,81,22.73
2004M12,"9,750",-1.49,904,-30.89,"2,241",5.11,"3,349",3.62,566,13.20,"1,600",2.43,"1,021",-6.76,5,25.00,64,0.00
2005M01,"8,970",33.54,800,22.89,"1,812",29.80,"3,112",44.01,530,47.63,"1,495",24.17,"1,156",31.51,4,100.00,61,-6.15
2005M02,"5,646",-24.72,463,-31.81,"1,129",-20.66,"1,787",-25.36,322,-30.30,"1,176",-23.54,707,-24.95,7,600.00,55,-9.84
2005M03,"9,401",1.62,690,-11.31,"1,819",-0.05,"3,400",6.22,503,-14.16,"1,703",2.34,"1,196",6.60,8,300.00,82,5.13
2005M04,"10,614",14.56,681,-12.47,"2,098",13.04,"3,675",14.70,620,19.00,"2,068",20.09,"1,396",25.43,8,60.00,68,3.03
2005M05,"11,596",16.18,682,-20.70,"2,412",16.63,"3,326",21.43,671,-4.82,"2,458",13.53,"1,952",43.95,4,100.00,91,5.81
2005M06,"11,555",-6.00,714,-33.40,"2,493",22.81,"3,022",9.33,748,23.23,"2,271",12.59,"2,198",-40.88,5,-44.44,104,38.67
2005M07,"12,401",11.80,"1,054",18.03,"2,504",19.07,"3,520",53.58,713,26.19,"2,100",-2.23,"2,392",-20.87,7,75.00,111,73.44
2005M08,"12,375",23.29,756,-7.69,"2,774",41.31,"3,314",45.54,712,32.84,"2,314",13.99,"2,375",1.98,6,-14.29,124,63.16
2005M09,"11,405",19.80,900,23.97,"2,588",23.06,"3,062",26.11,680,41.67,"2,144",8.34,"1,914",10.25,8,166.67,109,67.69
2005M10,"12,596",23.73,859,-23.44,"2,814",23.15,"3,788",20.18,618,18.62,"2,926",59.28,"1,466",23.40,4,-20.00,121,72.86
2005M11,"13,533",27.44,"1,105",4.94,"3,227",26.65,"4,405",25.86,665,20.91,"2,654",55.30,"1,341",13.93,15,"1,400.00",121,49.38
2005M12,"9,751",0.01,"1,040",15.04,"2,156",-3.79,"3,286",-1.88,550,-2.83,"1,531",-4.31,"1,120",9.70,7,40.00,61,-4.69
2006M01,"9,530",6.24,829,3.62,"1,925",6.24,"3,191",2.54,533,0.57,"1,876",25.48,"1,099",-4.93,1,-75.00,76,24.59
2006M02,"7,921",40.29,639,38.01,"1,668",47.74,"2,772",55.12,427,32.61,"1,491",26.79,859,21.50,9,28.57,56,1.82
2006M03,"10,843",15.34,744,7.83,"2,399",31.89,"3,680",8.24,638,26.84,"1,991",16.91,"1,257",5.10,9,12.50,125,52.44
2006M04,"10,770",1.47,739,8.52,"2,359",12.44,"3,657",-0.49,558,-10.00,"2,028",-1.93,"1,317",-5.66,10,25.00,102,50.00
2006M05,"11,236",-3.10,658,-3.52,"2,601",7.84,"3,385",1.77,711,5.96,"2,245",-8.67,"1,534",-21.41,4,0.00,98,7.69
2006M06,"11,002",-4.79,638,-10.64,"2,807",12.60,"2,816",-6.82,610,-18.45,"2,147",-5.46,"1,893",-13.88,4,-20.00,87,-16.35
2006M07,"11,528",-7.04,796,-24.48,"2,871",14.66,"2,625",-25.43,729,2.24,"2,257",7.48,"2,149",-10.16,4,-42.86,97,-12.61
2006M08,"12,660",2.30,854,12.96,"3,039",9.55,"2,793",-15.72,855,20.08,"2,650",14.52,"2,358",-0.72,7,16.67,104,-16.13
2006M09,"11,229",-1.54,629,-30.11,"2,879",11.24,"2,938",-4.05,633,-6.91,"2,405",12.17,"1,656",-13.48,8,0.00,81,-25.69
2006M10,"11,783",-6.45,944,9.90,"3,034",7.82,"3,435",-9.32,591,-4.37,"2,260",-22.76,"1,439",-1.84,11,175.00,69,-42.98
2006M11,"12,267",-9.35,825,-25.34,"2,858",-11.43,"4,209",-4.45,764,14.89,"2,223",-16.24,"1,318",-1.72,6,-60.00,64,-47.11
2006M12,"10,905",11.83,785,-24.52,"2,438",13.08,"4,135",25.84,572,4.00,"1,759",14.89,"1,146",2.32,9,28.57,61,0.00
2007M01,"11,665",22.40,721,-13.03,"2,663",38.34,"4,190",31.31,585,9.76,"2,076",10.66,"1,327",20.75,13,"1,200.00",90,18.42
2007M02,"8,014",1.17,696,8.92,"1,821",9.17,"2,486",-10.32,427,0.00,"1,538",3.15,973,13.27,1,-88.89,72,28.57
2007M03,"12,407",14.42,768,3.23,"2,851",18.84,"4,394",19.40,588,-7.84,"2,319",16.47,"1,367",8.75,7,-22.22,113,-9.60
2007M04,"11,854",10.06,712,-3.65,"2,764",17.17,"4,219",15.37,633,13.44,"2,107",3.90,"1,312",-0.38,12,20.00,95,-6.86
2007M05,"13,678",21.73,872,32.52,"3,462",33.10,"4,084",20.65,747,5.06,"2,528",12.61,"1,827",19.10,8,100.00,150,53.06
2007M06,"11,222",2.00,618,-3.13,"2,900",3.31,"2,723",-3.30,764,25.25,"2,314",7.78,"1,790",-5.44,4,0.00,109,25.29
2007M07,"13,017",12.92,"1,053",32.29,"3,521",22.64,"2,756",4.99,750,2.88,"2,593",14.89,"2,252",4.79,2,-50.00,90,-7.22
2007M08,"11,808",-6.73,681,-20.26,"3,282",8.00,"2,673",-4.30,693,-18.95,"2,454",-7.40,"1,908",-19.08,3,-57.14,114,9.62
