期間,總指數(含食物)_原始值,總指數(含食物)_年增率(%),商品類(含食物)_原始值,商品類(含食物)_年增率(%),商品類(不含食物)_原始值,商品類(不含食物)_年增率(%),非耐久性消費品(含食物)_原始值,非耐久性消費品(含食物)_年增率(%),非耐久性消費品(不含食物)_原始值,非耐久性消費品(不含食物)_年增率(%),半耐久性消費品_原始值,半耐久性消費品_年增率(%),耐久性消費品_原始值,耐久性消費品_年增率(%),服務類_原始值,服務類_年增率(%),外食費_原始值,外食費_年增率(%),衣著服務_原始值,衣著服務_年增率(%),居住服務_原始值,居住服務_年增率(%),交通及通訊服務_原始值,交通及通訊服務_年增率(%),醫藥保健服務_原始值,醫藥保健服務_年增率(%),教養娛樂服務_原始值,教養娛樂服務_年增率(%),教養服務_原始值,教養服務_年增率(%),娛樂服務_原始值,娛樂服務_年增率(%),雜項服務_原始值,雜項服務_年增率(%)
1981M01,58.05,-,66.11,-,89.72,-,53.38,-,71.00,-,88.21,-,142.84,-,46.96,-,47.58,-,47.23,-,56.61,-,69.02,-,40.63,-,24.21,-,22.36,-,37.20,-,39.01,-
1981M02,59.04,-,67.47,-,90.50,-,54.82,-,72.30,-,88.34,-,142.43,-,47.44,-,48.29,-,47.27,-,56.73,-,70.04,-,40.92,-,24.50,-,22.63,-,37.66,-,43.71,-
1981M03,59.30,-,67.65,-,91.14,-,54.98,-,73.23,-,88.63,-,142.34,-,47.80,-,49.20,-,47.29,-,57.18,-,70.59,-,41.33,-,24.87,-,23.03,-,37.72,-,41.08,-
1981M04,59.54,-,67.96,-,91.27,-,55.27,-,73.26,-,88.96,-,142.52,-,47.95,-,49.85,-,47.29,-,57.33,-,71.02,-,41.33,-,24.87,-,23.03,-,37.72,-,41.24,-
1981M05,59.31,-,67.50,-,91.29,-,54.78,-,73.30,-,89.09,-,142.27,-,48.06,-,50.14,-,47.29,-,57.48,-,71.20,-,41.38,-,24.87,-,23.03,-,37.72,-,41.27,-
1981M06,59.87,-,68.40,-,91.26,-,55.74,-,73.31,-,89.13,-,141.98,-,48.13,-,50.16,-,48.13,-,57.59,-,71.20,-,41.38,-,24.87,-,23.03,-,37.72,-,41.40,-
1981M07,60.10,-,68.69,-,91.17,-,56.08,-,73.32,-,89.20,-,141.18,-,48.26,-,50.41,-,48.25,-,57.69,-,71.21,-,41.86,-,24.87,-,23.03,-,37.72,-,41.57,-
1981M08,60.69,-,69.52,-,91.21,-,56.94,-,73.35,-,89.30,-,141.15,-,48.52,-,51.08,-,48.26,-,58.13,-,71.21,-,41.86,-,24.93,-,23.07,-,37.83,-,41.68,-
1981M09,61.42,-,70.20,-,91.40,-,57.59,-,73.35,-,89.67,-,141.69,-,49.36,-,51.95,-,48.66,-,58.58,-,71.21,-,41.86,-,27.02,-,25.39,-,37.96,-,41.72,-
1981M10,61.08,-,69.51,-,91.42,-,56.86,-,73.38,-,89.85,-,141.30,-,49.45,-,52.16,-,49.50,-,58.62,-,71.29,-,41.86,-,27.12,-,25.51,-,37.97,-,41.68,-
1981M11,60.67,-,68.70,-,91.41,-,56.04,-,73.45,-,89.94,-,140.81,-,49.61,-,52.23,-,49.56,-,59.00,-,71.29,-,41.86,-,27.12,-,25.51,-,37.97,-,41.71,-
1981M12,60.59,-,68.58,-,91.45,-,55.91,-,73.52,-,90.10,-,140.47,-,49.58,-,52.25,-,49.69,-,58.92,-,71.29,-,41.86,-,27.12,-,25.51,-,37.97,-,41.71,-
1982M01,60.98,5.05,69.04,4.43,91.95,2.49,56.39,5.64,74.33,4.69,90.22,2.28,140.20,-1.85,49.89,6.24,52.46,10.26,49.89,5.63,58.94,4.12,71.81,4.04,41.86,3.03,27.02,11.61,25.35,13.37,38.27,2.88,48.81,25.12
1982M02,60.79,2.96,68.87,2.07,91.94,1.59,56.22,2.55,74.32,2.79,90.30,2.22,140.08,-1.65,49.66,4.68,52.73,9.19,49.99,5.75,59.00,4.00,71.32,1.83,41.86,2.30,27.06,10.45,25.37,12.11,38.43,2.04,42.16,-3.55
1982M03,60.94,2.77,69.14,2.20,91.95,0.89,56.50,2.76,74.37,1.56,90.27,1.85,139.95,-1.68,49.68,3.93,52.76,7.24,49.99,5.71,59.00,3.18,71.35,1.08,41.86,1.28,27.09,8.93,25.37,10.16,38.66,2.49,42.17,2.65
1982M04,61.10,2.62,69.38,2.09,92.01,0.81,56.73,2.64,74.35,1.49,90.34,1.55,140.29,-1.56,49.69,3.63,52.76,5.84,50.13,6.01,59.04,2.98,71.35,0.46,41.86,1.28,27.09,8.93,25.37,10.16,38.66,2.49,42.19,2.30
