期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),進港_原始值,進港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%),出港_原始值,出港_年增率(%)
2011M04,"43,167",-41.74,"26,069",-34.17,"14,504",9.34,"2,594",-74.97,0,-100.00,"21,029",-42.04,"12,022",-37.88,"7,444",20.22,"1,563",-70.53,0,-100.00,"22,138",-41.46,"14,047",-30.62,"7,060",-0.18,"1,031",-79.62,0,-100.00
2011M05,"73,982",19.97,"47,757",91.42,"18,165",-6.87,"5,457",-42.61,"2,603",-66.21,"35,735",23.89,"23,134",100.03,"8,288",-5.91,"3,008",-35.74,"1,305",-65.56,"38,247",16.53,"24,623",83.97,"9,877",-7.65,"2,449",-49.28,"1,298",-66.85
2011M06,"78,351",26.70,"56,945",6.42,"13,334",82.71,"8,072",682.93,0,--,"38,270",27.70,"28,071",6.32,"6,135",98.93,"4,064",741.41,0,--,"40,081",25.77,"28,874",6.52,"7,199",70.84,"4,008",631.39,0,--
2011M07,"90,371",21.64,"59,534",8.20,"23,823",31.54,"7,014",733.02,0,-100.00,"42,420",21.14,"28,669",10.35,"10,395",25.59,"3,356",661.00,0,-100.00,"47,951",22.08,"30,865",6.28,"13,428",36.55,"3,658",812.22,0,--
2011M08,"84,564",8.99,"61,102",6.38,"15,102",11.21,"5,210",49.33,"3,150",2.17,"42,007",11.28,"30,290",9.94,"7,409",7.17,"2,729",58.29,"1,579",1.22,"42,557",6.81,"30,812",3.09,"7,693",15.39,"2,481",40.57,"1,571",3.15
2011M09,"60,511",12.66,"50,675",14.15,"4,981",-35.33,"4,855",200.25,0,--,"28,578",9.52,"24,246",12.50,"1,986",-45.68,"2,346",164.49,0,--,"31,933",15.63,"26,429",15.71,"2,995",-25.98,"2,509",243.70,0,--
2011M10,"67,119",31.60,"52,428",19.73,"10,609",64.66,"4,082",428.76,0,--,"33,359",37.05,"26,889",22.81,"4,714",159.72,"1,756",178.29,0,--,"33,760",26.62,"25,539",16.65,"5,895",27.38,"2,326","1,549.65",0,--
2011M11,"28,539",85.60,"15,709",49.40,"8,149",88.37,"1,585",195.71,"3,096",--,"13,949",76.23,"7,670",54.02,"4,107",51.05,623,188.43,"1,549",--,"14,590",95.52,"8,039",45.24,"4,042",151.52,962,200.63,"1,547",--
2011M12,"13,490",-7.73,"9,374",-3.11,"2,509",-5.75,"1,607",8.80,0,-100.00,"5,890",-21.32,"4,014",-15.87,"1,074",-25.47,802,-6.42,0,-100.00,"7,600",6.53,"5,360",9.30,"1,435",17.53,805,29.84,0,-100.00
2012M01,"18,511",67.29,"13,779",95.45,"3,002",0.74,"1,730",67.15,0,--,"7,697",69.95,"5,931",110.62,"1,119",-6.12,647,24.18,0,--,"10,814",65.45,"7,848",85.36,"1,883",5.31,"1,083",110.70,0,--
2012M02,"43,091",-42.03,"22,292",-30.87,"9,650",-48.60,"11,149",-32.38,0,-100.00,"21,209",-42.99,"10,870",-32.42,"4,797",-47.60,"5,542",-35.19,0,-100.00,"21,882",-41.07,"11,422",-29.32,"4,853",-49.56,"5,607",-29.36,0,-100.00
2012M03,"25,453",-42.34,"16,997",-43.61,"5,688",-49.67,"2,768",2.48,0,--,"12,603",-43.48,"8,399",-46.17,"2,485",-55.56,"1,719",55.71,0,--,"12,850",-41.18,"8,598",-40.87,"3,203",-43.90,"1,049",-34.31,0,--
2012M04,"60,995",41.30,"37,544",44.02,"18,796",29.59,"4,655",79.45,0,--,"29,079",38.28,"17,540",45.90,"9,160",23.05,"2,379",52.21,0,--,"31,916",44.17,"20,004",42.41,"9,636",36.49,"2,276",120.76,0,--
2012M05,"69,632",-5.88,"54,916",14.99,"9,812",-45.98,"3,939",-27.82,965,-62.93,"34,537",-3.35,"27,264",17.85,"4,874",-41.19,"1,909",-36.54,490,-62.45,"35,095",-8.24,"27,652",12.30,"4,938",-50.01,"2,030",-17.11,475,-63.41
2012M06,"77,637",-0.91,"56,518",-0.75,"13,025",-2.32,"3,401",-57.87,"4,693",--,"37,190",-2.82,"26,905",-4.15,"5,973",-2.64,"1,964",-51.67,"2,348",--,"40,447",0.91,"29,613",2.56,"7,052",-2.04,"1,437",-64.15,"2,345",--
