期間,收受部門-中央銀行_原始值,收受部門-中央銀行_年增率(%),存款部門-其他貨幣機構_原始值,存款部門-其他貨幣機構_年增率(%),存款部門-保險公司及退休基金_原始值,存款部門-保險公司及退休基金_年增率(%),存款部門-其他金融機構_原始值,存款部門-其他金融機構_年增率(%)
2000,"1,197,476",...,"1,184,693",...,"12,781",...,2,...
2001,"1,653,947",38.12,"1,636,376",38.13,"17,563",37.41,8,300.00
2002,"1,885,143",13.98,"1,867,341",14.11,"17,781",1.24,21,162.50
