期間,合計_原始值,合計_年增率(%),企業及個人存款-計_原始值,企業及個人存款-計_年增率(%),企業及個人存款-支票存款_原始值,企業及個人存款-支票存款_年增率(%),企業及個人存款-活期存款_原始值,企業及個人存款-活期存款_年增率(%),企業及個人存款-活期儲蓄存款_原始值,企業及個人存款-活期儲蓄存款_年增率(%),企業及個人存款-定期存款_原始值,企業及個人存款-定期存款_年增率(%),企業及個人存款-定期儲蓄存款_原始值,企業及個人存款-定期儲蓄存款_年增率(%),企業及個人存款-外匯活期存款_原始值,企業及個人存款-外匯活期存款_年增率(%),企業及個人存款-外匯定期存款_原始值,企業及個人存款-外匯定期存款_年增率(%),政府存款-計_原始值,政府存款-計_年增率(%),政府存款-公庫收入總存款_原始值,政府存款-公庫收入總存款_年增率(%),政府存款-機關存款_原始值,政府存款-機關存款_年增率(%),政府存款-機關外匯存款_原始值,政府存款-機關外匯存款_年增率(%)
2010M01,"22,216,716",6.57,"21,625,884",6.73,"343,520",13.30,"2,421,031",38.69,"6,025,674",29.69,"3,987,154",-6.18,"6,532,204",-6.99,"1,178,356",53.86,"1,137,945",-25.54,"590,832",0.89,"13,063",-10.31,"573,555",1.19,"4,214",-0.50
2010M02,"22,116,006",4.30,"21,561,476",4.66,"325,625",7.74,"2,345,942",27.44,"6,054,071",27.14,"4,025,545",-4.97,"6,520,174",-6.85,"1,194,534",36.01,"1,095,585",-30.81,"554,530",-7.80,"10,685",-27.84,"539,493",-7.51,"4,352",32.28
2010M03,"22,223,769",3.70,"21,646,015",3.91,"300,236",9.87,"2,382,558",20.66,"6,049,472",21.38,"4,070,843",-2.83,"6,520,904",-6.45,"1,198,505",29.97,"1,123,497",-25.96,"577,754",-3.58,"18,073",70.85,"555,559",-5.05,"4,122",16.77
2010M04,"22,340,631",3.74,"21,730,653",3.80,"301,062",11.20,"2,422,904",19.08,"6,121,756",18.86,"4,089,534",-1.71,"6,515,865",-5.98,"1,194,555",28.88,"1,084,977",-25.82,"609,978",1.72,"11,211",-24.65,"594,279",2.38,"4,488",4.44
2010M05,"22,325,420",3.24,"21,670,436",3.10,"314,867",5.50,"2,440,281",21.28,"5,992,739",11.45,"4,140,493",1.61,"6,514,490",-5.42,"1,114,444",19.56,"1,153,122",-19.71,"654,984",8.04,"14,803",-6.33,"635,272",8.52,"4,909",-2.29
2010M06,"22,417,373",3.50,"21,779,224",3.48,"323,301",10.18,"2,525,424",15.89,"6,000,734",12.19,"4,172,436",2.82,"6,529,997",-4.57,"1,121,322",18.87,"1,106,010",-19.91,"638,149",4.21,"10,603",-46.43,"622,426",5.93,"5,120",2.56
2010M07,"22,542,267",3.65,"21,914,860",3.71,"356,214",27.99,"2,468,071",14.79,"6,149,618",11.01,"4,133,767",2.21,"6,551,061",-3.74,"1,189,220",22.27,"1,066,909",-20.45,"627,407",1.88,"11,847",-1.82,"611,297",1.95,"4,263",2.16
2010M08,"22,668,232",4.51,"22,026,331",4.51,"324,864",10.01,"2,604,586",15.45,"6,195,462",11.70,"4,091,744",4.79,"6,554,250",-3.09,"1,206,292",23.43,"1,049,133",-21.28,"641,901",4.44,"11,496",-14.04,"625,433",4.74,"4,972",19.84
2010M09,"22,828,858",4.92,"22,157,871",4.79,"309,302",7.10,"2,493,101",13.95,"6,368,413",11.58,"4,037,528",3.99,"6,564,541",-2.56,"1,337,369",27.94,"1,047,617",-19.10,"670,987",9.12,"11,969",7.49,"653,755",9.08,"5,263",19.37
2010M10,"23,087,411",5.15,"22,417,259",4.95,"345,926",9.63,"2,497,718",6.96,"6,374,466",9.23,"4,137,596",6.46,"6,556,171",-1.68,"1,452,920",36.44,"1,052,462",-16.01,"670,152",12.20,"16,595",24.28,"647,893",11.89,"5,664",15.47
2010M11,"23,247,345",5.56,"22,540,532",5.20,"323,392",7.01,"2,594,887",7.66,"6,396,109",9.15,"4,164,985",6.19,"6,560,896",-0.72,"1,435,277",32.53,"1,064,986",-14.17,"706,813",18.45,"17,411",-13.27,"682,205",19.20,"7,197",67.22
2010M12,"23,598,177",5.63,"22,901,147",5.32,"340,176",4.49,"2,688,197",9.66,"6,542,247",8.82,"4,208,838",5.81,"6,546,483",-0.19,"1,471,951",25.71,"1,103,255",-11.59,"697,030",16.92,"18,929",30.87,"672,162",16.39,"5,939",41.61
