期間,廣義貨幣總計數M2增( + )  減( - ),國外資產淨額,對政府債權,對公營事業債權,對民間部門債權,政府存款,其他項目(淨額)
2010M01,"98,282","169,049","125,367","14,523","-76,948","-114,608","-19,101"
2010M02,"138,385","-16,004","22,848","-10,334","44,687","123,327","-26,139"
2010M03,"-9,117","246,403","-84,068","-13,118","-2,087","23,315","-179,562"
2010M04,"97,024","127,982","-28,409","37,073","138,088","-4,176","-173,534"
2010M05,"-33,413","-46,923","-50,029","11,770","210,535","-92,596","-66,170"
2010M06,"114,806","67,127","-105,464","7,200","146,470","48,997","-49,524"
2010M07,"188,171","-89,042","-8,887","9,009","117,735","-19,033","178,389"
2010M08,"112,632",-761,"8,241","1,508","195,853","19,678","-111,887"
2010M09,"102,102","140,771","-15,961","-6,676",-594,"-66,262","50,824"
2010M10,"272,067","192,171","55,015","-2,983","106,872","49,673","-128,681"
2010M11,"101,034","28,042","46,771","-12,773","162,244","-38,574","-84,676"
2010M12,"416,894","107,641","148,845","24,931","104,121","28,095","3,261"
2011M01,"405,989","95,896","184,028","-6,356","202,975","50,183","-120,737"
2011M02,"-23,292","-113,978","37,075","-11,755","34,577","-9,452","40,241"
2011M03,"12,576","-73,389","-63,794","31,980","47,239","82,843","-12,303"
2011M04,"199,823","130,564","-10,110","-23,853","120,209","8,904","-25,891"
2011M05,"-192,587","-127,943","-52,013","31,491","189,633","-139,574","-94,181"
2011M06,"173,167","-4,633","-77,437","8,212","65,239","54,100","127,686"
2011M07,"304,202","74,359","-1,935","13,070","80,498","11,725","126,485"
2011M08,"-39,513","-91,288","-41,223","18,435","235,875","31,683","-192,995"
2011M09,"98,715","-7,974","2,767","5,450","107,715","-40,923","31,680"
2011M10,"150,585","22,845","32,920","-12,852","31,679","56,634","19,359"
2011M11,"75,927","87,049","-12,336","14,053","92,439","-14,944","-90,334"
2011M12,"331,899","215,559","164,125",-583,"-68,231","-1,007","22,036"
2012M01,"518,256","375,042","178,252","-11,121","54,320","90,869","-169,106"
2012M02,"-83,641","9,574","76,335","-31,309","4,900","8,568","-151,709"
2012M03,"70,938","-51,217","100,782",931,"-54,330","-15,081","89,853"
2012M04,"-26,903","2,317","32,146","5,322","108,680","-5,594","-169,774"
2012M05,"-117,356","-66,915","-127,464","6,421","225,487","-68,981","-85,904"
2012M06,"40,107","29,016","-134,820","-1,378","-17,685","41,258","123,716"
2012M07,"74,021","-127,978","48,536","16,847","178,409","-34,698","-7,095"
2012M08,"238,852","199,719","-23,590","8,047","118,364","44,879","-108,567"
2012M09,"-90,848","-62,626","24,731","-11,390","62,258","-32,978","-70,843"
2012M10,"8,327","-42,853","35,472","5,970","109,841","24,773","-124,876"
2012M11,"159,227","113,525","-16,969","-6,860","134,497","-30,028","-34,938"
2012M12,"331,504","85,108","166,234","39,723","70,332","5,395","-35,288"
2013M01,"353,248","86,141","186,283","-4,286","36,287","-3,572","52,395"
2013M02,"188,363","94,025","39,632","19,370","7,560","86,097","-58,321"
2013M03,"112,766","-31,026","65,044","14,504","53,994","-3,003","13,252"
2013M04,"43,830","154,286","-21,325","4,639","77,869","12,155","-183,795"
2013M05,"44,822","109,270","-128,389","6,091","126,566","-33,655","-35,061"
2013M06,"266,067","105,914","-48,933","9,345","53,543","-33,276","179,473"
2013M07,"259,588","43,679","89,999","6,763","155,445","-18,369","-17,929"
2013M08,"111,625","68,106","-1,597","-14,727","85,156","36,332","-61,645"
2013M09,"4,945","19,664","-34,013","8,330","126,968","-45,612","-70,392"
2013M10,"205,296","184,666","-56,314","-1,636","126,527","57,310","-105,257"
2013M11,"69,573","92,891","-17,720","10,094","157,651","-125,183","-48,160"
2013M12,"284,336","183,455","2,247","-14,088","44,884","126,770","-58,932"
2014M01,"462,125","124,249","189,616","1,423","130,700","-26,431","42,568"
2014M02,"121,354","198,449","37,102","4,792","27,133","27,513","-173,635"
2014M03,"156,934","164,621","76,465","-17,773","-25,763","-14,670","-25,946"
2014M04,"130,839","110,559","34,854","7,753","141,194",293,"-163,814"
2014M05,"-23,511","130,351","-65,702","-8,854","132,291","-93,299","-118,298"
2014M06,"76,849","137,833","-132,583","-15,833","98,008","-3,213","-7,363"
2014M07,"348,539","40,728","20,066","4,780","281,947","-57,086","58,104"
