期間,放款_原始值,放款_年增率(%),投資--對非金融機構證券投資--政府機關_原始值,投資--對非金融機構證券投資--政府機關_年增率(%),投資--對非金融機構證券投資--公營事業_原始值,投資--對非金融機構證券投資--公營事業_年增率(%),投資--對非金融機構證券投資--民營事業_原始值,投資--對非金融機構證券投資--民營事業_年增率(%),對金融機構證券投資_原始值,對金融機構證券投資_年增率(%),對金融機構債權_原始值,對金融機構債權_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),借入款_原始值,借入款_年增率(%),應付融券價款_原始值,應付融券價款_年增率(%),存入保證金_原始值,存入保證金_年增率(%),應付票據_原始值,應付票據_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%)
2001M05,"62,017",-72.59,"3,181",53.38,-,-,"19,482",45.77,643,-21.01,"3,148",-13.61,3,0.00,"88,474",-64.06,"9,929",-74.47,"5,023",-41.07,"5,939",8.24,"42,739",-75.11,"24,844",15.41
2001M06,"58,458",-72.58,"3,893",95.73,-,-,"22,079",53.91,250,-65.08,"3,118",-4.59,3,0.00,"87,801",-62.40,"15,443",-66.04,"3,886",-57.16,"4,777",-17.79,"38,991",-74.05,"24,704",7.85
2001M07,"43,923",-75.80,"5,418",170.36,-,-,"18,094",17.55,250,-70.45,"3,027",6.21,3,0.00,"70,715",-65.10,"4,272",-85.91,"5,446",-44.92,"5,230",-34.09,"31,920",-76.16,"23,847",15.86
2001M08,"44,048",-75.08,"6,780",229.93,-,-,"17,441",9.80,202,-78.53,"2,919",-4.89,3,0.00,"71,393",-64.07,"6,048",-75.37,"6,644",-46.18,"5,989",-41.91,"29,765",-77.13,"22,947",7.57
2001M09,"34,238",-76.55,"6,183",206.24,-,-,"17,459",-2.17,570,-54.76,"2,858",-26.00,3,0.00,"61,311",-64.15,"7,591",-63.56,"4,634",-49.08,"4,166",-44.93,"23,475",-78.74,"21,445",-7.24
2001M10,"34,135",-62.39,"6,548",201.61,-,-,"23,577",29.48,460,-51.01,"3,211",-27.89,3,0.00,"67,934",-41.70,"9,148",-33.85,"9,007",28.69,"7,891",7.83,"19,882",-68.90,"22,006",-10.01
2001M11,"40,350",-44.47,"7,714",159.73,-,-,"18,526",3.26,460,-74.64,"2,829",-10.56,3,0.00,"69,882",-29.09,"7,833",-15.74,"8,710",31.63,"7,718",5.12,"23,022",-55.04,"22,599",-6.22
2001M12,"61,000",-3.17,"7,728",160.90,-,-,"15,847",-13.65,888,-71.39,"3,826",21.42,3,0.00,"89,292",-1.41,"18,144",6.40,"8,410",37.53,"7,498",8.31,"31,512",-13.36,"23,728",-1.58
2002M01,"76,239",17.36,"6,836",119.45,-,-,"14,657",-7.13,639,-64.70,"2,715",3.63,3,0.00,"101,089",14.49,"11,140",6.45,"8,040",24.84,"6,889",-7.21,"50,478",26.64,"24,542",1.81
2002M02,"72,665",-2.98,"7,535",149.26,-,-,"15,263",-1.93,490,-66.21,"2,818",-0.88,3,0.00,"98,774",1.01,"10,626",207.20,"5,161",-17.71,"4,569",-37.16,"53,666",-3.39,"24,752",-1.89
