期間,資產--放款_原始值,資產--放款_年增率(%),資產--證券投資-政府債券_原始值,資產--證券投資-政府債券_年增率(%),資產--證券投資-股份與債券等-公營事業_原始值,資產--證券投資-股份與債券等-公營事業_年增率(%),資產--證券投資-股份與債券等-民營企業_原始值,資產--證券投資-股份與債券等-民營企業_年增率(%),資產--證券投資-股份與債券等-金融機構_原始值,資產--證券投資-股份與債券等-金融機構_年增率(%),資產--不動產投資_原始值,資產--不動產投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-其他金融機構_原始值,資產--對金融機構債權-其他金融機構_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),負債與淨值--信託資金_原始值,負債與淨值--信託資金_年增率(%),負債與淨值--對金融機構負債-中央銀行_原始值,負債與淨值--對金融機構負債-中央銀行_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-其他金融機構_原始值,負債與淨值--對金融機構負債-其他金融機構_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
2003M07,"52,092",-3.69,"31,853",-6.08,400,-38.46,"12,938",-17.86,809,-32.64,"27,088",-6.78,217,"1,450.00","6,984",-29.28,615,-0.49,63,5.00,"56,403",-16.70,"189,462",-11.03,"116,699",-4.46,-,-,"37,631",-14.74,"7,051",-27.03,"17,406",-25.22,"10,675",--
2003M08,"53,001",0.54,"30,639",-12.55,400,-38.46,"13,247",-17.10,809,-30.08,"27,080",-6.86,219,"2,090.00","6,390",-34.49,625,0.48,65,10.17,"55,104",-17.26,"187,579",-11.38,"116,735",-3.61,-,-,"36,697",-16.07,"6,900",-27.81,"17,786",-26.42,"9,461",--
2003M09,"53,183",2.60,"29,667",-15.16,400,-38.46,"13,973",9.71,809,-31.21,"27,614",-7.68,210,62.79,"6,841",-34.12,621,0.81,63,12.50,"54,126",-14.84,"187,507",-8.99,"116,814",-2.16,-,-,"36,224",-16.12,"6,846",-25.64,"17,830",-18.55,"9,793",--
2003M10,"53,134",5.46,"32,149",-6.47,400,-38.46,"13,265",-11.03,809,-47.19,"27,344",-8.62,209,-5.43,"7,706",-10.90,621,1.47,63,-3.08,"53,867",-13.64,"189,567",-6.93,"118,879",0.69,-,-,"36,009",-15.89,"6,923",-21.41,"17,737",-19.90,"10,019",--
2003M11,"53,069",7.31,"31,132",-8.02,363,-40.78,"15,305",-2.10,809,-36.55,"26,335",-5.57,213,-4.05,"7,876",-9.86,620,0.32,60,9.09,"53,961",-12.85,"189,743",-5.25,"120,017",1.81,-,-,"35,274",-16.09,"6,983",-21.49,"17,100",-13.12,"10,369",--
2003M12,"53,683",6.30,"29,796",-10.41,188,-57.08,"11,900",-0.14,853,-15.88,"27,514",-4.58,209,71.31,"10,242",5.19,620,1.14,57,5.56,"52,163",-13.78,"187,225",-4.96,"118,842",2.24,-,-,"33,639",-18.79,"6,886",-14.40,"16,030",-18.16,"11,828",--
2004M01,"55,149",10.11,"28,228",-14.99,188,-57.08,"16,271",10.16,835,-3.91,"26,323",-8.33,215,-0.92,"7,036",-15.07,679,9.52,68,9.68,"52,287",-13.87,"187,279",-5.40,"119,315",2.04,-,-,"32,864",-20.19,"6,888",-13.55,"16,317",-18.65,"11,895",--
2004M02,"54,512",8.19,"27,901",-19.39,188,-57.08,"16,681",16.15,799,-8.06,"25,924",-9.91,217,-0.46,"7,123",-10.92,672,8.21,61,-15.28,"52,800",-13.58,"186,878",-6.30,"120,026",1.67,-,-,"32,409",-21.28,"6,593",-13.43,"15,893",-23.23,"11,957",--
2004M03,"56,423",10.58,"28,074",-18.65,188,-57.08,"15,677",14.06,754,-13.23,"25,915",-10.18,214,-12.65,"6,065",-28.86,774,26.47,55,-1.79,"52,899",-12.90,"187,038",-6.30,"120,792",1.90,-,-,"31,855",-22.96,"6,602",-9.05,"15,660",-23.39,"12,129",--
2004M04,"55,609",7.44,"28,265",-14.26,188,-57.08,"16,004",0.75,804,-7.48,"25,398",-10.43,206,-9.25,"6,113",-30.97,690,12.38,51,4.08,"52,630",-9.16,"185,958",-6.06,"120,501",1.51,-,-,"30,409",-25.50,"6,468",-10.19,"16,388",-19.21,"12,192",--
