期間,勞動力參與率_合計,勞動力參與率_國小以下,勞動力參與率_國中,勞動力參與率_高中,勞動力參與率_高職,勞動力參與率_專科,勞動力參與率_大學以上,勞動力參與率_合計,勞動力參與率_國小以下,勞動力參與率_國中,勞動力參與率_高中,勞動力參與率_高職,勞動力參與率_專科,勞動力參與率_大學以上,勞動力參與率_合計,勞動力參與率_國小以下,勞動力參與率_國中,勞動力參與率_高中,勞動力參與率_高職,勞動力參與率_專科,勞動力參與率_大學以上,失業率_合計,失業率_國小以下,失業率_國中,失業率_高中,失業率_高職,失業率_專科,失業率_大學以上,失業率_合計,失業率_國小以下,失業率_國中,失業率_高中,失業率_高職,失業率_專科,失業率_大學以上,失業率_合計,失業率_國小以下,失業率_國中,失業率_高中,失業率_高職,失業率_專科,失業率_大學以上
1987M02,60.96,56.29,69.51,52.55,63.47,71.00,63.06,75.58,77.75,84.95,62.09,72.17,76.23,66.15,46.24,39.48,50.03,40.28,55.12,63.71,57.63,2.37,1.05,2.69,3.66,3.84,4.22,1.53,2.39,1.27,2.89,3.68,3.65,3.50,1.34,2.34,0.72,2.25,3.62,4.09,5.40,1.90
1987M03,60.04,55.60,67.43,51.11,63.29,70.30,62.80,74.78,77.70,82.62,61.28,71.94,73.40,66.44,45.20,38.37,48.20,38.19,55.08,65.90,56.10,2.03,0.81,2.07,3.29,3.64,3.10,1.97,2.06,1.03,2.20,3.62,3.56,2.73,1.24,1.97,0.45,1.79,2.61,3.74,3.70,3.56
1987M04,59.67,55.08,67.37,50.09,62.87,71.02,62.16,74.46,76.92,82.16,59.47,72.04,74.77,66.47,44.78,37.96,48.78,38.49,53.93,65.71,54.30,1.72,0.83,1.63,2.73,3.09,2.42,1.51,1.81,1.16,1.84,2.52,3.05,2.02,1.26,1.58,0.30,1.21,3.12,3.14,3.07,2.08
1987M05,60.14,55.66,67.32,50.36,63.70,72.01,61.97,74.41,76.26,81.83,59.24,72.65,77.00,65.98,45.79,39.55,48.76,39.23,54.89,65.19,55.04,1.94,0.96,2.39,2.63,3.36,1.82,1.89,2.07,1.30,2.65,2.51,3.17,1.75,1.70,1.73,0.45,1.85,2.87,3.59,1.94,2.29
1987M06,60.95,56.88,67.35,51.70,64.80,72.36,61.62,74.62,76.45,80.96,61.79,72.67,77.87,65.54,47.20,41.60,49.32,38.82,57.12,65.01,55.24,1.75,0.63,1.76,2.42,3.28,2.15,3.39,1.73,0.92,1.87,2.37,2.82,1.63,2.67,1.79,0.21,1.54,2.52,3.84,2.97,4.77
1987M07,61.68,56.12,67.53,51.80,68.75,73.52,65.48,76.05,76.05,81.59,63.55,77.85,79.57,69.08,47.24,40.65,48.80,36.90,60.01,65.28,59.40,2.02,0.56,2.06,2.54,3.63,3.63,3.48,1.93,0.67,2.26,1.97,3.63,3.00,2.28,2.15,0.39,1.64,3.80,3.63,4.68,5.85
1987M08,61.77,56.03,71.84,49.89,67.04,72.68,63.13,75.43,75.56,85.60,59.72,75.63,77.89,66.26,48.05,40.87,53.55,37.09,58.97,65.53,57.75,2.08,0.69,2.04,3.01,3.56,3.75,2.89,2.00,0.84,2.26,2.97,3.25,3.19,1.79,2.19,0.48,1.56,3.08,3.93,4.66,5.07
1987M09,61.10,55.30,72.38,50.93,64.70,72.58,61.53,75.02,75.76,86.49,59.67,72.69,77.83,66.24,47.12,39.43,53.80,39.73,57.00,65.52,53.63,2.07,0.55,2.27,3.32,3.69,2.67,3.30,1.92,0.74,2.43,3.10,2.86,2.52,2.22,2.31,0.26,1.93,3.73,4.71,2.92,5.55
1987M10,61.20,55.27,72.16,51.72,64.74,72.82,62.78,75.62,76.09,86.61,61.73,73.08,78.86,67.37,46.72,39.01,53.29,39.36,56.83,64.51,54.64,2.01,0.67,2.08,3.10,3.25,3.07,3.42,1.93,0.93,2.22,2.67,2.55,3.21,2.55,2.15,0.29,1.77,3.92,4.11,2.84,5.33
1987M11,61.00,54.85,71.77,53.27,63.98,71.81,63.92,75.37,75.22,85.99,64.13,73.04,77.43,68.02,46.57,38.83,53.47,39.07,55.54,64.25,56.96,1.86,0.69,1.88,2.91,3.07,2.84,2.52,1.78,0.90,1.97,2.68,2.68,2.10,2.20,1.98,0.37,1.68,3.41,3.55,4.05,3.16
1987M12,61.06,54.46,71.28,55.17,64.32,72.95,63.59,75.56,75.46,85.75,64.44,73.91,77.32,67.70,46.52,38.30,52.69,42.20,55.39,66.67,56.61,1.82,0.72,2.14,2.82,2.87,2.59,1.76,1.90,1.01,2.48,2.80,2.62,2.11,1.45,1.70,0.29,1.43,2.86,3.18,3.39,2.37
1988M01,61.08,54.83,70.57,54.42,64.46,73.02,63.64,75.57,75.95,85.40,63.05,73.42,78.37,67.49,46.54,38.53,51.91,42.20,55.93,65.55,56.76,1.77,0.73,1.74,2.89,2.87,2.69,2.03,1.88,0.98,1.95,3.23,2.72,2.74,1.64,1.58,0.35,1.30,2.18,3.05,2.62,2.86
1988M02,60.07,53.97,68.52,53.88,63.80,70.53,63.90,75.22,75.87,84.02,63.98,72.47,76.10,68.94,44.87,36.93,48.51,40.47,55.68,62.96,54.94,1.70,0.68,1.88,2.45,2.59,2.89,2.03,1.77,0.89,1.90,2.40,2.72,2.91,1.65,1.58,0.35,1.84,2.55,2.44,2.86,2.89
1988M03,59.44,53.70,67.74,52.38,63.36,69.36,62.73,74.85,75.98,83.82,63.22,72.96,73.59,67.58,43.99,36.36,47.42,38.28,54.29,63.61,54.25,1.79,0.77,2.19,1.94,2.89,2.92,1.60,1.82,0.98,2.41,1.66,2.78,2.75,1.23,1.73,0.42,1.71,2.52,3.03,3.19,2.41
1988M04,59.14,53.46,67.30,51.50,62.64,70.20,62.86,74.32,75.16,83.11,61.95,73.27,75.05,67.00,43.92,36.67,47.66,37.91,52.51,63.53,55.51,1.59,0.60,1.89,2.28,2.74,2.24,1.25,1.63,0.73,2.04,1.99,2.70,2.33,1.05,1.53,0.40,1.56,2.90,2.79,2.08,1.67
1988M05,59.11,53.58,66.36,51.10,62.85,71.28,63.07,73.67,74.52,80.85,60.87,72.99,76.93,66.46,44.52,37.53,47.74,38.68,53.16,63.36,57.16,1.74,0.61,1.99,2.45,3.09,2.55,1.55,1.79,0.68,2.25,2.24,2.85,2.76,1.66,1.67,0.51,1.41,2.86,3.41,2.18,1.32
1988M06,59.66,54.28,65.79,51.30,64.58,71.35,63.49,74.34,75.70,80.44,61.23,74.00,77.10,67.26,44.95,37.81,46.75,38.83,55.67,63.33,56.98,1.83,0.58,1.58,2.56,3.30,3.03,2.95,1.75,0.64,1.85,2.34,2.99,2.37,2.67,1.95,0.49,0.97,3.00,3.69,4.16,3.50
1988M07,60.29,53.75,65.89,51.55,67.94,72.65,65.19,75.27,75.52,80.81,62.10,77.93,77.40,68.72,45.27,37.10,46.13,38.45,58.41,66.15,59.34,1.94,0.67,1.51,2.27,3.21,3.69,3.86,1.83,0.73,1.64,2.48,2.97,3.24,2.71,2.12,0.57,1.20,1.85,3.50,4.42,6.07
1988M08,60.79,54.11,70.44,51.02,66.80,71.90,62.90,74.87,74.70,85.27,60.90,75.59,76.38,65.92,46.68,38.26,51.05,38.58,58.54,65.63,58.01,1.87,0.62,1.79,2.72,3.21,2.79,2.74,1.67,0.72,1.86,2.74,2.45,2.31,1.82,2.19,0.47,1.62,2.67,4.12,3.58,4.42
1988M09,60.12,53.31,71.50,51.88,63.94,70.72,62.07,74.49,74.56,86.75,60.28,72.24,76.52,67.75,45.72,36.88,52.01,41.21,56.11,63.01,52.78,1.62,0.51,1.75,2.28,2.83,2.25,1.95,1.51,0.60,1.95,1.73,2.33,2.16,1.57,1.81,0.38,1.31,3.31,3.44,2.39,2.73
1988M10,60.89,55.09,71.18,52.57,63.52,71.03,63.02,74.99,75.90,85.37,61.15,71.99,76.95,68.99,46.77,39.08,52.63,41.95,55.56,63.15,52.90,1.54,0.53,1.72,2.33,2.61,2.23,1.62,1.65,0.68,2.12,2.12,2.64,2.36,1.29,1.37,0.30,0.87,2.72,2.57,2.02,2.35
