期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%)
2005,87,0.00,"21,434",-1.43,72.00,-,0,-6.74,60,-1.64,"18,385",-1.71,73.33,-,0,-7.52,27,3.85,"3,049",0.33,64.05,-,0,-2.37
2006,89,2.30,"21,095",-1.58,69.20,-,0,6.24,60,0.00,"17,830",-3.02,70.39,-,0,7.86,29,7.41,"3,265",7.08,62.51,-,0,-2.17
2007,90,1.12,"21,171",0.36,67.16,-,0,6.57,60,0.00,"17,733",-0.54,68.55,-,0,8.38,30,3.45,"3,438",5.30,60.08,-,0,-1.86
