期間,境外外國機構投資人-申請登記件數_原始值,境外外國機構投資人-申請登記件數_年增率(%),境外外國機構投資人-完成登記件數_原始值,境外外國機構投資人-完成登記件數_年增率(%),境外外國機構投資人-累積匯入淨額_原始值,境外外國機構投資人-累積匯入淨額_年增率(%),境外華僑及外國自然人-申請登記件數_原始值,境外華僑及外國自然人-申請登記件數_年增率(%),境外華僑及外國自然人-完成登記件數_原始值,境外華僑及外國自然人-完成登記件數_年增率(%),境外華僑及外國自然人-累積匯入淨額_原始值,境外華僑及外國自然人-累積匯入淨額_年增率(%),合計數-總完成登記件數_原始值,合計數-總完成登記件數_年增率(%),合計數-總累積匯入淨額_原始值,合計數-總累積匯入淨額_年增率(%),合計數-持有股票市值占總市值比例(%)_原始值,合計數-持有股票市值占總市值比例(%)_年增率(%)
1999,...,...,...,...,228.62,107.18,...,...,...,...,0.23,9.52,...,...,228.85,106.99,...,-
2000,...,...,...,...,313.26,37.02,...,...,...,...,0.25,8.70,...,...,313.51,36.99,15.34,-
2001,...,...,...,...,414.23,32.23,...,...,...,...,0.16,-36.00,...,...,414.39,32.18,18.51,-
2002,...,...,...,...,429.94,3.79,...,...,...,...,0.19,18.75,...,...,430.13,3.80,15.40,-
