期間,總成交值(十億元)_原始值,總成交值(十億元)_年增率(%),成交筆數(百萬)_原始值,成交筆數(百萬)_年增率(%),成交金額(十億元)-股票_原始值,成交金額(十億元)-股票_年增率(%),成交金額(十億元)-指數股票型基金_原始值,成交金額(十億元)-指數股票型基金_年增率(%),成交金額(十億元)-封閉式基金_原始值,成交金額(十億元)-封閉式基金_年增率(%),成交金額(十億元)-受益證券_原始值,成交金額(十億元)-受益證券_年增率(%),成交金額(十億元)-認購(售)權證_原始值,成交金額(十億元)-認購(售)權證_年增率(%),成交金額(十億元)-臺灣存託憑證_原始值,成交金額(十億元)-臺灣存託憑證_年增率(%),成交金額(十億元)-公債_原始值,成交金額(十億元)-公債_年增率(%),成交金額(十億元)-公司債-普通_原始值,成交金額(十億元)-公司債-普通_年增率(%),成交金額(十億元)-公司債-轉換_原始值,成交金額(十億元)-公司債-轉換_年增率(%)
2010M08,"2,797.26",31.59,23.92,24.18,"2,725.32",30.01,20.16,46.83,0.02,-60.00,0.29,11.54,21.23,184.20,30.24,281.34,0.00,--,0.00,--,0.00,--
2010M09,"2,696.34",0.52,22.07,-5.16,"2,630.21",-0.39,13.95,-36.13,0.02,-71.43,0.65,66.67,24.51,180.11,27.00,144.34,0.00,--,0.00,--,0.00,--
2010M10,"2,459.96",-12.81,20.41,-17.90,"2,387.01",-14.11,19.49,12.14,0.01,-83.33,0.48,-9.43,23.66,153.05,29.31,93.47,0.00,--,0.00,--,0.00,--
2010M11,"2,391.06",3.12,19.42,-6.36,"2,324.26",1.76,17.03,18.02,0.01,-83.33,0.74,57.45,24.06,192.35,24.96,116.85,0.00,--,0.00,--,0.00,--
2010M12,"3,154.87",5.04,25.52,-3.61,"3,072.80",4.27,23.31,48.47,0.01,-66.67,0.63,-1.56,33.98,225.17,24.14,-19.37,0.00,--,0.00,--,0.00,--
2011M01,"2,701.08",-11.20,21.71,-15.54,"2,621.30",-12.12,22.91,14.38,0.10,11.11,0.41,51.85,30.26,134.94,26.11,2.23,0.00,--,0.00,--,0.00,--
2011M02,"1,961.14",47.31,15.39,28.82,"1,908.63",46.06,21.64,86.71,0.01,--,0.34,142.86,18.40,260.08,12.11,55.46,0.00,--,0.00,--,0.00,--
2011M03,"2,709.51",14.27,21.67,5.25,"2,632.64",13.21,28.14,78.55,0.04,300.00,0.27,35.00,29.89,182.78,18.53,-3.04,0.00,--,0.00,--,0.00,--
2011M04,"2,198.22",-16.08,17.05,-23.72,"2,130.05",-17.09,30.23,129.02,0.03,200.00,0.32,-20.00,27.09,102.01,10.49,-54.82,0.00,--,0.00,--,0.00,--
2011M05,"2,247.12",10.87,17.41,-2.88,"2,172.78",9.46,27.24,50.17,0.13,"1,200.00",0.49,4.26,27.03,157.92,19.45,53.27,0.00,--,0.00,--,0.00,--
