期間,合計_原始值,合計_年增率(%),亞洲_原始值,亞洲_年增率(%),美洲_原始值,美洲_年增率(%),歐洲_原始值,歐洲_年增率(%),大洋洲_原始值,大洋洲_年增率(%),非洲_原始值,非洲_年增率(%),未列明_原始值,未列明_年增率(%)
1999,"6,558,663",...,"4,968,220",...,"733,888",...,"225,065",...,"96,966",...,-,...,"534,524",...
2000,"7,328,784",11.74,"5,853,619",17.82,"832,543",13.44,"272,449",21.05,"116,538",20.18,-,--,"253,635",-52.55
2001,"7,152,877",-2.40,"5,959,082",1.80,"673,906",-19.05,"246,659",-9.47,"131,810",13.10,-,--,"141,420",-44.24
