期間,總指數_原始值,總指數_年增率(%),總指數(不含土石採取業)_原始值,總指數(不含土石採取業)_年增率(%),總指數(不含建築工程業)_原始值,總指數(不含建築工程業)_年增率(%),總指數(不含土石採取及建築工程業)_原始值,總指數(不含土石採取及建築工程業)_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),製造業_原始值,製造業_年增率(%),金屬機電工業_原始值,金屬機電工業_年增率(%),資訊電子工業_原始值,資訊電子工業_年增率(%),化學工業_原始值,化學工業_年增率(%),民生工業_原始值,民生工業_年增率(%),電力及燃氣供應業_原始值,電力及燃氣供應業_年增率(%),用水供應業_原始值,用水供應業_年增率(%),建築工程業_原始值,建築工程業_年增率(%)
1981M11,...,...,20.28,0.55,...,...,19.21,-7.42,...,...,18.75,1.96,23.13,-2.61,3.50,11.46,25.22,-2.85,90.70,6.51,19.08,-3.44,34.45,8.98,129.13,-9.24
1981M12,...,...,24.14,8.11,...,...,20.63,-6.61,...,...,20.74,1.12,23.98,-1.64,3.73,6.88,27.56,-4.70,108.18,4.35,19.67,-1.06,33.51,4.72,307.97,98.49
1982M01,...,...,18.62,-12.99,...,...,17.60,-10.61,...,...,17.32,-11.09,20.62,-14.69,2.77,-10.93,23.20,-10.84,89.49,-15.39,16.97,-13.59,33.03,5.02,109.97,-33.01
1982M02,...,...,19.77,15.89,...,...,18.66,-6.89,...,...,18.44,18.43,22.13,14.13,3.25,22.64,24.47,13.50,93.33,21.33,17.61,8.77,30.39,3.09,121.98,-5.51
1982M03,...,...,21.97,3.78,...,...,20.98,2.39,...,...,20.69,4.28,24.29,0.04,3.63,4.01,26.81,1.94,108.12,9.39,20.15,1.15,33.21,4.57,100.24,-13.26
1982M04,...,...,21.13,-1.45,...,...,20.28,0.25,...,...,19.97,-0.10,23.86,-3.91,3.75,3.88,25.57,-1.35,102.39,1.87,19.41,-3.00,32.24,3.57,83.44,-35.64
1982M05,...,...,21.55,-0.55,...,...,20.67,0.29,...,...,20.27,0.50,24.59,0.41,3.73,3.32,27.01,3.09,100.18,-1.12,21.35,2.45,35.17,9.87,86.71,-32.05
1982M06,...,...,21.09,-2.27,...,...,19.98,-0.55,...,...,19.54,-2.15,22.66,-12.31,3.69,1.10,26.05,0.66,98.07,2.33,21.56,3.75,34.77,10.10,117.52,-15.39
1982M07,...,...,21.55,-1.51,...,...,20.56,8.15,...,...,20.05,-1.28,23.82,-1.89,3.90,-2.99,26.65,4.51,98.77,-3.08,23.07,3.22,37.15,9.49,100.32,-22.85
1982M08,...,...,20.77,-5.38,...,...,19.83,1.23,...,...,19.24,-5.50,23.30,-9.16,3.81,-0.26,24.68,-3.48,96.04,-6.26,23.19,-0.77,37.81,9.47,95.74,-26.71
1982M09,...,...,21.22,1.29,...,...,20.35,4.73,...,...,19.85,2.85,23.38,-1.81,3.74,4.47,26.51,10.14,98.91,1.23,22.35,7.61,38.47,10.20,86.36,-37.37
1982M10,...,...,20.86,-1.09,...,...,19.93,1.22,...,...,19.46,0.05,22.82,-1.25,3.36,-10.88,27.40,8.09,95.05,0.19,21.45,2.73,38.37,7.99,95.33,-30.49
1982M11,...,...,20.56,1.38,...,...,19.53,1.67,...,...,19.13,2.03,23.20,0.30,3.36,-4.00,26.35,4.48,93.18,2.73,20.08,5.24,36.96,7.29,109.14,-15.48
1982M12,...,...,23.33,-3.36,...,...,22.13,7.27,...,...,21.90,5.59,25.84,7.76,3.88,4.02,29.65,7.58,109.75,1.45,20.33,3.36,36.96,10.30,128.81,-58.17
1983M01,...,...,22.45,20.57,...,...,21.38,21.48,...,...,21.11,21.88,24.28,17.75,3.66,32.13,29.04,25.17,106.14,18.61,20.33,19.80,36.82,11.47,111.50,1.39
1983M02,...,...,17.99,-9.00,...,...,17.21,-7.77,...,...,16.99,-7.86,20.20,-8.72,3.14,-3.38,23.83,-2.62,80.99,-13.22,16.55,-6.02,34.28,12.80,79.47,-34.85
1983M03,...,...,22.99,4.64,...,...,22.07,5.20,...,...,21.86,5.65,25.25,3.95,4.19,15.43,30.18,12.57,106.07,-1.90,20.62,2.33,36.77,10.72,90.10,-10.12
1983M04,...,...,22.83,8.05,...,...,21.98,8.38,...,...,21.73,8.81,26.75,12.11,4.37,16.53,27.07,5.87,109.64,7.08,21.14,8.91,36.52,13.28,79.60,-4.60
1983M05,...,...,23.87,10.77,...,...,22.92,10.89,...,...,22.58,11.40,27.17,10.49,4.54,21.72,30.28,12.11,108.20,8.01,23.29,9.09,38.60,9.75,91.12,5.09
1983M06,...,...,24.38,15.60,...,...,23.29,16.57,...,...,22.90,17.20,26.74,18.01,4.91,33.06,30.87,18.50,108.60,10.74,24.40,13.17,38.92,11.94,111.86,-4.82
1983M07,...,...,25.00,16.01,...,...,24.01,16.78,...,...,23.41,16.76,27.56,15.70,5.15,32.05,31.41,17.86,110.00,11.37,27.56,19.46,41.20,10.90,94.85,-5.45
1983M08,...,...,25.07,20.70,...,...,24.13,21.68,...,...,23.63,22.82,28.26,21.29,5.43,42.52,30.67,24.27,111.51,16.11,26.67,15.01,40.64,7.48,89.93,-6.07
1983M09,...,...,24.48,15.36,...,...,23.53,15.63,...,...,23.09,16.32,28.45,21.69,5.12,36.90,30.38,14.60,107.31,8.49,25.41,13.69,40.20,4.50,90.35,4.62
1983M10,...,...,24.46,17.26,...,...,23.48,17.81,...,...,23.03,18.35,29.30,28.40,4.88,45.24,31.17,13.76,103.95,9.36,25.11,17.06,40.46,5.45,95.20,-0.14
1983M11,...,...,24.68,20.04,...,...,23.59,20.79,...,...,23.36,22.11,28.69,23.66,5.05,50.30,32.73,24.21,103.30,10.86,22.23,10.71,39.55,7.01,111.15,1.84
1983M12,...,...,26.19,12.26,...,...,24.93,12.65,...,...,24.79,13.20,30.22,16.95,5.25,35.31,33.44,12.78,115.24,5.00,22.45,10.43,38.90,5.25,131.24,1.89
1984M01,...,...,27.24,21.34,...,...,25.85,20.91,...,...,25.82,22.31,29.10,19.85,5.28,44.26,34.28,18.04,128.60,21.16,22.18,9.10,38.47,4.48,144.77,29.84
1984M02,...,...,21.51,19.57,...,...,20.54,19.35,...,...,20.40,20.07,23.38,15.74,4.49,42.99,28.76,20.69,92.72,14.48,19.19,15.95,35.95,4.87,98.33,23.73
1984M03,...,...,26.84,16.75,...,...,25.91,17.40,...,...,25.76,17.84,29.44,16.59,5.98,42.72,34.11,13.02,121.85,14.88,23.67,14.79,38.25,4.03,84.89,-5.78
1984M04,...,...,26.12,14.41,...,...,25.04,13.92,...,...,24.88,14.50,29.06,8.64,5.90,35.01,33.11,22.31,114.92,4.82,23.11,9.32,37.92,3.83,103.93,30.57
1984M05,...,...,27.95,17.09,...,...,26.90,17.36,...,...,26.75,18.47,30.09,10.75,6.49,42.95,37.30,23.18,119.30,10.26,24.93,7.04,39.28,1.76,98.07,7.63
1984M06,...,...,27.11,11.20,...,...,26.03,11.76,...,...,25.72,12.31,30.06,12.42,6.44,31.16,35.17,13.93,112.73,3.80,26.53,8.73,40.47,3.98,103.15,-7.79
1984M07,...,...,28.21,12.84,...,...,27.00,12.45,...,...,26.58,13.54,30.86,11.97,6.41,24.47,35.98,14.55,120.24,9.31,29.38,6.60,42.52,3.20,119.18,25.65
1984M08,...,...,27.94,11.45,...,...,26.84,11.23,...,...,26.45,11.93,31.06,9.91,6.58,21.18,36.05,17.54,116.47,4.45,28.41,6.52,43.25,6.42,104.70,16.42
1984M09,...,...,25.53,4.29,...,...,24.56,4.38,...,...,24.13,4.50,28.92,1.65,5.87,14.65,32.72,7.70,106.48,-0.77,26.39,3.86,43.39,7.94,92.52,2.40
