期間,函件_原始值,函件_年增率(%),函件_原始值,函件_年增率(%),函件_原始值,函件_年增率(%),包裹_原始值,包裹_年增率(%),包裹_原始值,包裹_年增率(%),包裹_原始值,包裹_年增率(%),快捷郵件_原始值,快捷郵件_年增率(%),快捷郵件_原始值,快捷郵件_年增率(%),快捷郵件_原始值,快捷郵件_年增率(%)
2011M01,"1,004,230",16.50,"383,383",3.27,"620,847",26.50,"10,902",19.08,"7,344",17.02,"3,558",23.58,"42,168",22.95,"24,904",30.89,"17,264",13.05
2011M02,"593,751",-12.20,"228,487",-15.68,"365,264",-9.88,"6,256",5.18,"4,494",9.69,"1,762",-4.81,"24,762",4.21,"13,457",8.57,"11,305",-0.55
2011M03,"759,698",6.19,"299,092",2.19,"460,606",8.96,"8,621",12.34,"6,612",11.13,"2,009",16.53,"40,285",23.21,"23,762",33.34,"16,523",11.07
2011M04,"607,700",-8.47,"230,707",-12.60,"376,993",-5.75,"7,664",8.82,"5,484",5.10,"2,180",19.45,"34,325",11.15,"19,247",17.09,"15,078",4.38
2011M05,"623,522",-7.69,"259,508",1.53,"364,014",-13.30,"8,406",14.20,"6,353",17.84,"2,053",4.21,"37,398",16.16,"21,197",24.83,"16,201",6.48
2011M06,"678,145",7.09,"279,499",-2.08,"398,646",14.61,"8,452",14.28,"6,266",10.63,"2,186",26.21,"36,840",20.03,"21,207",26.47,"15,633",12.27
2011M07,"687,830",8.97,"254,291",3.68,"433,539",12.34,"7,599",-2.51,"5,505",-5.38,"2,094",5.92,"37,603",8.06,"20,753",7.18,"16,850",9.17
2011M08,"616,635",6.69,"287,586",19.96,"329,049",-2.72,"8,570",5.33,"6,471",6.92,"2,099",0.72,"36,747",9.38,"22,687",17.68,"14,060",-1.79
2011M09,"594,201",2.84,"268,158",12.91,"326,043",-4.18,"8,214",4.07,"6,083",4.32,"2,131",3.35,"38,209",8.78,"23,419",14.13,"14,790",1.26
2011M10,"632,549",13.42,"284,998",0.86,"347,551",26.31,"8,262",9.13,"6,083",5.11,"2,179",22.14,"33,376",6.35,"19,897",11.06,"13,479",0.09
2011M11,"700,464",-6.68,"299,026",4.29,"401,438",-13.46,"9,611",-6.33,"7,052",-1.25,"2,559",-17.98,"35,248",1.87,"21,354",5.96,"13,894",-3.84
2011M12,"1,076,806",6.66,"522,694",7.46,"554,112",5.91,"11,982",24.15,"9,043",25.98,"2,939",18.84,"42,979",3.66,"26,634",6.01,"16,345",0.04
2012M01,"974,522",-2.96,"386,395",0.79,"588,127",-5.27,"9,802",-10.09,"7,269",-1.02,"2,533",-28.81,"34,453",-18.30,"20,470",-17.80,"13,983",-19.00
2012M02,"554,605",-6.59,"273,103",19.53,"281,502",-22.93,"8,220",31.39,"6,304",40.28,"1,916",8.74,"36,511",47.45,"21,907",62.79,"14,604",29.18
2012M03,"762,012",0.30,"349,982",17.01,"412,030",-10.55,"9,655",11.99,"7,135",7.91,"2,520",25.44,"40,017",-0.67,"24,086",1.36,"15,931",-3.58
2012M04,"610,033",0.38,"279,652",21.22,"330,381",-12.36,"8,221",7.27,"6,345",15.70,"1,876",-13.94,"36,423",6.11,"21,378",11.07,"15,045",-0.22
2012M05,"728,131",16.78,"346,015",33.34,"382,116",4.97,"9,702",15.42,"7,313",15.11,"2,389",16.37,"40,629",8.64,"25,335",19.52,"15,294",-5.60
2012M06,"628,213",-7.36,"288,511",3.22,"339,702",-14.79,"9,440",11.69,"7,581",20.99,"1,859",-14.96,"37,891",2.85,"23,999",13.17,"13,892",-11.14
