期間,勞動力參與率_合計,勞動力參與率_15-19,勞動力參與率_20-24,勞動力參與率_25-29,勞動力參與率_30-34,勞動力參與率_35-39,勞動力參與率_40-44,勞動力參與率_45-49,勞動力參與率_50-54,勞動力參與率_55-59,勞動力參與率_60-64,勞動力參與率_65以上,勞動力參與率_合計,勞動力參與率_15-19,勞動力參與率_20-24,勞動力參與率_25-29,勞動力參與率_30-34,勞動力參與率_35-39,勞動力參與率_40-44,勞動力參與率_45-49,勞動力參與率_50-54,勞動力參與率_55-59,勞動力參與率_60-64,勞動力參與率_65以上,勞動力參與率_合計,勞動力參與率_15-19,勞動力參與率_20-24,勞動力參與率_25-29,勞動力參與率_30-34,勞動力參與率_35-39,勞動力參與率_40-44,勞動力參與率_45-49,勞動力參與率_50-54,勞動力參與率_55-59,勞動力參與率_60-64,勞動力參與率_65以上,失業率_合計,失業率_15-19,失業率_20-24,失業率_25-29,失業率_30-34,失業率_35-39,失業率_40-44,失業率_45-49,失業率_50-54,失業率_55-59,失業率_60-64,失業率_65以上,失業率_合計,失業率_15-19,失業率_20-24,失業率_25-29,失業率_30-34,失業率_35-39,失業率_40-44,失業率_45-49,失業率_50-54,失業率_55-59,失業率_60-64,失業率_65以上,失業率_合計,失業率_15-19,失業率_20-24,失業率_25-29,失業率_30-34,失業率_35-39,失業率_40-44,失業率_45-49,失業率_50-54,失業率_55-59,失業率_60-64,失業率_65以上
1978M01,58.54,44.20,63.19,67.70,69.69,70.87,71.08,70.01,66.20,57.74,42.41,9.80,77.62,44.04,75.61,95.53,97.92,98.57,97.88,95.68,90.48,82.40,67.17,17.25,38.86,44.37,54.84,39.40,40.29,42.18,42.89,36.99,30.57,23.42,10.76,2.85,2.01,5.01,4.55,1.77,0.18,0.54,0.49,0.58,1.22,0.98,0.97,0.73,1.82,4.83,4.94,2.07,0.25,0.34,0.60,0.75,1.31,1.11,1.10,0.86,2.39,5.20,4.19,1.02,0.00,1.02,0.22,0.00,0.81,0.37,0.00,0.00
1978M02,58.10,44.14,63.39,68.63,68.14,69.07,70.43,68.50,66.28,54.88,41.82,10.36,77.67,43.40,77.67,95.66,98.03,98.11,97.52,95.50,91.17,81.72,64.89,18.18,38.04,44.91,54.05,41.14,37.08,38.96,41.91,34.64,29.77,17.78,12.28,3.00,1.84,4.42,4.37,1.52,0.78,0.34,0.66,0.61,0.78,0.52,0.23,0.00,1.70,4.53,4.62,1.75,1.02,0.40,0.82,0.73,0.91,0.60,0.26,0.00,2.14,4.31,4.13,0.96,0.14,0.18,0.25,0.21,0.19,0.00,0.00,0.00
1978M03,57.68,41.44,62.52,67.84,69.47,70.27,69.98,69.10,66.31,56.32,41.56,10.33,76.40,38.90,73.98,95.13,98.03,98.41,97.71,94.65,91.09,82.68,64.61,18.45,38.46,44.03,54.73,39.99,39.67,41.13,40.91,37.43,30.78,19.74,12.07,2.67,1.76,3.41,4.66,1.53,0.58,0.44,0.78,0.42,1.29,0.55,0.32,0.58,1.62,2.85,5.50,1.69,0.59,0.60,0.83,0.55,1.54,0.64,0.36,0.66,2.03,3.92,3.89,1.14,0.56,0.05,0.67,0.00,0.20,0.00,0.00,0.00
1978M04,58.12,40.51,63.26,68.45,69.51,71.23,70.12,69.33,67.00,58.59,45.24,10.73,77.57,39.16,76.28,95.82,98.10,98.88,98.81,96.46,92.75,84.92,69.25,19.52,38.20,41.90,54.61,40.75,39.60,42.64,40.10,35.70,29.75,22.10,14.39,2.41,1.58,3.11,4.02,1.57,0.47,0.48,0.39,0.38,1.17,0.92,0.20,0.57,1.54,2.81,4.61,1.99,0.49,0.61,0.55,0.50,1.42,1.09,0.23,0.65,1.66,3.40,3.48,0.56,0.44,0.19,0.00,0.00,0.00,0.00,0.00,0.00
1978M05,58.26,41.54,63.96,68.80,69.29,71.61,69.96,70.30,66.64,57.35,44.18,8.57,77.66,40.32,77.90,96.27,98.62,98.26,98.60,96.76,92.72,83.53,68.66,15.31,38.40,42.79,54.72,41.09,38.85,44.03,39.92,37.52,28.83,20.74,12.62,2.18,1.70,3.30,3.89,1.88,0.86,0.25,0.22,0.60,0.98,1.75,0.72,0.00,1.82,3.32,5.23,2.40,1.06,0.25,0.31,0.78,1.19,2.06,0.83,0.00,1.44,3.29,2.62,0.63,0.35,0.25,0.00,0.00,0.00,0.00,0.00,0.00
1978M06,58.81,42.00,65.99,68.45,69.32,72.05,70.48,71.01,67.47,57.45,45.03,8.71,77.78,40.59,80.25,96.41,98.24,98.04,98.23,96.85,91.55,83.51,68.45,15.06,39.43,43.45,56.57,40.31,39.32,45.17,41.50,39.38,32.68,21.00,14.88,2.65,1.65,3.60,3.47,1.71,0.91,0.73,0.33,0.37,0.51,1.53,0.66,0.00,1.78,3.46,4.88,2.16,1.14,1.06,0.47,0.50,0.64,1.80,0.77,0.00,1.38,3.72,2.15,0.65,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1978M07,60.96,47.79,67.39,69.65,71.46,72.88,73.09,71.33,67.09,60.06,46.09,10.55,79.21,46.58,81.71,95.92,98.62,98.56,98.46,96.11,90.59,83.81,70.52,18.33,42.32,49.04,57.95,43.14,43.36,46.40,46.62,41.29,33.25,26.68,14.48,3.09,1.84,5.44,4.20,1.30,0.67,0.55,0.12,0.25,0.49,0.54,0.04,0.00,1.66,5.19,4.91,1.38,0.92,0.79,0.17,0.34,0.61,0.66,0.05,0.00,2.18,5.69,3.55,1.14,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1978M08,60.71,50.44,68.39,69.54,71.10,71.36,71.80,69.61,63.43,58.18,44.23,9.80,79.36,49.54,82.71,96.12,98.49,97.91,98.05,95.90,88.78,81.50,68.44,17.53,41.69,51.37,58.96,42.79,42.75,43.89,44.56,37.83,26.88,25.30,12.81,2.39,1.88,5.48,3.85,1.61,0.59,0.21,0.12,0.60,0.43,0.45,0.35,0.00,1.66,6.07,3.97,1.40,0.72,0.30,0.17,0.79,0.52,0.55,0.40,0.00,2.30,4.89,3.73,2.09,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1978M09,59.12,47.26,67.20,69.10,69.47,70.19,69.87,68.12,62.66,55.77,43.37,8.53,78.30,45.97,81.68,95.69,98.22,98.04,98.30,95.98,88.60,80.21,67.11,15.57,39.58,48.57,57.70,42.28,39.63,41.37,40.46,34.55,25.19,21.51,12.73,1.74,1.89,4.38,4.10,1.89,0.75,0.39,0.62,0.51,0.70,0.44,0.70,0.00,1.74,4.29,4.68,2.04,0.86,0.53,0.74,0.61,0.79,0.53,0.80,0.00,2.18,4.46,3.56,1.54,0.44,0.07,0.31,0.16,0.24,0.00,0.00,0.00
1978M10,58.65,46.63,66.67,67.94,68.50,68.87,69.94,68.17,63.55,55.81,43.62,8.49,78.22,45.79,81.10,95.14,98.10,98.40,98.58,95.85,88.99,80.54,67.72,15.05,38.70,47.48,57.22,40.40,37.65,38.39,40.18,34.86,26.76,21.18,12.44,2.17,1.53,3.47,3.02,1.51,0.57,0.35,0.65,0.38,0.95,0.85,0.59,0.00,1.39,2.74,3.14,1.83,0.62,0.45,0.91,0.46,1.15,1.01,0.68,0.00,1.81,4.19,2.90,0.75,0.45,0.07,0.00,0.13,0.00,0.00,0.00,0.00
