期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),金融、保險及不動產業_原始值,金融、保險及不動產業_年增率(%),金融、保險及不動產業_原始值,金融、保險及不動產業_年增率(%),金融、保險及不動產業_原始值,金融、保險及不動產業_年增率(%),工商服務業_原始值,工商服務業_年增率(%),工商服務業_原始值,工商服務業_年增率(%),工商服務業_原始值,工商服務業_年增率(%),社會服務及個人服務業_原始值,社會服務及個人服務業_年增率(%),社會服務及個人服務業_原始值,社會服務及個人服務業_年增率(%),社會服務及個人服務業_原始值,社會服務及個人服務業_年增率(%),公共行政業_原始值,公共行政業_年增率(%),公共行政業_原始值,公共行政業_年增率(%),公共行政業_原始值,公共行政業_年增率(%)
1996M01,"9,103",0.12,"5,568",-0.75,"3,535",1.52,951,0.34,690,-0.70,261,3.18,14,-5.21,12,-3.14,3,-13.60,"2,426",-1.66,"1,466",-0.39,960,-3.55,36,-0.14,31,-0.20,5,0.21,988,-3.49,867,-1.91,121,-13.47,"1,956",1.57,"1,026",-1.21,931,4.82,486,0.42,399,-1.18,87,8.55,327,6.09,148,4.88,180,7.10,241,7.96,124,3.62,117,12.95,"1,371",2.10,608,-1.46,763,5.13,306,-3.69,198,0.51,108,-10.53
1996M02,"9,131",1.37,"5,570",0.18,"3,562",3.29,933,-0.26,652,-4.32,281,10.58,15,-9.00,12,-9.09,3,-8.56,"2,485",1.78,"1,500",3.67,985,-0.96,36,0.28,31,0.31,5,0.16,980,-5.62,860,-3.32,120,-19.38,"1,932",3.20,"1,016",0.29,916,6.63,474,1.99,384,0.77,90,7.50,324,0.86,143,-3.84,181,4.90,232,6.44,129,7.36,103,5.30,"1,410",4.72,645,1.06,766,8.01,310,-2.44,199,0.50,112,-7.25
1996M03,"9,027",0.31,"5,491",-1.15,"3,536",2.65,937,-0.51,662,-3.99,275,9.00,15,-6.30,13,-1.25,2,-26.93,"2,430",0.24,"1,454",2.13,977,-2.44,36,-0.80,31,-1.12,5,1.10,952,-10.25,846,-8.05,106,-24.70,"1,904",1.20,"1,005",-0.40,899,3.06,457,0.64,370,-2.27,87,15.18,324,3.55,151,0.45,173,6.40,220,5.89,117,-2.40,103,17.23,"1,424",5.92,637,3.69,787,7.79,328,2.49,207,0.07,121,6.89
1996M04,"9,018",0.02,"5,471",-1.43,"3,547",2.33,936,-1.34,658,-4.36,278,6.62,15,2.27,13,3.62,3,-3.67,"2,427",-0.51,"1,464",1.96,963,-4.05,35,-1.99,30,-2.11,5,-1.29,941,-10.28,822,-10.01,119,-12.10,"1,899",0.36,"1,010",-0.60,889,1.47,468,4.14,376,0.21,92,24.13,328,5.63,154,3.58,174,7.52,219,5.80,115,-0.25,104,13.38,"1,420",5.31,622,2.09,798,7.97,329,2.60,208,0.86,121,5.73
1996M05,"9,050",0.46,"5,445",-1.23,"3,605",3.12,934,-1.28,640,-3.76,294,4.58,14,-7.91,12,-3.47,2,-24.99,"2,423",-1.51,"1,457",-0.33,966,-3.24,35,-0.49,30,-0.64,5,0.39,924,-8.35,795,-9.88,128,2.42,"1,954",2.23,"1,017",-0.48,937,5.34,473,3.43,381,0.55,92,17.30,323,5.43,160,8.22,163,2.83,232,8.17,120,11.54,111,4.75,"1,413",5.27,619,2.26,794,7.74,325,4.15,214,7.18,111,-1.22
1996M06,"9,013",0.33,"5,442",-1.26,"3,571",2.86,944,-1.73,662,-3.35,282,2.30,14,-7.54,11,-6.25,2,-13.50,"2,403",-1.56,"1,448",-0.55,955,-3.05,36,-1.23,30,-1.40,5,-0.19,908,-7.13,793,-6.55,115,-10.92,"1,978",3.28,"1,024",0.41,954,6.53,462,-1.17,383,-0.24,79,-5.47,318,5.04,144,2.51,175,7.22,232,4.06,125,6.14,108,1.75,"1,394",4.97,613,-0.37,781,9.59,324,2.55,209,3.24,116,1.33
1996M07,"9,026",-0.54,"5,488",-1.33,"3,538",0.70,927,-6.43,661,-5.33,266,-9.06,14,-12.05,11,-10.77,2,-18.13,"2,385",-3.67,"1,464",-0.32,921,-8.55,35,-2.33,30,-2.57,5,-0.93,925,-4.99,814,-4.52,111,-8.33,"1,988",3.38,"1,052",2.81,936,4.02,466,-3.47,377,-4.80,90,2.54,332,4.75,149,-2.44,183,11.41,228,-1.29,127,2.77,101,-5.97,"1,399",6.53,602,-0.27,798,12.32,327,3.36,202,0.45,125,8.47
1996M08,"8,996",-0.97,"5,491",-1.57,"3,505",-0.01,915,-5.02,652,-4.28,263,-6.78,14,-3.84,12,-2.75,2,-8.91,"2,362",-5.11,"1,465",-1.80,897,-10.06,35,-2.19,30,-2.19,5,-2.20,917,-4.83,811,-3.76,106,-12.32,"1,979",2.18,"1,059",2.59,920,1.71,477,0.28,383,-2.63,94,14.24,342,7.94,153,0.04,189,15.32,228,-0.33,126,4.46,102,-5.67,"1,401",3.89,606,-2.24,795,9.11,327,4.79,195,-3.42,132,19.77
1996M09,"9,067",0.35,"5,538",-0.41,"3,528",1.57,907,-5.21,649,-4.24,258,-7.55,14,-6.95,11,-4.12,2,-18.64,"2,364",-3.39,"1,460",-2.22,903,-5.23,34,-5.54,29,-6.32,5,-0.87,930,-6.05,818,-4.31,112,-17.10,"2,010",5.07,"1,070",5.29,940,4.82,478,2.62,393,1.21,85,9.65,337,13.15,149,10.04,188,15.74,237,0.86,134,7.11,103,-6.27,"1,427",4.73,625,0.84,802,7.97,330,4.10,201,-3.64,129,18.91
1996M10,"9,068",0.03,"5,527",-0.56,"3,541",0.96,870,-8.87,625,-7.48,244,-12.23,15,-9.96,12,-9.36,3,-12.58,"2,390",-2.15,"1,461",-0.94,929,-4.01,35,-1.83,30,-2.15,5,0.10,935,-5.49,823,-5.31,112,-6.76,"2,005",4.07,"1,061",3.57,944,4.63,482,2.91,388,2.34,94,5.30,341,11.67,151,6.60,189,16.10,239,2.94,129,-1.28,110,8.36,"1,425",3.84,635,3.67,791,3.97,331,2.79,212,2.61,120,3.10
1996M11,"9,133",0.65,"5,529",-0.58,"3,604",2.60,874,-6.46,622,-7.66,252,-3.35,14,-13.72,12,-15.03,2,-6.94,"2,457",0.84,"1,482",1.23,975,0.25,35,-0.01,30,-0.06,5,0.31,874,-10.31,774,-9.96,100,-12.92,"2,046",3.78,"1,084",3.95,962,3.58,482,0.18,387,-1.90,96,9.54,355,13.74,161,14.01,194,13.52,240,5.26,129,5.63,111,4.83,"1,424",4.33,634,3.14,789,5.32,331,4.03,214,4.76,117,2.73
