期間,總計_原始值,總計_年增率(%),大客車_原始值,大客車_年增率(%),大客車-自用_原始值,大客車-自用_年增率(%),大客車-營業_原始值,大客車-營業_年增率(%),大貨車_原始值,大貨車_年增率(%),大貨車-自用_原始值,大貨車-自用_年增率(%),大貨車-營業_原始值,大貨車-營業_年增率(%),小客車_原始值,小客車_年增率(%),小客車-自用_原始值,小客車-自用_年增率(%),小客車-營業_原始值,小客車-營業_年增率(%),小客車-營業-計程車_原始值,小客車-營業-計程車_年增率(%),小貨車_原始值,小貨車_年增率(%),小貨車-自用_原始值,小貨車-自用_年增率(%),小貨車-營業_原始值,小貨車-營業_年增率(%),特種車_原始值,特種車_年增率(%),機器腳踏車_原始值,機器腳踏車_年增率(%),機器腳踏車-重型_原始值,機器腳踏車-重型_年增率(%),機器腳踏車-輕型_原始值,機器腳踏車-輕型_年增率(%)
2005M02,"18,593,499",3.49,"25,859",2.09,"2,177",-5.47,"23,682",2.84,"157,159",0.83,"84,020",1.54,"73,139",0.04,"5,216,924",3.95,"5,119,256",4.09,"97,668",-3.08,"97,668",-3.08,"732,595",4.11,"721,859",4.09,"10,736",4.89,"52,337",0.89,"12,408,625",3.31,"7,807,501",5.21,"4,601,124",0.23
2005M03,"18,646,915",3.58,"25,999",2.65,"2,164",-5.67,"23,835",3.48,"157,372",1.03,"84,092",1.61,"73,280",0.38,"5,232,036",4.02,"5,134,514",4.16,"97,522",-2.83,"97,522",-2.83,"735,365",4.18,"724,631",4.17,"10,734",4.41,"52,242",1.07,"12,443,901",3.41,"7,844,655",5.36,"4,599,246",0.24
2005M04,"18,698,995",3.68,"26,098",3.02,"2,144",-6.09,"23,954",3.92,"157,532",1.12,"84,051",1.57,"73,481",0.62,"5,247,496",4.10,"5,150,130",4.23,"97,366",-2.55,"97,366",-2.55,"739,221",4.23,"728,406",4.22,"10,815",5.10,"52,229",0.95,"12,476,419",3.53,"7,879,392",5.53,"4,597,027",0.26
2005M05,"18,749,007",3.67,"26,192",2.54,"2,130",-6.58,"24,062",3.44,"158,016",1.22,"84,334",1.60,"73,682",0.78,"5,261,119",4.00,"5,164,015",4.12,"97,104",-2.29,"97,104",-2.29,"742,052",4.10,"731,182",4.10,"10,870",4.29,"52,301",0.93,"12,509,327",3.55,"7,915,429",5.61,"4,593,898",0.19
2005M06,"18,812,455",3.69,"26,462",3.62,"2,119",-6.90,"24,343",4.65,"158,324",1.23,"84,502",1.49,"73,822",0.94,"5,280,074",3.97,"5,183,180",4.10,"96,894",-2.30,"96,894",-2.30,"744,324",4.02,"733,389",4.01,"10,935",4.97,"52,327",0.76,"12,550,944",3.60,"7,959,538",5.73,"4,591,406",0.10
2005M07,"18,905,423",3.79,"26,430",2.93,"2,110",-6.93,"24,320",3.89,"158,984",1.60,"84,877",1.90,"74,107",1.27,"5,316,469",4.19,"5,219,379",4.31,"97,090",-1.84,"97,090",-1.84,"749,345",4.31,"737,400",4.17,"11,945",13.99,"52,647",1.27,"12,601,548",3.63,"8,013,136",5.90,"4,588,412",-0.11
2005M08,"18,949,737",3.72,"26,396",2.98,"2,101",-6.71,"24,295",3.92,"159,326",1.73,"84,996",1.94,"74,330",1.50,"5,328,426",4.20,"5,231,526",4.32,"96,900",-1.84,"96,900",-1.84,"750,790",4.24,"738,539",4.06,"12,251",16.44,"52,625",0.58,"12,632,174",3.53,"8,050,855",5.93,"4,581,319",-0.44
2005M09,"19,018,022",3.56,"26,323",2.48,"2,061",-8.03,"24,262",3.48,"159,447",1.77,"85,091",1.92,"74,356",1.61,"5,339,570",4.09,"5,217,008",3.70,"122,562",24.38,"96,488",-2.08,"752,953",4.22,"740,421",4.01,"12,532",18.09,"52,763",0.85,"12,686,966",3.33,"8,110,418",5.85,"4,576,548",-0.84
2005M10,"19,099,584",3.67,"26,359",3.14,"2,052",-7.53,"24,307",4.16,"159,739",1.86,"85,246",1.93,"74,493",1.78,"5,357,945",4.08,"5,234,923",3.67,"123,022",25.19,"96,263",-2.04,"755,833",4.21,"743,027",3.98,"12,806",20.22,"52,695",0.62,"12,747,013",3.51,"8,174,325",6.17,"4,572,688",-0.92
2005M11,"19,147,702",3.70,"26,424",3.34,"2,052",-7.23,"24,372",4.34,"160,143",2.08,"85,516",2.13,"74,627",2.02,"5,378,686",4.09,"5,254,868",3.66,"123,818",26.16,"96,017",-2.17,"758,228",4.22,"745,045",3.93,"13,183",23.45,"52,657",0.72,"12,771,564",3.53,"8,208,741",6.26,"4,562,823",-1.03
2005M12,"19,183,136",3.69,"26,453",3.22,"2,042",-7.01,"24,411",4.18,"160,460",2.10,"85,662",2.09,"74,798",2.12,"5,390,848",4.28,"5,262,693",3.76,"128,155",31.10,"95,665",-2.13,"758,809",4.14,"743,939",3.62,"14,870",38.86,"52,616",-0.07,"12,793,950",3.45,"8,239,700",6.19,"4,554,250",-1.15
2006M01,"19,269,378",3.83,"26,523",3.05,"2,030",-7.43,"24,493",4.03,"160,849",2.28,"85,903",2.29,"74,946",2.28,"5,444,397",4.62,"5,311,763",4.03,"132,634",35.36,"95,896",-2.13,"762,592",4.37,"747,267",3.79,"15,325",42.98,"52,562",-0.09,"12,822,455",3.51,"8,272,510",6.30,"4,549,945",-1.20
2006M02,"19,311,058",3.86,"26,536",2.62,"2,024",-7.03,"24,512",3.50,"161,042",2.47,"86,048",2.41,"74,994",2.54,"5,455,449",4.57,"5,322,415",3.97,"133,034",36.21,"95,655",-2.06,"764,051",4.29,"748,591",3.70,"15,460",44.00,"52,608",0.52,"12,851,372",3.57,"8,305,130",6.37,"4,546,242",-1.19
2006M03,"19,366,735",3.86,"26,550",2.12,"2,017",-6.79,"24,533",2.93,"161,499",2.62,"86,238",2.55,"75,261",2.70,"5,473,403",4.61,"5,339,872",4.00,"133,531",36.92,"95,334",-2.24,"767,357",4.35,"751,489",3.71,"15,868",47.83,"52,573",0.63,"12,885,353",3.55,"8,347,858",6.41,"4,537,495",-1.34
2006M04,"19,408,391",3.79,"26,506",1.56,"2,018",-5.88,"24,488",2.23,"161,992",2.83,"86,444",2.85,"75,548",2.81,"5,489,685",4.62,"5,355,799",3.99,"133,886",37.51,"95,120",-2.31,"771,211",4.33,"755,074",3.66,"16,137",49.21,"52,611",0.73,"12,906,386",3.45,"8,376,974",6.31,"4,529,412",-1.47
2006M05,"19,460,385",3.79,"26,535",1.31,"2,002",-6.01,"24,533",1.96,"162,329",2.73,"86,726",2.84,"75,603",2.61,"5,509,341",4.72,"5,374,993",4.09,"134,348",38.35,"94,887",-2.28,"774,392",4.36,"757,845",3.65,"16,547",52.23,"52,679",0.72,"12,935,109",3.40,"8,414,285",6.30,"4,520,824",-1.59
2006M06,"19,523,951",3.78,"26,545",0.31,"1,986",-6.28,"24,559",0.89,"162,769",2.81,"86,977",2.93,"75,792",2.67,"5,532,837",4.79,"5,398,034",4.15,"134,803",39.12,"94,710",-2.25,"777,396",4.44,"760,513",3.70,"16,883",54.39,"52,547",0.42,"12,971,857",3.35,"8,460,480",6.29,"4,511,377",-1.74
2006M07,"19,601,881",3.68,"26,630",0.76,"1,971",-6.59,"24,659",1.39,"163,098",2.59,"87,087",2.60,"76,011",2.57,"5,566,585",4.70,"5,430,558",4.05,"136,027",40.10,"94,859",-2.30,"780,673",4.18,"763,436",3.53,"17,237",44.30,"52,668",0.04,"13,012,227",3.26,"8,509,846",6.20,"4,502,381",-1.87
