期間,合計_原始值,合計_年增率(%),隔夜_原始值,隔夜_年增率(%),1週_原始值,1週_年增率(%),2週_原始值,2週_年增率(%),3週_原始值,3週_年增率(%),1個月_原始值,1個月_年增率(%),2-6個月_原始值,2-6個月_年增率(%),7個月-1年_原始值,7個月-1年_年增率(%)
2006,"256,391",-16.97,"33,679",-33.57,"90,679",-34.86,"83,177",25.29,"29,855",41.01,"1,610",-88.39,"11,391",-34.70,"6,000",-
2007,"200,663",-21.74,"32,250",-4.24,"66,580",-26.58,"89,320",7.39,"5,950",-80.07,250,-84.47,"6,310",-44.61,3,-99.95
2008,"160,613",-19.96,"35,911",11.35,"49,500",-25.65,"69,340",-22.37,"2,800",-52.94,-,-,"3,062",-51.47,-,-
