期間,專業及技術服務業_原始值,專業及技術服務業_年增率(%),電腦系統設計服務業_原始值,電腦系統設計服務業_年增率(%),資料處理及資訊供應服務業_原始值,資料處理及資訊供應服務業_年增率(%),廣告業及市場研究業_原始值,廣告業及市場研究業_年增率(%),專門設計服務業_原始值,專門設計服務業_年增率(%),租賃業_原始值,租賃業_年增率(%)
2004,"184,413",8.55,"122,824",15.89,"28,423",7.09,"95,814",8.98,"26,858",9.73,"45,542",13.52
2005,"192,376",4.32,"124,665",1.50,"29,425",3.52,"98,593",2.90,"28,584",6.43,"49,216",8.07
2006,"203,539",5.80,"144,559",15.96,"32,629",10.89,"102,856",4.32,"31,903",11.61,"56,943",15.70
