期間,總計_原始值,總計_年增率(%),中央政府_原始值,中央政府_年增率(%),省市政府_原始值,省市政府_年增率(%),縣市政府_原始值,縣市政府_年增率(%),鄉鎮市公所_原始值,鄉鎮市公所_年增率(%)
1987,"641,910,820",...,"376,303,322",...,"161,471,673",...,"82,689,977",...,"21,445,848",...
1988,"726,468,366",13.17,"420,652,603",11.79,"182,574,805",13.07,"99,218,830",19.99,"24,022,128",12.01
1989,"1,207,350,774",66.19,"505,507,874",20.17,"384,594,085",110.65,"152,637,122",53.84,"164,611,693",585.25
1990,"1,097,517,620",-9.10,"578,584,452",14.46,"299,050,635",-22.24,"146,947,347",-3.73,"72,935,186",-55.69
1991,"1,275,612,966",16.23,"679,501,708",17.44,"361,623,651",20.92,"169,473,906",15.33,"65,013,701",-10.86
1992,"1,561,930,419",22.45,"888,590,305",30.77,"380,822,581",5.31,"230,653,292",36.10,"61,864,241",-4.84
1993,"1,756,306,405",12.44,"1,009,039,281",13.56,"407,071,769",6.89,"251,524,682",9.05,"88,670,673",43.33
