期間,提繳事業單位家數(家)_原始值,提繳事業單位家數(家)_年增率(%),家數提繳率(%)_原始值,家數提繳率(%)_年增率(%),提繳人數(人)_原始值,提繳人數(人)_年增率(%),人數提繳率(%)_原始值,人數提繳率(%)_年增率(%),提繳人數(人)-男_原始值,提繳人數(人)-男_年增率(%),提繳人數(人)-女_原始值,提繳人數(人)-女_年增率(%),平均提繳工資(元)_原始值,平均提繳工資(元)_年增率(%),實計提繳金額(千元)_原始值,實計提繳金額(千元)_年增率(%),實計核發退休金-件數(件)_原始值,實計核發退休金-件數(件)_年增率(%),實計核發退休金-金額(千元)_原始值,實計核發退休金-金額(千元)_年增率(%),基金餘額(千元)_原始值,基金餘額(千元)_年增率(%)
2005M07,"249,919",--,62.56,-,"3,073,839",--,56.88,-,"1,567,691",--,"1,506,148",--,"31,657",--,0,--,0,--,0,--,0,--
2005M08,"292,732",--,71.97,-,"3,629,224",--,66.84,-,"1,861,679",--,"1,767,545",--,"30,349",--,"267,667",--,0,--,0,--,"267,667",--
2005M09,"303,267",--,74.02,-,"3,731,076",--,68.53,-,"1,911,617",--,"1,819,459",--,"30,285",--,"4,999,317",--,0,--,0,--,"5,266,986",--
2005M10,"313,345",--,76.02,-,"3,829,512",--,69.94,-,"1,959,932",--,"1,869,580",--,"30,219",--,"7,575,632",--,6,--,20,--,"12,846,086",--
2005M11,"320,314",--,77.29,-,"3,895,933",--,70.87,-,"1,993,856",--,"1,902,077",--,"30,197",--,"7,231,130",--,16,--,122,--,"20,090,160",--
2005M12,"325,190",--,78.23,-,"3,923,796",--,71.35,-,"2,009,416",--,"1,914,380",--,"30,217",--,"8,102,440",--,117,--,860,--,"28,213,610",--
2006M01,"331,092",--,79.33,-,"3,994,521",--,72.43,-,"2,041,831",--,"1,952,690",--,"30,099",--,"8,350,870",--,332,--,"4,504",--,"36,590,605",--
2006M02,"334,863",--,79.99,-,"3,996,067",--,72.81,-,"2,045,403",--,"1,950,664",--,"30,285",--,"6,692,081",--,271,--,"3,985",--,"43,321,971",--
2006M03,"339,590",--,80.82,-,"4,041,004",--,73.54,-,"2,074,186",--,"1,966,818",--,"30,312",--,"8,963,087",--,99,--,"1,444",--,"52,336,537",--
2006M04,"343,583",--,81.45,-,"4,089,219",--,74.06,-,"2,098,165",--,"1,991,054",--,"30,353",--,"7,516,772",--,623,--,"12,106",--,"59,903,112",--
2006M05,"346,211",--,81.96,-,"4,109,025",--,74.45,-,"2,108,371",--,"2,000,654",--,"30,388",--,"8,116,280",--,612,--,"13,141",--,"68,081,831",--
2006M06,"348,215",--,82.43,-,"4,128,078",--,74.74,-,"2,120,696",--,"2,007,382",--,"30,292",--,"8,570,030",--,523,--,"11,391",--,"76,727,007",--
2006M07,"350,229",40.14,82.79,-,"4,187,080",36.22,75.23,-,"2,152,489",37.30,"2,034,591",35.09,"30,219",-4.54,"8,222,183",--,490,--,"12,978",--,"85,032,864",--
2006M08,"352,753",20.50,83.31,-,"4,197,944",15.67,75.61,-,"2,152,387",15.62,"2,045,557",15.73,"30,353",0.01,"8,599,227","3,112.66",562,--,"15,438",--,"93,727,818","34,916.58"
2006M09,"355,017",17.06,83.71,-,"4,234,077",13.48,76.03,-,"2,165,460",13.28,"2,068,617",13.69,"30,441",0.52,"7,932,195",58.67,543,--,"16,724",--,"101,764,674","1,832.12"
2006M10,"356,940",13.91,84.06,-,"4,254,857",11.11,76.36,-,"2,173,593",10.90,"2,081,264",11.32,"30,490",0.90,"8,745,707",15.45,591,"9,750.00","23,481","117,305.00","110,625,706",761.16
2006M11,"359,113",12.11,84.47,-,"4,284,550",9.97,76.70,-,"2,188,712",9.77,"2,095,838",10.19,"30,469",0.90,"8,270,238",14.37,598,"3,637.50","23,647","19,282.79","119,026,548",492.46
2006M12,"360,359",10.81,84.77,-,"4,291,152",9.36,76.81,-,"2,194,179",9.19,"2,096,973",9.54,"30,495",0.92,"8,602,781",6.18,565,382.91,"24,313","2,727.09","127,768,299",352.86
2007M01,"362,139",9.38,85.13,-,"4,324,574",8.26,77.19,-,"2,214,712",8.47,"2,109,862",8.05,"30,449",1.16,"8,935,697",7.00,712,114.46,"31,177",592.21,"136,858,420",274.03
2007M02,"363,122",8.44,85.28,-,"4,291,406",7.39,77.21,-,"2,194,033",7.27,"2,097,373",7.52,"30,683",1.31,"7,116,823",6.35,578,113.28,"31,012",678.22,"144,133,240",232.70
2007M03,"364,392",7.30,85.59,-,"4,311,163",6.69,77.58,-,"2,207,067",6.41,"2,104,096",6.98,"30,712",1.32,"9,621,595",7.35,542,447.47,"29,282","1,927.84","153,933,636",194.12
2007M04,"366,167",6.57,85.90,-,"4,327,735",5.83,77.94,-,"2,217,602",5.69,"2,110,133",5.98,"30,756",1.33,"8,696,284",15.69,978,56.98,"46,212",281.73,"162,807,131",171.78
2007M05,"367,879",6.26,86.20,-,"4,352,520",5.93,78.25,-,"2,231,276",5.83,"2,121,244",6.03,"30,777",1.28,"8,964,175",10.45,930,51.96,"47,389",260.62,"171,954,559",152.57
2007M06,"368,740",5.89,86.34,-,"4,361,059",5.64,78.16,-,"2,239,153",5.59,"2,121,906",5.71,"30,780",1.61,"8,115,793",-5.30,"1,504",187.57,"46,168",305.30,"180,265,617",134.94
2007M07,"369,607",5.53,86.50,-,"4,414,456",5.43,78.47,-,"2,270,620",5.49,"2,143,836",5.37,"30,850",2.09,"9,260,066",12.62,"2,234",355.92,"65,559",405.15,"189,728,773",123.12
2007M08,"371,309",5.26,86.91,-,"4,434,058",5.62,78.91,-,"2,274,388",5.67,"2,159,670",5.58,"30,999",2.13,"8,810,128",2.45,"2,667",374.56,"77,237",400.30,"198,751,039",112.05
2007M09,"372,478",4.92,87.08,-,"4,461,901",5.38,79.16,-,"2,284,252",5.49,"2,177,649",5.27,"31,195",2.48,"8,899,215",12.19,"2,402",342.36,"52,264",212.51,"207,928,255",104.32
