期間,總成交值(百萬元)-一般_原始值,總成交值(百萬元)-一般_年增率(%),總成交值(百萬元)-興櫃_原始值,總成交值(百萬元)-興櫃_年增率(%),成交量(百萬股)-一般_原始值,成交量(百萬股)-一般_年增率(%),成交量(百萬股)-興櫃_原始值,成交量(百萬股)-興櫃_年增率(%),日平均值(百萬元)-一般_原始值,日平均值(百萬元)-一般_年增率(%),日平均值(百萬元)-興櫃_原始值,日平均值(百萬元)-興櫃_年增率(%),交易日數_原始值,交易日數_年增率(%),店頭市場股價指數(月平均)_原始值,店頭市場股價指數(月平均)_年增率(%),交易人數_原始值,交易人數_年增率(%)
2008M09,"182,139.80",-68.20,"4,797.10",-70.69,"8,382.90",-23.56,208.70,-28.65,"8,673.30",-72.75,228.40,-74.88,21,16.67,92.53,-52.22,"439,538",-34.35
2008M10,"125,189.30",-80.64,"3,759.30",-80.81,"6,228.80",-49.25,201.70,-39.88,"5,690.40",-80.64,170.90,-80.80,22,0.00,75.51,-60.45,"381,283",-48.66
2008M11,"116,066.10",-73.87,"3,376.90",-82.21,"6,693.20",-34.37,229.30,-32.95,"5,803.30",-71.26,168.80,-80.43,20,-9.09,62.68,-61.65,"364,894",-41.67
2008M12,"172,717.00",-53.34,"4,075.30",-69.70,"10,060.60",16.11,267.80,-31.72,"7,509.40",-57.40,177.20,-72.34,23,9.52,61.64,-59.17,"500,714",0.00
2009M01,"94,666.40",-72.15,"1,954.00",-72.31,"5,352.60",-40.40,113.90,-47.12,"6,311.10",-59.15,130.30,-59.38,15,-31.82,63.44,-54.19,"295,819",-40.31
2009M02,"157,689.70",-26.52,"4,284.50",-9.27,"8,715.60",53.69,207.40,34.33,"7,884.50",-48.57,214.20,-36.50,20,42.86,64.91,-50.52,"378,043",-4.02
2009M03,"299,441.60",-17.76,"12,654.20",46.94,"14,431.50",43.32,411.70,63.70,"13,611.00",-21.50,575.20,40.26,22,4.76,73.62,-47.72,"528,218",-5.84
2009M04,"467,013.20",-7.21,"12,947.10",-17.20,"20,907.00",62.38,530.85,-0.76,"21,227.90",-11.42,588.50,-20.96,22,4.76,89.33,-42.02,"679,447",0.63
2009M05,"510,738.97",3.97,"12,811.00",-7.95,"17,221.45",57.51,397.60,19.69,"28,374.39",21.30,711.72,7.40,18,-14.29,101.92,-34.94,"689,248",8.34
2009M06,"458,968.80",67.21,"11,916.80",0.48,"13,150.20",82.33,326.50,-7.48,"19,955.20",52.67,518.10,-8.27,23,9.52,101.41,-25.93,"622,389",30.27
