期間,日圓_原始值,日圓_年增率(%),日圓_原始值,日圓_年增率(%),港幣_原始值,港幣_年增率(%),港幣_原始值,港幣_年增率(%),新加坡幣_原始值,新加坡幣_年增率(%),新加坡幣_原始值,新加坡幣_年增率(%),泰銖_原始值,泰銖_年增率(%),泰銖_原始值,泰銖_年增率(%),澳幣_原始值,澳幣_年增率(%),澳幣_原始值,澳幣_年增率(%),紐西蘭幣_原始值,紐西蘭幣_年增率(%),紐西蘭幣_原始值,紐西蘭幣_年增率(%),英鎊_原始值,英鎊_年增率(%),英鎊_原始值,英鎊_年增率(%),瑞典克郎_原始值,瑞典克郎_年增率(%),瑞典克郎_原始值,瑞典克郎_年增率(%),加拿大元_原始值,加拿大元_年增率(%),加拿大元_原始值,加拿大元_年增率(%),歐元_原始值,歐元_年增率(%),歐元_原始值,歐元_年增率(%),瑞士法郎_原始值,瑞士法郎_年增率(%),瑞士法郎_原始值,瑞士法郎_年增率(%),南非幣_原始值,南非幣_年增率(%),南非幣_原始值,南非幣_年增率(%)
2005M09,0.2909,4.6064,0.2949,4.5439,4.25,1.88,4.31,1.86,19.53,2.41,19.73,2.38,0.80,1.26,0.82,1.23,25.14,-3.78,25.34,-3.75,22.84,-0.96,23.04,-0.95,58.17,4.61,58.57,4.58,4.23,8.04,4.33,7.85,28.23,-5.67,28.43,-5.63,39.71,4.94,40.11,4.89,25.56,5.09,25.76,5.05,...,...,...,...
2005M10,0.2880,8.9236,0.2920,8.8014,4.30,-0.70,4.36,-0.69,19.73,1.37,19.93,1.35,0.81,-1.00,0.83,-0.97,25.08,-0.76,25.28,-0.75,23.52,-3.23,23.72,-3.20,59.44,2.74,59.84,2.72,4.19,11.22,4.29,10.96,28.43,-4.01,28.63,-3.98,40.27,5.51,40.67,5.46,26.08,6.71,26.28,6.66,...,...,...,...
2005M11,0.2785,11.2388,0.2825,11.0796,4.29,-4.20,4.35,-4.14,19.71,-1.01,19.91,-1.00,0.80,0.22,0.82,0.22,24.64,0.32,24.84,0.32,23.51,-3.19,23.71,-3.16,57.47,5.50,57.87,5.46,4.10,15.37,4.20,15.00,28.61,-5.73,28.81,-5.69,39.31,7.94,39.71,7.86,25.43,10.15,25.63,10.07,...,...,...,...
2005M12,0.2775,10.9189,0.2815,10.7638,4.20,-3.33,4.26,-3.29,19.64,-1.37,19.84,-1.36,0.79,2.37,0.81,2.31,23.97,2.92,24.17,2.90,22.33,1.88,22.53,1.86,56.47,8.13,56.87,8.07,4.08,16.67,4.18,16.27,28.13,-6.33,28.33,-6.28,38.74,11.41,39.14,11.29,24.91,12.36,25.11,12.27,-,--,-,--
2006M01,0.2730,11.6850,0.2770,11.5162,4.09,-1.22,4.15,-1.20,19.61,-1.53,19.81,-1.51,0.81,0.54,0.83,0.53,23.95,2.30,24.15,2.28,21.59,4.31,21.79,4.27,56.71,5.29,57.11,5.25,4.17,7.67,4.27,7.49,27.72,-8.01,27.92,-7.95,38.84,5.97,39.24,5.91,25.07,6.10,25.27,6.05,...,...,...,...
2006M02,0.2772,6.1688,0.2812,6.0811,4.15,-4.34,4.21,-4.28,19.87,-4.33,20.07,-4.29,0.82,-1.86,0.84,-1.82,23.89,1.80,24.09,1.78,21.28,5.08,21.48,5.03,56.31,5.43,56.71,5.40,4.03,11.41,4.13,11.14,28.14,-11.12,28.34,-11.04,38.27,7.00,38.67,6.93,24.50,8.45,24.70,8.38,...,...,...,...
2006M03,0.2743,6.6715,0.2783,6.5756,4.15,-3.37,4.21,-3.33,19.96,-4.76,20.16,-4.71,0.83,-3.80,0.85,-3.71,23.18,5.61,23.38,4.70,19.82,12.66,20.02,12.54,56.32,4.83,56.72,4.80,4.14,6.76,4.24,6.60,27.87,-7.21,28.07,-7.16,39.19,3.70,39.59,3.66,24.85,5.63,25.05,5.59,...,...,...,...
2006M04,0.2771,6.6763,0.2811,6.5813,4.08,-2.45,4.14,-2.42,20.07,-5.48,20.27,-5.43,0.84,-7.08,0.86,-6.92,23.99,1.46,24.19,1.45,20.10,13.23,20.30,13.10,57.32,4.03,57.72,4.00,4.25,2.58,4.36,2.52,28.30,-11.87,28.50,-11.79,39.83,1.31,40.23,1.29,25.29,3.91,25.49,3.88,...,...,...,...
2006M05,0.2846,1.1595,0.2886,1.1435,4.10,-2.44,4.16,-2.40,20.21,-7.27,20.41,-7.20,0.83,-8.07,0.85,-7.88,24.36,-2.91,24.56,-2.89,20.38,8.54,20.58,8.45,59.84,-5.01,60.24,-4.98,4.39,-4.56,4.49,-4.45,28.96,-14.43,29.16,-14.33,40.94,-5.69,41.34,-5.64,26.29,-4.68,26.49,-4.64,...,...,...,...
2006M06,0.2802,1.4989,0.2842,1.4778,4.14,-2.42,4.20,-2.38,20.29,-7.98,20.49,-7.91,0.84,-9.79,0.86,-9.56,23.93,0.38,24.13,0.37,19.62,12.03,19.82,11.91,59.05,-3.73,59.45,-3.70,4.41,-9.30,4.51,-9.09,29.07,-12.01,29.27,-11.92,40.94,-7.25,41.34,-7.18,26.14,-6.08,26.34,-6.04,...,...,...,...
