期間,想工作而未找工作_原始值,想工作而未找工作_年增率(%),想工作而未找工作_原始值,想工作而未找工作_年增率(%),想工作而未找工作_原始值,想工作而未找工作_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),求學及準備升學_原始值,求學及準備升學_年增率(%),料理家務_原始值,料理家務_年增率(%),料理家務_原始值,料理家務_年增率(%),料理家務_原始值,料理家務_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),衰老殘障_原始值,衰老殘障_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%),其它未參與勞動力原因_原始值,其它未參與勞動力原因_年增率(%)
1985M04,76,-7.86,50,-10.50,25,-2.01,"1,480",0.13,792,0.35,688,-0.13,"2,515",1.32,9,5.13,"2,506",1.31,877,5.01,477,6.96,400,2.78,328,10.14,287,9.50,41,14.92
1985M05,68,-5.60,43,-10.03,26,2.87,"1,511",2.01,799,1.17,712,2.96,"2,473",1.32,8,54.94,"2,465",1.21,903,4.84,488,6.90,415,2.51,302,5.97,267,7.95,35,-7.05
1985M06,77,-12.12,47,-8.00,30,-17.88,"1,517",4.72,793,2.29,724,7.52,"2,408",2.03,10,100.22,"2,398",1.81,906,3.95,492,5.76,413,1.87,309,12.00,277,15.27,32,-10.30
1985M07,90,-3.08,53,-14.48,37,19.95,"1,339",5.76,701,5.43,638,6.12,"2,476",2.20,14,26.97,"2,462",2.09,895,3.55,488,5.55,406,1.23,323,10.77,288,11.43,36,5.66
1985M08,109,25.66,68,21.43,42,33.17,"1,341",4.56,706,4.68,634,4.44,"2,555",2.36,15,17.00,"2,540",2.28,884,5.89,479,6.55,405,5.13,342,9.61,302,10.24,41,5.14
1985M09,108,37.44,71,44.92,37,24.91,"1,388",4.65,739,3.52,648,5.96,"2,579",1.64,14,1.92,"2,565",1.64,890,6.28,486,6.82,404,5.63,339,12.15,291,10.16,48,26.10
1985M10,101,37.28,60,44.78,40,27.40,"1,387",2.72,752,3.59,635,1.70,"2,570",1.23,10,-15.49,"2,560",1.31,894,5.84,482,6.20,412,5.41,324,9.87,280,9.47,44,12.48
1985M11,90,51.72,51,41.72,40,66.80,"1,442",2.17,773,4.07,669,0.06,"2,546",3.11,12,-5.91,"2,534",3.15,877,3.17,476,4.37,401,1.79,337,7.79,289,9.23,48,-0.17
1985M12,82,38.84,51,35.65,31,44.44,"1,438",2.38,763,4.20,675,0.40,"2,475",1.84,11,-10.34,"2,464",1.91,904,2.93,483,4.51,421,1.18,317,-0.11,272,2.40,45,-13.06
1986M01,90,27.77,58,36.49,32,14.66,"1,451",3.60,779,5.00,672,2.03,"2,363",0.50,15,53.72,"2,349",0.28,889,1.74,469,3.04,420,0.32,311,0.00,268,1.97,43,-10.89
1986M02,95,17.06,60,17.83,36,15.79,"1,484",6.35,795,7.98,689,4.53,"2,419",-0.50,15,14.31,"2,404",-0.59,872,2.29,473,5.56,399,-1.32,347,11.62,301,10.68,46,18.19
1986M03,92,7.79,56,7.32,36,8.55,"1,516",3.05,804,1.98,712,4.30,"2,477",-1.26,13,-6.87,"2,464",-1.23,886,2.75,481,4.08,405,1.21,358,11.28,317,10.16,41,20.69
1986M04,82,8.49,54,6.20,28,13.11,"1,544",4.30,819,3.34,725,5.41,"2,481",-1.36,11,22.85,"2,470",-1.45,896,2.18,492,3.17,404,1.01,349,6.52,308,7.15,41,2.12
1986M05,84,22.53,50,17.54,33,30.87,"1,538",1.81,806,0.93,732,2.79,"2,437",-1.45,10,26.41,"2,427",-1.54,933,3.35,510,4.46,423,2.05,332,9.89,293,9.75,39,10.96
1986M06,98,27.52,57,22.22,41,35.82,"1,502",-0.98,788,-0.62,714,-1.37,"2,341",-2.78,8,-17.59,"2,333",-2.72,946,4.49,523,6.29,423,2.34,337,9.08,297,6.94,40,27.84
1986M07,84,-6.73,49,-7.74,35,-5.28,"1,342",0.19,712,1.54,630,-1.30,"2,348",-5.18,9,-34.26,"2,339",-5.01,933,4.36,520,6.50,413,1.79,354,9.47,310,7.97,43,21.57
1986M08,92,-16.16,56,-16.98,36,-14.83,"1,348",0.58,729,3.13,620,-2.27,"2,446",-4.27,10,-30.98,"2,435",-4.11,918,3.83,510,6.51,408,0.67,365,6.83,322,6.66,44,8.05
1986M09,103,-4.38,66,-7.44,37,1.56,"1,404",1.21,737,-0.25,667,2.88,"2,451",-4.97,12,-15.31,"2,439",-4.91,915,2.79,507,4.29,408,0.98,380,12.17,329,12.77,52,8.47
1986M10,96,-4.92,57,-5.53,39,-4.00,"1,400",0.98,740,-1.58,660,4.00,"2,414",-6.05,14,40.50,"2,400",-6.23,920,2.91,502,4.08,418,1.53,351,8.39,306,9.39,45,2.10
1986M11,88,-2.78,54,6.96,33,-15.28,"1,438",-0.27,771,-0.35,668,-0.18,"2,426",-4.73,16,37.49,"2,410",-4.93,922,5.15,502,5.52,420,4.71,343,1.63,296,2.16,47,-1.58
1986M12,80,-1.94,54,5.22,27,-13.78,"1,408",-2.13,748,-2.03,660,-2.25,"2,407",-2.72,13,21.49,"2,394",-2.83,938,3.76,505,4.63,433,2.76,327,3.09,279,2.39,48,7.31
1987M01,86,-5.43,52,-9.76,33,2.32,"1,455",0.28,768,-1.43,687,2.27,"2,339",-1.04,15,1.68,"2,324",-1.06,937,5.43,504,7.26,434,3.37,308,-1.00,268,-0.05,40,-6.96
1987M02,80,-15.78,47,-21.76,34,-5.77,"1,516",2.13,802,0.89,713,3.57,"2,394",-1.04,14,-5.36,"2,380",-1.02,921,5.62,502,6.25,419,4.87,302,-12.94,270,-10.41,33,-29.45
1987M03,85,-7.03,57,2.12,28,-21.40,"1,568",3.45,828,2.94,740,4.04,"2,453",-0.99,14,9.41,"2,439",-1.04,923,4.15,510,6.02,413,1.92,315,-11.92,283,-10.51,32,-22.71
1987M04,74,-9.90,53,-1.55,21,-25.69,"1,599",3.62,848,3.60,751,3.65,"2,467",-0.55,14,22.89,"2,453",-0.65,932,3.99,521,5.86,411,1.71,323,-7.50,278,-9.44,44,6.89
1987M05,63,-24.07,42,-16.55,22,-35.36,"1,598",3.89,842,4.49,756,3.24,"2,380",-2.36,12,14.43,"2,368",-2.43,970,3.90,539,5.63,431,1.82,328,-1.25,284,-3.12,44,12.77
1987M06,87,-11.36,52,-9.19,35,-14.41,"1,545",2.84,808,2.51,737,3.20,"2,304",-1.60,14,70.12,"2,289",-1.85,953,0.65,532,1.66,421,-0.59,348,3.25,300,1.03,48,19.55
1987M07,78,-6.93,44,-9.96,34,-2.69,"1,376",2.55,713,0.08,663,5.35,"2,391",1.85,15,58.79,"2,376",1.62,934,0.04,520,-0.06,414,0.17,369,4.23,321,3.38,48,10.34
1987M08,102,10.93,61,9.07,40,13.87,"1,390",3.08,735,0.90,655,5.65,"2,342",-4.24,15,44.34,"2,327",-4.45,958,4.32,532,4.26,426,4.39,353,-3.49,313,-2.59,39,-10.06
1987M09,79,-23.54,49,-26.37,30,-18.52,"1,456",3.68,768,4.09,688,3.22,"2,381",-2.85,19,61.10,"2,361",-3.16,975,6.58,541,6.66,434,6.48,353,-7.25,310,-5.65,43,-17.46
1987M10,65,-31.60,42,-27.03,24,-38.33,"1,444",3.08,751,1.43,693,4.93,"2,410",-0.21,12,-11.65,"2,397",-0.14,979,6.45,548,9.17,431,3.19,343,-2.24,297,-3.02,47,3.01
1987M11,82,-6.23,52,-4.41,30,-9.19,"1,460",1.50,751,-2.50,708,6.12,"2,413",-0.52,16,-2.20,"2,397",-0.50,971,5.35,544,8.29,427,1.83,348,1.52,305,3.10,43,-8.38
1987M12,77,-3.67,45,-15.31,32,19.82,"1,446",2.76,756,1.05,691,4.70,"2,420",0.54,16,17.65,"2,405",0.44,987,5.33,546,8.21,441,1.96,344,5.24,295,5.81,49,1.94
1988M01,70,-17.95,41,-21.46,29,-12.41,"1,473",1.24,776,1.04,697,1.46,"2,393",2.32,11,-24.91,"2,382",2.50,"1,016",8.36,544,7.97,472,8.80,331,7.65,288,7.54,43,8.45
1988M02,67,-16.46,42,-9.80,25,-25.73,"1,518",0.17,788,-1.82,730,2.40,"2,508",4.76,10,-31.58,"2,498",4.98,"1,003",8.94,549,9.32,454,8.49,331,9.46,297,10.20,34,3.33
1988M03,70,-17.31,46,-18.93,24,-14.02,"1,594",1.63,818,-1.18,776,4.78,"2,544",3.70,9,-35.45,"2,535",3.93,980,6.14,541,6.17,438,6.11,335,6.43,299,5.64,36,13.49
1988M04,78,4.98,50,-4.82,27,29.53,"1,662",3.89,862,1.66,800,6.42,"2,517",2.02,12,-12.46,"2,505",2.10,999,7.25,553,6.29,446,8.47,315,-2.41,275,-1.36,40,-9.01
1988M05,74,15.95,44,4.10,30,38.94,"1,690",5.72,888,5.45,801,6.02,"2,468",3.69,11,-3.77,"2,456",3.73,"1,028",6.06,571,6.03,457,6.09,325,-0.84,286,0.66,39,-10.56
1988M06,80,-8.22,51,-1.42,29,-18.37,"1,625",5.20,842,4.23,783,6.27,"2,464",6.97,11,-23.90,"2,453",7.16,"1,013",6.33,561,5.45,452,7.43,335,-3.87,291,-2.88,44,-9.98
1988M07,89,13.20,55,24.34,34,-1.24,"1,492",8.44,771,8.23,721,8.68,"2,522",5.47,10,-30.62,"2,512",5.70,"1,007",7.79,565,8.81,441,6.51,332,-9.92,294,-8.51,38,-19.41
1988M08,82,-19.69,49,-20.43,33,-18.57,"1,506",8.38,781,6.29,725,10.73,"2,419",3.28,9,-38.83,"2,410",3.55,"1,027",7.25,573,7.87,454,6.49,349,-1.03,314,0.18,35,-10.63
1988M09,86,8.76,49,0.87,37,21.38,"1,548",6.33,797,3.83,751,9.12,"2,460",3.32,14,-27.47,"2,446",3.58,"1,027",5.32,573,5.95,454,4.53,365,3.41,323,4.18,42,-2.12
1988M10,80,22.49,51,22.40,29,22.63,"1,541",6.76,789,5.08,752,8.57,"2,394",-0.63,11,-9.51,"2,383",-0.59,"1,015",3.70,565,3.04,451,4.52,358,4.34,309,4.20,49,5.23
1988M11,67,-18.10,44,-15.51,24,-22.52,"1,551",6.28,794,5.73,757,6.86,"2,363",-2.09,10,-34.85,"2,352",-1.87,"1,024",5.37,572,5.05,452,5.79,342,-1.63,296,-2.78,46,6.53
1988M12,61,-21.10,41,-8.76,20,-38.69,"1,535",6.14,791,4.72,744,7.69,"2,473",2.19,13,-17.10,"2,460",2.31,"1,036",4.88,576,5.35,460,4.29,335,-2.64,295,-0.15,40,-17.62
1989M01,73,4.67,42,1.89,32,8.60,"1,515",2.85,783,0.86,732,5.06,"2,480",3.61,12,2.83,"2,468",3.61,"1,067",5.03,584,7.34,483,2.37,324,-2.26,285,-1.17,39,-9.59
1989M02,69,2.67,39,-6.38,29,17.95,"1,549",2.00,798,1.31,750,2.74,"2,514",0.23,10,-0.64,"2,504",0.23,"1,057",5.36,576,5.00,481,5.80,322,-2.63,287,-3.51,35,5.19
1989M03,71,0.21,46,-0.18,24,0.96,"1,597",0.20,807,-1.29,789,1.77,"2,494",-1.95,11,24.98,"2,483",-2.05,"1,030",5.11,563,3.98,467,6.50,330,-1.54,291,-2.75,39,8.41
1989M04,77,-0.61,47,-5.95,30,9.22,"1,659",-0.14,838,-2.74,821,2.65,"2,492",-1.01,13,7.56,"2,479",-1.05,"1,021",2.16,568,2.71,453,1.49,332,5.50,290,5.49,43,5.57
1989M05,74,0.22,45,2.78,29,-3.51,"1,688",-0.09,859,-3.28,829,3.44,"2,452",-0.62,10,-16.38,"2,443",-0.55,"1,067",3.78,581,1.66,486,6.42,310,-4.65,271,-4.98,38,-2.30
1989M06,88,9.99,54,5.36,34,18.35,"1,668",2.62,858,1.88,810,3.42,"2,493",1.17,12,13.23,"2,481",1.12,"1,053",4.00,577,2.85,476,5.44,310,-7.47,272,-6.55,38,-13.62
1989M07,89,0.23,59,7.16,30,-11.11,"1,551",3.94,812,5.35,738,2.42,"2,561",1.56,15,43.42,"2,546",1.39,"1,035",2.83,585,3.44,450,2.04,339,2.06,301,2.41,38,-0.67
1989M08,74,-9.72,48,-1.94,26,-21.22,"1,481",-1.70,772,-1.15,708,-2.28,"2,497",3.24,11,16.92,"2,487",3.19,"1,049",2.16,589,2.77,460,1.39,362,3.77,319,1.49,44,24.10
1989M09,70,-18.52,50,2.79,20,-46.85,"1,568",1.30,820,2.84,749,-0.34,"2,544",3.41,13,-10.17,"2,531",3.49,"1,045",1.73,587,2.51,457,0.74,362,-0.74,317,-1.86,45,7.93
1989M10,76,-5.40,52,3.08,23,-20.16,"1,584",2.76,818,3.71,766,1.76,"2,538",5.98,16,42.26,"2,522",5.81,"1,066",4.98,598,5.85,468,3.89,353,-1.43,306,-0.96,47,-4.39
1989M11,77,14.41,52,19.68,25,4.62,"1,587",2.30,823,3.56,764,0.98,"2,519",6.61,15,45.78,"2,504",6.44,"1,056",3.18,595,4.04,462,2.10,370,7.97,312,5.14,58,26.27
1989M12,68,11.52,47,14.60,20,4.97,"1,612",4.99,825,4.22,787,5.81,"2,570",3.90,18,40.48,"2,552",3.71,"1,063",2.61,596,3.50,467,1.50,343,2.28,300,1.80,43,5.74
1990M01,97,31.84,63,50.83,34,6.63,"1,647",8.71,838,6.99,810,10.55,"2,607",5.16,20,72.50,"2,587",4.84,"1,073",0.62,602,3.17,471,-2.47,342,5.69,307,7.77,35,-9.54
1990M02,96,39.80,62,57.90,34,15.53,"1,659",7.16,839,5.09,821,9.36,"2,648",5.35,16,66.03,"2,632",5.11,"1,063",0.59,595,3.20,469,-2.55,342,6.13,307,7.19,34,-2.50
1990M03,67,-4.57,47,1.93,20,-16.95,"1,701",6.52,878,8.73,823,4.27,"2,611",4.69,18,58.00,"2,593",4.45,"1,071",3.99,603,7.09,468,0.24,361,9.20,315,8.24,46,16.26
1990M04,67,-12.45,47,-0.81,21,-30.89,"1,729",4.19,896,6.90,832,1.41,"2,611",4.79,24,85.15,"2,587",4.37,"1,068",4.57,608,7.07,459,1.43,357,7.33,316,9.14,40,-5.00
1990M05,80,8.75,51,13.34,29,1.64,"1,739",3.04,896,4.34,843,1.69,"2,566",4.64,20,113.95,"2,546",4.21,"1,134",6.28,631,8.73,503,3.35,339,9.43,296,9.13,43,11.61
1990M06,85,-3.75,52,-3.08,32,-4.83,"1,703",2.13,877,2.27,826,1.98,"2,580",3.48,18,48.78,"2,561",3.25,"1,137",7.92,635,9.97,502,5.43,342,10.51,300,10.40,42,11.31
1990M07,88,-0.50,59,-0.08,29,-1.34,"1,577",1.71,802,-1.34,776,5.07,"2,634",2.83,19,25.72,"2,615",2.70,"1,101",6.32,620,5.94,481,6.83,364,7.44,327,8.60,38,-1.74
1990M08,98,33.64,62,30.95,36,38.59,"1,580",6.66,804,4.04,776,9.52,"2,484",-0.54,13,25.02,"2,471",-0.65,"1,118",6.50,624,5.93,493,7.22,363,0.28,329,3.36,34,-22.19
1990M09,100,43.41,67,32.49,34,71.48,"1,650",5.19,843,2.86,807,7.75,"2,533",-0.44,13,5.36,"2,519",-0.47,"1,109",6.18,625,6.49,484,5.79,367,1.33,327,3.11,40,-11.19
1990M10,81,7.45,54,3.53,27,16.27,"1,641",3.61,842,2.90,799,4.37,"2,632",3.74,22,38.75,"2,610",3.52,"1,115",4.61,626,4.73,489,4.46,346,-2.00,302,-1.48,44,-5.39
