期間,遠期契約_原始值,遠期契約_年增率(%),遠期契約_原始值,遠期契約_年增率(%),換匯_原始值,換匯_年增率(%),換匯_原始值,換匯_年增率(%),換匯換利_原始值,換匯換利_年增率(%),換匯換利_原始值,換匯換利_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),買入選擇權_原始值,買入選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),賣出選擇權_原始值,賣出選擇權_年增率(%),契約合計_原始值,契約合計_年增率(%),契約合計_原始值,契約合計_年增率(%)
2002M02,"197,207",38.03,"85,717",147.27,"189,896",57.73,"240,421",-12.16,"18,985","1,809.96",0,--,"36,115",20.98,"105,085",7.82,"35,639",25.96,"101,896",3.66,"477,842",48.21,"533,119",5.75
2002M03,"211,996",10.00,"80,734",1.43,"240,459",33.50,"352,000",27.27,"9,256",20.80,0,--,"39,678",-36.14,"169,643",21.96,"38,822",-38.42,"168,666",22.08,"540,211",6.83,"771,043",21.73
2002M04,"300,005",52.56,"64,603",-4.86,"206,855",15.75,"284,146",13.66,"16,540",49.10,0,-100.00,"55,773",-1.57,"196,394",79.25,"54,233",-0.01,"193,307",76.55,"633,406",27.36,"738,450",37.37
2002M05,"340,544",22.22,"82,068",52.97,"248,328",12.49,"280,033",9.49,"12,588",-55.34,"1,776",-80.21,"72,759",50.51,"165,026",66.26,"80,087",51.31,"162,973",67.41,"754,306",19.95,"691,876",34.35
2002M06,"311,302",8.70,"83,871",42.41,"397,920",95.16,"408,615",57.93,"12,970",-65.87,0,-100.00,"56,804",19.20,"174,466",111.59,"52,853",7.39,"170,382",111.46,"831,849",33.06,"837,334",73.51
2002M07,"411,124",81.96,"114,420",72.09,"412,053",124.08,"475,147",68.48,"38,743",-4.39,658,-6.40,"62,822",9.25,"230,148",126.45,"71,902",14.28,"227,849",115.21,"996,644",74.61,"1,048,222",88.28
2002M08,"267,143",16.09,"68,047",10.22,"249,218",29.55,"378,094",12.17,"36,748",-27.38,0,-100.00,"47,255",33.53,"121,251",8.40,"49,740",39.11,"114,653",-4.25,"650,104",19.45,"682,045",8.07
2002M09,"255,003",42.07,"67,154",33.79,"181,835",26.79,"378,813",61.89,"20,437",-18.35,0,-100.00,"56,200",65.45,"153,519",21.20,"61,480",83.86,"151,536",17.83,"574,955",38.43,"751,022",38.80
2002M10,"302,797",75.27,"86,386",146.91,"278,768",29.04,"396,255",32.44,"33,003",58.33,"1,418",--,"49,957",45.52,"187,818",94.00,"46,570",35.53,"190,274",89.30,"711,095",48.66,"862,151",62.21
2002M11,"259,990",17.72,"103,893",134.84,"241,123",-9.45,"417,696",24.82,"21,285",-3.86,"12,675","1,432.65","41,908",8.30,"157,739",29.83,"40,762",11.19,"154,068",23.17,"605,068",3.49,"846,071",35.10
2002M12,"257,693",3.18,"90,204",28.79,"266,727",25.35,"435,994",59.09,"11,445",40.76,0,-100.00,"31,982",-25.33,"184,766",47.00,"35,857",-19.27,"180,358",52.22,"603,704",8.21,"891,322",50.77
2003M01,"339,414",43.35,"91,014",79.15,"340,172",46.09,"406,078",36.31,"34,056",-18.22,174,--,"70,260",49.31,"198,022",18.36,"74,780",38.36,"202,193",20.22,"858,682",40.22,"897,481",31.17
2003M02,"220,409",11.77,"79,358",-7.42,"234,066",23.26,"320,704",33.39,"64,741",241.01,"3,346",--,"45,364",25.61,"166,371",58.32,"58,980",65.49,"168,377",65.24,"623,560",30.50,"738,156",38.46
2003M03,"285,376",34.61,"103,150",27.77,"267,705",11.33,"419,406",19.15,"49,459",434.35,"2,346",--,"49,814",25.55,"224,320",32.23,"58,092",49.64,"233,724",38.57,"710,446",31.51,"982,946",27.48
2003M04,"292,863",-2.38,"100,633",55.77,"355,302",71.76,"485,580",70.89,"34,599",109.18,0,--,"35,515",-36.32,"207,854",5.84,"40,813",-24.75,"236,827",22.51,"759,092",19.84,"1,030,894",39.60
2003M05,"319,995",-6.03,"98,297",19.78,"353,657",42.42,"572,848",104.56,"24,897",97.78,"1,999",12.56,"38,715",-46.79,"317,064",92.13,"41,258",-48.48,"308,874",89.52,"778,522",3.21,"1,299,082",87.76
2003M06,"272,246",-12.55,"114,673",36.73,"347,193",-12.75,"691,073",69.13,"37,270",187.36,688,--,"29,559",-47.96,"222,644",27.61,"34,055",-35.57,"231,159",35.67,"720,323",-13.41,"1,260,237",50.51
2003M07,"338,480",-17.67,"124,530",8.84,"375,186",-8.95,"572,825",20.56,"66,127",70.68,622,-5.47,"60,288",-4.03,"258,828",12.46,"62,589",-12.95,"281,309",23.46,"902,670",-9.43,"1,238,114",18.12
2003M08,"330,051",23.55,"123,511",81.51,"347,804",39.56,"565,411",49.54,"32,713",-10.98,740,--,"54,332",14.98,"240,853",98.64,"57,042",14.68,"239,884",109.23,"821,942",26.43,"1,170,399",71.60
2003M09,"538,926",111.34,"166,522",147.97,"608,569",234.68,"683,752",80.50,"33,343",63.15,"2,388",--,"103,286",83.78,"314,119",104.61,"111,019",80.58,"310,937",105.19,"1,395,143",142.65,"1,477,718",96.76
2003M10,"580,889",91.84,"170,306",97.15,"733,025",162.95,"865,207",118.35,"36,433",10.39,"2,379",67.77,"122,018",144.25,"282,070",50.18,"122,314",162.65,"283,793",49.15,"1,594,679",124.26,"1,603,755",86.02
2003M11,"402,165",54.68,"154,668",48.87,"479,384",98.81,"624,803",49.58,"39,390",85.06,"7,095",-44.02,"50,868",21.38,"187,919",19.13,"44,221",8.49,"195,860",27.13,"1,016,028",67.92,"1,170,345",38.33
2003M12,"382,690",48.51,"164,700",82.59,"358,000",34.22,"739,969",69.72,"36,742",221.03,"3,962",--,"64,841",102.74,"238,771",29.23,"62,386",73.99,"241,298",33.79,"904,659",49.85,"1,388,700",55.80
2004M01,"540,229",59.17,"184,304",102.50,"512,797",50.75,"533,573",31.40,"16,171",-52.52,167,-4.02,"159,705",127.31,"555,114",180.33,"168,297",125.06,"545,000",169.54,"1,397,199",62.71,"1,818,158",102.58
2004M02,"649,435",194.65,"286,465",260.98,"551,682",135.70,"745,874",132.57,"48,547",-25.01,"3,111",-7.02,"170,826",276.57,"411,317",147.23,"166,561",182.40,"406,196",141.24,"1,587,051",154.51,"1,852,963",151.03
2004M03,"622,103",117.99,"264,063",156.00,"515,612",92.60,"937,756",123.59,"41,534",-16.02,0,-100.00,"109,403",119.62,"386,092",72.12,"102,001",75.59,"386,619",65.42,"1,390,653",95.74,"1,974,530",100.88
2004M04,"611,043",108.64,"348,600",246.41,"605,245",70.35,"1,099,425",126.41,"52,092",50.56,0,--,"124,836",251.50,"345,304",66.13,"127,113",211.45,"339,100",43.18,"1,520,329",100.28,"2,132,429",106.85
2004M05,"511,504",59.85,"258,475",162.95,"709,404",100.59,"1,256,582",119.36,"45,264",81.81,167,-91.65,"83,702",116.20,"356,836",12.54,"79,664",93.09,"347,360",12.46,"1,429,538",83.62,"2,219,420",70.85
2004M06,"462,392",69.84,"262,941",129.30,"754,454",117.30,"1,090,289",57.77,"48,640",30.51,0,-100.00,"77,614",162.57,"336,162",50.99,"70,567",107.21,"331,110",43.24,"1,413,667",96.25,"2,020,502",60.33
2004M07,"511,301",51.06,"252,033",102.39,"765,778",104.11,"878,862",53.43,"28,836",-56.39,0,-100.00,"90,938",50.84,"335,329",29.56,"87,307",39.49,"325,397",15.67,"1,484,160",64.42,"1,791,621",44.71
2004M08,"399,115",20.93,"232,498",88.24,"752,347",116.31,"818,477",44.76,"30,619",-6.40,173,-76.62,"70,871",30.44,"305,242",26.73,"60,913",6.79,"287,891",20.01,"1,313,865",59.85,"1,644,281",40.49
2004M09,"559,609",3.84,"255,728",53.57,"815,442",33.99,"721,507",5.52,"47,812",43.39,"1,310",-45.14,"93,075",-9.89,"337,247",7.36,"93,710",-15.59,"327,386",5.29,"1,609,648",15.38,"1,643,178",11.20
2004M10,"480,975",-17.20,"228,304",34.06,"776,895",5.98,"725,882",-16.10,"48,290",32.54,0,-100.00,"82,725",-32.20,"432,121",53.20,"90,089",-26.35,"437,881",54.30,"1,478,974",-7.26,"1,824,188",13.74
2004M11,"651,819",62.08,"296,802",91.90,"846,474",76.58,"749,454",19.95,"103,173",161.93,0,-100.00,"149,109",193.13,"352,007",87.32,"138,891",214.08,"351,073",79.25,"1,889,466",85.97,"1,749,336",49.47
2004M12,"552,663",44.42,"346,270",110.24,"891,109",148.91,"914,419",23.58,"71,863",95.59,0,-100.00,"127,072",95.97,"458,517",92.03,"125,590",101.31,"437,126",81.16,"1,768,297",95.47,"2,156,332",55.28
2005M01,"504,938",-6.53,"248,664",34.92,"866,625",69.00,"782,222",46.60,"75,729",368.30,0,-100.00,"61,683",-61.38,"318,037",-42.71,"66,862",-60.27,"328,625",-39.70,"1,575,837",12.79,"1,677,548",-7.73
2005M02,"466,688",-28.14,"173,940",-39.28,"694,389",25.87,"538,730",-27.77,"64,318",32.49,0,-100.00,"30,638",-82.06,"201,521",-51.01,"25,492",-84.70,"206,114",-49.26,"1,281,525",-19.25,"1,120,305",-39.54
