期間,總計_原始值,總計_年增率(%),中央政府_原始值,中央政府_年增率(%),新北市政府_原始值,新北市政府_年增率(%),臺北市政府_原始值,臺北市政府_年增率(%),臺中市政府_原始值,臺中市政府_年增率(%),臺南市政府_原始值,臺南市政府_年增率(%),高雄市政府_原始值,高雄市政府_年增率(%),省政府_原始值,省政府_年增率(%),縣市政府_原始值,縣市政府_年增率(%),鄉鎮市公所_原始值,鄉鎮市公所_年增率(%)
2008,"4,375,029",1.80,"3,778,786",1.62,-,--,"167,164",-1.94,-,--,-,--,"142,992",6.66,-,--,"279,831",4.48,"6,256",-8.11
2009,"4,743,981",8.43,"4,127,411",9.23,-,--,"160,436",-4.02,-,--,-,--,"152,447",6.61,-,--,"297,501",6.31,"6,186",-1.12
2010,"5,188,389",9.37,"4,537,966",9.95,-,--,"153,664",-4.22,-,--,-,--,"161,737",6.09,-,--,"330,662",11.15,"4,360",-29.52
2011,"5,482,457",5.67,"4,764,594",4.99,"42,596",--,"202,809",31.98,"45,232",--,"44,095",--,"194,231",20.09,-,--,"187,059",-43.43,"1,841",-57.78
2012,"5,769,602",5.24,"5,011,525",5.18,"43,064",1.10,"221,048",8.99,"50,013",10.57,"45,195",2.49,"210,294",8.27,-,--,"186,911",-0.08,"1,552",-15.70
2013,"5,984,179",3.72,"5,214,831",4.06,"48,086",11.66,"235,953",6.74,"33,795",-32.43,"43,839",-3.00,"221,644",5.40,-,--,"184,745",-1.16,"1,286",-17.14
2014,"6,297,255",5.23,"5,424,166",4.01,"70,568",46.75,"241,949",2.54,"68,549",102.84,"50,639",15.51,"233,643",5.41,-,--,"205,039",10.98,"2,702",110.11
