期間,發生件數(包括補報數)(件) - 合計_原始值,發生件數(包括補報數)(件) - 合計_年增率(%),發生件數(包括補報數)(件) - 竊盜_原始值,發生件數(包括補報數)(件) - 竊盜_年增率(%),發生件數(包括補報數)(件) - 暴力犯罪_原始值,發生件數(包括補報數)(件) - 暴力犯罪_年增率(%),發生件數(包括補報數)(件) - 其他刑案_原始值,發生件數(包括補報數)(件) - 其他刑案_年增率(%),破獲件數(包括破積案)(件) - 合計_原始值,破獲件數(包括破積案)(件) - 合計_年增率(%),破獲件數(包括破積案)(件) - 竊盜_原始值,破獲件數(包括破積案)(件) - 竊盜_年增率(%),破獲件數(包括破積案)(件) - 暴力犯罪_原始值,破獲件數(包括破積案)(件) - 暴力犯罪_年增率(%),破獲件數(包括破積案)(件) - 其他刑案_原始值,破獲件數(包括破積案)(件) - 其他刑案_年增率(%),嫌疑犯人數(人) - 合計_原始值,嫌疑犯人數(人) - 合計_年增率(%),嫌疑犯人數(人) - 竊盜_原始值,嫌疑犯人數(人) - 竊盜_年增率(%),嫌疑犯人數(人) - 暴力犯罪_原始值,嫌疑犯人數(人) - 暴力犯罪_年增率(%),嫌疑犯人數(人) - 其他刑案_原始值,嫌疑犯人數(人) - 其他刑案_年增率(%),刑案發生率(件/十萬人)_原始值,刑案發生率(件/十萬人)_年增率(%),犯罪人口率(人/十萬人)_原始值,犯罪人口率(人/十萬人)_年增率(%),破獲率(%)_原始值,破獲率(%)_年增率(%)
2011M01,"33,209",12.94,"12,629",9.87,410,2.24,"20,170",15.21,"28,664",41.84,"10,914",125.50,338,20.71,"17,412",15.40,"24,874",32.57,"4,564",124.50,375,16.82,"19,935",21.49,143.37,-,107.39,-,86.31,-
2011M02,"28,821",-15.71,"10,901",-26.70,288,-36.84,"17,632",-6.53,"25,531",-29.06,"9,383",-45.08,283,-46.30,"15,865",-13.67,"23,247",-18.66,"4,744",-30.29,371,-37.96,"18,132",-14.38,124.42,-,100.36,-,88.58,-
2011M03,"30,456",-10.47,"9,757",-22.23,390,-20.41,"20,309",-3.21,"23,229",-10.77,"5,564",-19.07,338,-11.05,"17,327",-7.73,"22,286",-3.91,"2,504",-9.44,421,-11.74,"19,361",-2.95,131.47,-,96.20,-,76.27,-
2011M04,"28,195",-5.95,"9,933",-17.68,376,-4.81,"17,886",2.11,"21,505",-10.02,"6,218",-16.66,356,-0.28,"14,931",-7.16,"20,323",-1.34,"3,016",0.77,426,7.30,"16,881",-1.91,121.70,-,87.72,-,76.27,-
2011M05,"29,365",-8.79,"9,879",-21.85,440,-7.37,"19,046",-0.17,"22,832",-9.53,"6,153",-21.31,407,8.53,"16,272",-4.52,"21,664",-3.60,"3,060",-0.36,486,4.97,"18,118",-4.34,126.72,-,93.49,-,77.75,-
2011M06,"27,160",-8.01,"9,551",-14.92,332,-25.56,"17,277",-3.22,"20,834",-11.16,"5,821",-17.70,305,-21.59,"14,708",-8.02,"19,230",-12.69,"2,694",-5.61,398,-3.16,"16,138",-13.98,117.18,-,82.97,-,76.71,-
2011M07,"31,453",-0.50,"9,673",-17.25,352,-26.67,"21,428",10.21,"24,655",-1.40,"6,319",-11.73,347,-14.32,"17,989",3.14,"23,637",2.76,"3,038",5.16,447,0.68,"20,152",2.46,135.67,-,101.95,-,78.39,-
2011M08,"31,435",-6.51,"9,644",-18.77,376,-33.21,"21,415",1.06,"24,950",-6.45,"6,308",-13.68,385,-27.63,"18,257",-3.05,"24,058",-1.66,"3,002",-0.46,479,-5.71,"20,577",-1.74,135.55,-,103.74,-,79.37,-
2011M09,"27,767",-9.34,"9,199",-21.86,322,-30.30,"18,246",-0.79,"21,961",-9.77,"6,088",-18.77,283,-27.62,"15,590",-5.24,"20,961",-3.57,"2,882",-7.24,339,-23.13,"17,740",-2.47,119.71,-,90.37,-,79.09,-
2011M10,"27,821",-9.23,"9,290",-20.47,372,-8.15,"18,159",-2.18,"22,308",-8.36,"6,102",-19.78,350,-15.25,"15,856",-2.86,"21,148",-4.58,"2,822",-5.14,461,-3.56,"17,865",-4.52,119.91,-,91.15,-,80.18,-
