期間,放款_原始值,放款_年增率(%),投資--對非金融機構證券投資--政府機關_原始值,投資--對非金融機構證券投資--政府機關_年增率(%),投資--對非金融機構證券投資--公營事業_原始值,投資--對非金融機構證券投資--公營事業_年增率(%),投資--對非金融機構證券投資--民營事業_原始值,投資--對非金融機構證券投資--民營事業_年增率(%),投資---對金融機構投資_原始值,投資---對金融機構投資_年增率(%),投資--不動產投資_原始值,投資--不動產投資_年增率(%),對金融機構債權_原始值,對金融機構債權_年增率(%),庫存現金_原始值,庫存現金_年增率(%),資產合計(淨額)=負債合計(淨額)_原始值,資產合計(淨額)=負債合計(淨額)_年增率(%),各項準備_原始值,各項準備_年增率(%),淨值_原始值,淨值_年增率(%),其他項目(淨額)_原始值,其他項目(淨額)_年增率(%)
2006M03,"5,651",3.75,"21,241",-11.75,-,-,"59,523",0.72,"12,264",31.07,"17,858",-6.88,"29,498",-6.52,172,8.86,"146,207",-2.78,"101,739",4.42,"80,792",1.86,"-36,324",--
2006M04,"5,554",7.51,"21,193",-8.01,-,-,"60,648",0.99,"12,530",25.45,"17,877",-6.33,"29,111",-6.08,169,9.74,"147,082",-2.18,"101,942",4.20,"80,039",5.89,"-34,899",--
2006M05,"5,645",11.21,"20,344",-13.86,-,-,"58,335",-0.43,"14,882",43.72,"17,670",-7.47,"29,231",-5.39,167,6.37,"146,274",-2.29,"102,157",3.36,"79,567",7.72,"-35,450",--
2006M06,"5,778",11.31,"19,469",-15.72,-,-,"57,636",4.01,"12,489",20.49,"17,695",-7.57,"29,890",-2.57,163,6.54,"143,120",-1.94,"102,489",2.76,"79,433",7.76,"-38,802",--
2006M07,"5,894",15.77,"18,343",-19.08,-,-,"57,031",1.63,"13,656",24.67,"17,971",-5.85,"29,185",-2.74,157,-0.63,"142,237",-2.43,"105,511",4.60,"78,982",6.00,"-42,256",--
2006M08,"5,945",17.91,"17,781",-22.07,-,-,"55,963",-0.96,"12,632",21.57,"18,231",-4.23,"29,583",-4.45,155,-5.49,"140,290",-4.30,"102,824",1.78,"79,382",6.03,"-41,916",--
2006M09,"6,023",22.22,"18,203",-17.92,-,-,"55,093",-2.37,"11,618",8.78,"18,233",-5.71,"28,400",-8.16,150,-4.46,"137,720",-5.78,"103,568",1.89,"70,514",-6.11,"-36,362",--
2006M10,"6,066",22.87,"19,003",-13.49,-,-,"49,530",-12.84,"10,126",-13.81,"17,751",-8.30,"29,998",-3.36,150,-1.96,"132,624",-9.24,"103,342",2.10,"71,823",-3.89,"-42,541",--
2006M11,"6,116",25.05,"19,433",-6.92,-,-,"50,935",-11.09,"10,182",-18.22,"17,654",-8.95,"30,123",-2.58,149,-3.87,"134,592",-7.97,"103,727",2.54,"73,403",-2.25,"-42,538",--
2006M12,"6,318",24.08,"20,232",-11.33,-,-,"50,549",-11.23,"9,859",-12.44,"17,447",-8.55,"31,177",0.54,144,0.70,"135,726",-7.28,"104,636",4.01,"73,120",-4.15,"-42,030",--
2007M01,"6,346",17.50,"19,746",-11.95,-,-,"51,031",-5.46,"9,983",-16.13,"17,472",-3.45,"31,239",3.87,150,-63.50,"135,967",-4.45,"105,549",5.19,"73,200",-7.95,"-42,782",--
2007M02,"6,431",17.27,"18,921",0.26,-,-,"51,681",-7.82,"10,024",-12.14,"17,456",-3.61,"30,042",-1.49,158,-68.08,"134,713",-4.41,"105,452",4.82,"74,078",-8.21,"-44,817",--
2007M03,"3,029",-46.40,"19,499",-8.20,-,-,"54,487",-8.46,"9,057",-26.15,"17,346",-2.87,"29,322",-0.60,154,-10.47,"132,894",-9.11,"107,551",5.71,"68,676",-15.00,"-43,333",--
2007M04,"3,077",-44.60,"19,431",-8.31,-,-,"55,544",-8.42,"9,003",-28.15,"17,175",-3.93,"31,144",6.98,149,-11.83,"135,523",-7.86,"108,249",6.19,"68,679",-14.19,"-41,405",--
2007M05,"3,081",-45.42,"19,372",-4.78,-,-,"54,452",-6.66,"8,953",-39.84,"16,973",-3.94,"32,369",10.74,150,-10.18,"135,350",-7.47,"108,249",5.96,"66,697",-16.18,"-39,596",--
2007M06,"3,121",-45.98,"19,542",0.37,-,-,"54,827",-4.87,"8,246",-33.97,"16,885",-4.58,"33,276",11.33,152,-6.75,"136,049",-4.94,"109,795",7.13,"66,725",-16.00,"-40,471",--
2007M07,"3,124",-47.00,"19,050",3.85,-,-,"55,498",-2.69,"7,487",-45.17,"16,863",-6.17,"33,517",14.84,149,-5.10,"135,688",-4.60,"109,617",3.89,"68,259",-13.58,"-42,188",--
2007M08,"3,148",-47.05,"19,256",8.30,-,-,"56,913",1.70,"7,606",-39.79,"16,830",-7.68,"35,512",20.04,146,-5.81,"139,411",-0.63,"110,915",7.87,"69,854",-12.00,"-41,358",--
2007M09,"3,069",-49.05,"19,657",7.99,-,-,"57,657",4.65,"8,214",-29.30,"16,792",-7.90,"34,888",22.85,145,-3.33,"140,422",1.96,"111,155",7.33,"70,939",0.60,"-41,672",--
2007M10,"3,042",-49.85,"18,750",-1.33,-,-,"54,699",10.44,"7,803",-22.94,"14,436",-18.68,"31,951",6.51,140,-6.67,"130,821",-1.36,"101,997",-1.30,"66,843",-6.93,"-38,019",--
2007M11,"2,999",-50.96,"18,690",-3.82,-,-,"54,744",7.48,"8,007",-21.36,"16,822",-4.71,"35,234",16.97,145,-2.68,"136,641",1.52,"111,341",7.34,"67,741",-7.71,"-42,441",--
2007M12,"2,918",-53.81,"20,978",3.69,-,-,"53,225",5.29,"8,170",-17.13,"16,697",-4.30,"36,407",16.78,137,-4.86,"138,532",2.07,"112,776",7.78,"67,451",-7.75,"-41,695",--
2008M01,"2,573",-59.45,"21,731",10.05,-,-,"51,382",0.69,"8,601",-13.84,"16,696",-4.44,"35,942",15.05,147,-2.00,"137,072",0.81,"125,214",18.63,"66,783",-8.77,"-54,925",--
2008M02,"2,560",-60.19,"22,070",16.64,-,-,"53,253",3.04,"8,811",-12.10,"16,729",-4.16,"36,032",19.94,147,-6.96,"139,602",3.63,"130,094",23.37,"69,204",-6.58,"-59,696",--
2008M03,"2,487",-17.89,"22,179",13.74,-,-,"57,076",4.75,"8,335",-7.97,"16,591",-4.35,"36,929",25.94,147,-4.55,"143,744",8.16,"146,003",35.75,"69,684",1.47,"-71,943",--
2008M04,"2,427",-21.12,"23,062",18.69,-,-,"57,459",3.45,"8,910",-1.03,"16,600",-3.35,"37,675",20.97,143,-4.03,"146,276",7.93,"148,136",36.85,"69,975",1.89,"-71,835",--
2008M05,"2,402",-22.04,"22,708",17.22,-,-,"56,755",4.23,"9,149",2.19,"16,550",-2.49,"36,403",12.46,148,-1.33,"144,115",6.48,"148,173",36.88,"67,735",1.56,"-71,793",--
2008M06,"2,285",-26.79,"23,775",21.66,-,-,"51,864",-5.40,"8,867",7.53,"16,464",-2.49,"37,724",13.37,147,-3.29,"141,126",3.73,"153,185",39.52,"62,557",-6.25,"-74,616",--
2008M07,"2,087",-33.19,"22,339",17.27,-,-,"52,520",-5.37,"9,381",25.30,"16,444",-2.48,"35,783",6.76,146,-2.01,"138,700",2.22,"153,919",40.42,"62,124",-8.99,"-77,343",--
2008M08,"2,111",-32.94,"22,078",14.66,-,-,"54,793",-3.72,"9,226",21.30,"17,090",1.54,"34,206",-3.68,147,0.68,"139,651",0.17,"152,955",37.90,"62,767",-10.15,"-76,071",--
2008M09,"2,085",-32.06,"23,279",18.43,-,-,"49,004",-15.01,"8,874",8.04,"17,055",1.57,"34,995",0.31,153,5.52,"135,445",-3.54,"157,721",41.89,"57,331",-19.18,"-79,607",--
2008M10,"2,045",-32.77,"23,552",25.61,-,-,"45,755",-16.35,"8,785",12.58,"16,987",17.67,"35,486",11.06,141,0.71,"132,751",1.48,"157,474",54.39,"54,764",-18.07,"-79,487",--
2008M11,"1,998",-33.38,"25,083",34.21,-,-,"43,679",-20.21,"8,411",5.05,"16,982",0.95,"35,128",-0.30,144,-0.69,"131,425",-3.82,"156,341",40.42,"55,013",-18.79,"-79,929",--
2008M12,"2,028",-30.50,"26,486",26.26,-,-,"45,990",-13.59,"8,728",6.83,"16,960",1.58,"34,900",-4.14,124,-9.49,"135,216",-2.39,"158,448",40.50,"55,117",-18.29,"-78,349",--
2009M01,"1,869",-27.36,"25,027",15.17,-,-,"45,271",-11.89,"7,878",-8.41,"16,861",0.99,"33,459",-6.91,122,-17.01,"130,487",-4.80,"155,324",24.05,"55,233",-17.29,"-80,070",--
2009M02,"1,847",-27.85,"25,855",17.15,-,-,"48,411",-9.09,"7,885",-10.51,"16,883",0.92,"34,429",-4.45,126,-14.29,"135,436",-2.98,"157,203",20.84,"56,569",-18.26,"-78,336",--
