期間,貨幣總計數M1B增( + )  減( - ),國外資產淨額,對政府債權,對公營事業債權,對民間部門債權,準貨幣,政府存款,其他項目(淨額)
2010M01,"23,102","169,049","125,367","14,523","-76,948","-75,180","-114,608","-19,101"
2010M02,"63,806","-16,004","22,848","-10,334","44,687","-74,579","123,327","-26,139"
2010M03,"-71,625","246,403","-84,068","-13,118","-2,087","-62,508","23,315","-179,562"
2010M04,"111,477","127,982","-28,409","37,073","138,088","14,453","-4,176","-173,534"
2010M05,"-108,690","-46,923","-50,029","11,770","210,535","-75,277","-92,596","-66,170"
2010M06,"115,083","67,127","-105,464","7,200","146,470",277,"48,997","-49,524"
2010M07,"139,859","-89,042","-8,887","9,009","117,735","-48,312","-19,033","178,389"
2010M08,"148,549",-761,"8,241","1,508","195,853","35,917","19,678","-111,887"
2010M09,"59,120","140,771","-15,961","-6,676",-594,"-42,982","-66,262","50,824"
2010M10,"58,569","192,171","55,015","-2,983","106,872","-213,498","49,673","-128,681"
2010M11,"106,687","28,042","46,771","-12,773","162,244","5,653","-38,574","-84,676"
2010M12,"299,603","107,641","148,845","24,931","104,121","-117,291","28,095","3,261"
2011M01,"233,942","95,896","184,028","-6,356","202,975","-172,047","50,183","-120,737"
2011M02,"-135,049","-113,978","37,075","-11,755","34,577","-111,757","-9,452","40,241"
2011M03,"-72,368","-73,389","-63,794","31,980","47,239","-84,944","82,843","-12,303"
2011M04,"-30,690","130,564","-10,110","-23,853","120,209","-230,513","8,904","-25,891"
2011M05,"-78,310","-127,943","-52,013","31,491","189,633","114,277","-139,574","-94,181"
2011M06,"56,184","-4,633","-77,437","8,212","65,239","-116,983","54,100","127,686"
2011M07,"147,233","74,359","-1,935","13,070","80,498","-156,969","11,725","126,485"
2011M08,"98,638","-91,288","-41,223","18,435","235,875","138,151","31,683","-192,995"
2011M09,"-78,029","-7,974","2,767","5,450","107,715","-176,744","-40,923","31,680"
2011M10,"-33,199","22,845","32,920","-12,852","31,679","-183,784","56,634","19,359"
2011M11,"25,784","87,049","-12,336","14,053","92,439","-50,143","-14,944","-90,334"
2011M12,"238,954","215,559","164,125",-583,"-68,231","-92,945","-1,007","22,036"
2012M01,"185,306","375,042","178,252","-11,121","54,320","-332,950","90,869","-169,106"
2012M02,"-80,137","9,574","76,335","-31,309","4,900","3,504","8,568","-151,709"
2012M03,"-38,196","-51,217","100,782",931,"-54,330","-109,134","-15,081","89,853"
2012M04,"-57,549","2,317","32,146","5,322","108,680","-30,646","-5,594","-169,774"
2012M05,"-30,380","-66,915","-127,464","6,421","225,487","86,976","-68,981","-85,904"
2012M06,"10,436","29,016","-134,820","-1,378","-17,685","-29,671","41,258","123,716"
2012M07,"102,373","-127,978","48,536","16,847","178,409","28,352","-34,698","-7,095"
2012M08,"122,035","199,719","-23,590","8,047","118,364","-116,817","44,879","-108,567"
2012M09,"16,704","-62,626","24,731","-11,390","62,258","107,552","-32,978","-70,843"
2012M10,"-48,818","-42,853","35,472","5,970","109,841","-57,145","24,773","-124,876"
2012M11,"56,474","113,525","-16,969","-6,860","134,497","-102,753","-30,028","-34,938"
2012M12,"349,916","85,108","166,234","39,723","70,332","18,412","5,395","-35,288"
2013M01,"133,087","86,141","186,283","-4,286","36,287","-220,161","-3,572","52,395"
2013M02,"79,713","94,025","39,632","19,370","7,560","-108,650","86,097","-58,321"
2013M03,"22,609","-31,026","65,044","14,504","53,994","-90,157","-3,003","13,252"
2013M04,"-45,368","154,286","-21,325","4,639","77,869","-89,198","12,155","-183,795"
2013M05,"90,108","109,270","-128,389","6,091","126,566","45,286","-33,655","-35,061"
2013M06,"132,410","105,914","-48,933","9,345","53,543","-133,657","-33,276","179,473"
2013M07,"132,531","43,679","89,999","6,763","155,445","-127,057","-18,369","-17,929"
2013M08,"87,241","68,106","-1,597","-14,727","85,156","-24,384","36,332","-61,645"
2013M09,"-42,038","19,664","-34,013","8,330","126,968","-46,983","-45,612","-70,392"
2013M10,"56,689","184,666","-56,314","-1,636","126,527","-148,607","57,310","-105,257"
2013M11,"47,233","92,891","-17,720","10,094","157,651","-22,340","-125,183","-48,160"
2013M12,"358,157","183,455","2,247","-14,088","44,884","73,821","126,770","-58,932"
2014M01,"323,487","124,249","189,616","1,423","130,700","-138,638","-26,431","42,568"
2014M02,"-110,396","198,449","37,102","4,792","27,133","-231,750","27,513","-173,635"
2014M03,"26,549","164,621","76,465","-17,773","-25,763","-130,385","-14,670","-25,946"
2014M04,"31,818","110,559","34,854","7,753","141,194","-99,021",293,"-163,814"
2014M05,"-92,675","130,351","-65,702","-8,854","132,291","-69,164","-93,299","-118,298"
2014M06,"66,834","137,833","-132,583","-15,833","98,008","-10,015","-3,213","-7,363"
2014M07,"195,307","40,728","20,066","4,780","281,947","-153,232","-57,086","58,104"
