期間,家庭及非營利團體_資金用途,家庭及非營利團體_資金來源,民營企業_資金用途,民營企業_資金來源,公營企業_資金用途,公營企業_資金來源,政府_資金用途,政府_資金來源,中央銀行_資金用途,中央銀行_資金來源,其他貨幣機構_資金用途,其他貨幣機構_資金來源,保險公司及退休基金_資金用途,保險公司及退休基金_資金來源,其他金融機構_資金用途,其他金融機構_資金來源,國內全體部門_資金用途,國內全體部門_資金來源,國外部門_資金用途,國外部門_資金來源
2004,,,,,,,,,,,,,,,,,,,,,通貨,"105,474",-,"-41,636",-,134,-,-2,-,-,"71,927","10,284",-,183,-,"-2,510",-,"71,927","71,927",-,-,活期性存款,"648,913",-,"175,524",-,"-2,738",-,-,-,-,-,"1,785","867,835","20,397",-,"1,259",-,"845,140","867,835","22,695",-,定期性存款及外匯存款,"465,716",-,"50,411",-,"-9,658",-,-,-,-,-,"10,274","775,893","145,755",-,"-67,378",-,"595,119","775,893","180,774",-,國外存款,"111,153",-,"4,980",-,75,-,-,-,-,-,"91,436",-,-,-,"-4,124",-,"203,520",-,-,"203,520",政府存款,-,-,-,-,-,-,"-4,413",-,-,"21,185",-,"-25,595",-,-,-,-3,"-4,413","-4,413",-,-,準備性存款,-,-,-,-,-,-,-,-,-,"26,802","26,802",-,-,-,-,-,"26,802","26,802",-,-,非準備存款,-,-,-,-,-,-,-,-,-,"-180,016","-180,828",-,801,-,11,-,"-180,016","-180,016",-,-,中央銀行單券,-,-,-,-,-,-,-,-,-,"570,520","593,515",-,-,-,"-22,995",-,"570,520","570,520",-,-,中央銀行融通,-,-,-,-,-,-,-,-,"-317,634",-,-,"-317,634",-,-,-,-,"-317,634","-317,634",-,-,金融機構同業往來,-,-,-,-,-,-,-,-,-,-,"-24,162","2,390",-,-,"2,390","-24,162","-21,772","-21,772",-,-,金融機構放款,-,"669,793",-,"313,083",-,"19,292",-,"-33,095",-,-,"847,779","-6,123","-32,656","18,223","39,681","-56,005","854,804","925,168",-,"-70,364",附條件交易,"121,656",-,"55,409","-5,663","2,800",-,264,-,-,"142,194","54,922","78,369","18,077","15,496","-15,866","148,856","237,262","379,252","141,990",-,非金融部門放款,"-8,433","11,404","43,079","129,198",-2,"10,307","24,325",-655,-,-,-,"11,794",-,-,-,"3,598","58,969","165,646","111,126","4,449",短期票券,-974,-,"16,932","-51,293","11,454","-3,965",-,-,-,-,"-78,498",-,"34,129",-,"-15,793","22,798","-32,749","-32,460",289,-,政府債券,"33,019",-,"11,074",-,"3,591",-,-15,"340,326",-,-,"209,269",-,"196,579",-,"-123,986",-,"329,531","340,326","10,795",-,國內公司債,"-40,675",-,"14,438","-8,173",713,"23,976",-,-,-,-,"54,500",-,"36,520",-,"-31,870","22,877","33,626","38,680","5,054",-,金融債券,"-22,046",-,"4,941",-,"1,353",-,-,-,-,-,"9,015","167,825","70,131",-,"104,431",-,"167,825","167,825",-,-,共同基金,"-382,952",-,"141,063",-,"1,520",-,"25,944",-,-,-,"129,793","1,494","-61,327",-,"-31,942","-179,810","-177,900","-178,316",-416,-,上市上櫃公司股權,"62,170",-,"26,984","140,856",-,-,"8,386",-,-,-,"6,323","12,175","4,553",720,"17,512","8,102","125,928","161,853","35,926",-,其他企業權益,"-78,783",-,"-29,836","7,246",-13,"-7,566","-18,717",-,-,-,"-3,204","-27,171",-682,"31,255","-12,861","-6,649","-144,096","-2,885","141,211",-,人壽保險準備,"725,537",-,-,-,-,-,-,-,-,-,-,-,-,"725,537",-,-,"725,537","725,537",-,-,退休基金準備,"74,998",-,-,-,-,-,-,-,-,-,-,-,-,"74,998",-,-,"74,998","74,998",-,-,應收應付款,"146,349","5,410","661,958","842,637","23,107","-10,751",-,-,-,-,-,-,-,-,-,-,"831,414","837,296","-3,409","-9,291",對外直接投資,"29,285",-,"151,706",-,"1,295",-,-,-,-,-,"1,015",-,29,-,"55,470",-,"238,800",-,-,"238,800",國外證券,"391,490",-,"22,110","80,840",46,-,-,-,-,-,"-8,356",-,"282,583",-,"41,495","4,612","729,368","85,452","85,452","729,368",中央銀行準備資產,-,-,-,-,-,-,-,-,"888,859",-,-,-,-,-,-,-,"888,859",-,-,"888,859",其他債權債務淨額,"-110,933",-,"522,935",-,"31,648",-,"136,471",-,"-6,095",-,"-622,529",-,"42,245",-,"-120,954",-,"-127,212",-,"-36,899","-164,111",合計,"2,270,964","686,607","1,832,072","1,448,731","65,325","31,293","172,244","306,577","565,130","652,612","1,129,134","1,541,252","757,318","866,229","-188,030","-55,786","6,604,157","5,477,514","694,587","1,821,230",金融性投資淨額,"1,584,357",-,"383,341",-,"34,032",-,"-134,333",-,"-87,482",-,"-412,118",-,"-108,911",-,"-132,243",-,"1,126,643",-,"-1,126,643",-
2005,,,,,,,,,,,,,,,,,,,,,通貨,"50,223",-,"10,868",-,-228,-,3,-,-,"65,868","5,349",-,-855,-,507,-,"65,868","65,868",-,-,活期性存款,"417,238",-,"83,460",-,"-1,972",-,-,-,-,-,"8,728","539,134","-6,044",-,"17,525",-,"518,936","539,134","20,198",-,定期性存款及外匯存款,"813,111",-,"246,018",-,"5,776",-,-,-,-,-,"9,029","1,120,479","74,758",-,"-90,867",-,"1,057,825","1,120,479","62,654",-,國外存款,"278,459",-,81,-,-8,-,-,-,-,-,"-79,027",-,715,-,"1,211",-,"201,431",-,-,"201,431",政府存款,-,-,-,-,-,-,"6,617",-,-,"25,165",-,"-18,447",-,-,-,-101,"6,617","6,617",-,-,準備性存款,-,-,-,-,-,-,-,-,-,"-25,050","-25,050",-,-,-,-,-,"-25,050","-25,050",-,-,非準備存款,-,-,-,-,-,-,-,-,-,"125,211","124,243",-,"1,082",-,-114,-,"125,211","125,211",-,-,中央銀行單券,-,-,-,-,-,-,-,-,-,"-42,065","-74,030",-,-,-,"31,965",-,"-42,065","-42,065",-,-,中央銀行融通,-,-,-,-,-,-,-,-,"-64,647",-,-,"-64,647",-,-,-,-,"-64,647","-64,647",-,-,金融機構同業往來,-,-,-,-,-,-,-,-,-,-,"31,675","1,981",-,-,"1,981","31,675","33,656","33,656",-,-,金融機構放款,-,"723,881",-,"314,918",-,"44,055",-,"-134,818",-,-,"1,276,839","-2,142","-11,189","22,877","3,241","48,806","1,268,891","1,017,578",-,"251,313",附條件交易,"73,399",-,"59,923",-371,-800,-,"-1,500",-,-,"308,875","-36,711","-54,645","15,282","-11,111","24,156","200,349","133,749","443,097","309,348",-,非金融部門放款,"3,153","-1,584","40,487","20,628",2,"7,629","-6,225",-862,-,-,-,"-19,636",-,-,-,252,"37,418","6,427","-25,211","5,780",短期票券,-856,-,"12,670","-93,623","-27,062",-598,-,-,-,-,"-33,283",-,"-9,919",-,"29,924","65,685","-28,526","-28,536",-10,-,政府債券,"3,334",-,"-1,025",-,"1,200",-,39,"204,018",-,-,"51,627",-,"137,501",-,"20,639",-,"213,314","204,018","-9,296",-,國內公司債,"22,742",-,716,"-71,035",-520,"7,555",-,-,-,-,"97,116",-,"59,531",-,"-204,491","39,809","-24,905","-23,671","1,234",-,金融債券,"55,621",-,862,-,"-1,868",-,-,-,-,-,"68,467","102,141","112,326",-,"-133,266",-,"102,141","102,141",-,-,共同基金,"-86,178",-,"-235,644",-,"-3,703",-,792,-,-,-,"-118,103",108,"-14,888",-,"-30,654","-484,012","-488,378","-483,904","4,474",-,上市上櫃公司股權,"73,857",-,"32,495","151,776",-,-,"10,287",-,-,-,"3,924","24,262","4,384","4,670","16,140","20,927","141,088","201,635","60,547",-,其他企業權益,"131,405",-,"203,026","247,158",134,"17,914","117,760",-,-,-,"16,738","62,630","1,361",-512,"28,085","143,875","498,509","471,065","-27,444",-,人壽保險準備,"830,941",-,-,-,-,-,-,-,-,-,-,-,-,"830,941",-,-,"830,941","830,941",-,-,退休基金準備,"118,495",-,-,-,-,-,-,-,-,-,-,-,-,"118,495",-,-,"118,495","118,495",-,-,應收應付款,"126,218","39,432","652,557","906,820","-13,920","-50,059",-,-,-,-,-,-,-,-,-,-,"764,856","896,194","40,048","-91,290",對外直接投資,"33,817",-,"138,921",-,443,-,-,-,-,-,"9,180",-,-,-,"11,542",-,"193,903",-,-,"193,903",國外證券,"475,107",-,"21,798","-110,537",-,-,-,-,-,-,"113,839",-,"426,845",-,"52,937","-13,188","1,090,526","-123,725","-123,725","1,090,526",中央銀行準備資產,-,-,-,-,-,-,-,-,"645,141",-,-,-,-,-,-,-,"645,141",-,-,"645,141",其他債權債務淨額,"-65,634",-,"-206,485",-,"64,852",-,"29,046",-,"-20,463",-,"-128,000",-,"20,786",-,"3,110",-,"-302,788",-,"107,486","-195,302",合計,"3,354,453","761,729","1,060,729","1,365,733","22,326","26,496","156,819","68,339","560,031","458,004","1,322,551","1,691,218","811,678","965,360","-216,430","54,078","7,072,157","5,390,957","420,302","2,101,502",金融性投資淨額,"2,592,725",-,"-305,004",-,"-4,170",-,"88,480",-,"102,027",-,"-368,668",-,"-153,682",-,"-270,508",-,"1,681,200",-,"-1,681,200",-
2006,,,,,,,,,,,,,,,,,,,,,通貨,"-15,692",-,"30,415",-,552,-,78,-,-,"36,935","8,581",-,101,-,"12,899",-,"36,935","36,935",-,-,活期性存款,"455,517",-,"-112,172",-,"4,423",-,-,-,-,-,"15,399","375,165","12,043",-,"-25,124",-,"350,087","375,165","25,078",-,定期性存款及外匯存款,"669,580",-,"48,798",-,"1,732",-,-,-,-,-,"1,559","938,131","105,307",-,-186,-,"826,791","938,131","111,340",-,國外存款,"-85,567",-,"25,884",-,49,-,-,-,-,-,"40,957",-,-715,-,"4,819",-,"-14,573",-,-,"-14,573",政府存款,-,-,-,-,-,-,"-29,933",-,-,"-17,327",-,"-12,606",-,-,-,-,"-29,933","-29,933",-,-,準備性存款,-,-,-,-,-,-,-,-,-,"88,677","88,677",-,-,-,-,-,"88,677","88,677",-,-,非準備存款,-,-,-,-,-,-,-,-,-,"-54,062","-55,128",-,"1,070",-,-4,-,"-54,062","-54,062",-,-,中央銀行單券,-,-,-,-,-,-,-,-,-,"235,110","239,555",-,-,-,"-4,445",-,"235,110","235,110",-,-,中央銀行融通,-,-,-,-,-,-,-,-,"14,063",-,-,"14,063",-,-,-,-,"14,063","14,063",-,-,金融機構同業往來,-,-,-,-,-,-,-,-,-,-,"-13,367","-8,316",-,-,"-8,316","-13,367","-21,683","-21,683",-,-,金融機構放款,-,"431,392",-,"370,343",-,"23,834",-,"-174,135",-,-,"576,528",-977,"79,051","-70,800","57,405","32,698","712,984","612,355",-,"100,629",附條件交易,"-22,144",-,"17,899","-1,178","-1,250",-,"1,306",-,-,"-110,987","-61,624","28,699","-35,287","-3,985","-38,267","-157,132","-139,366","-244,583","-104,408",809,非金融部門放款,"11,501","-69,186","12,858","44,736",-1,"6,841","-41,857","9,807",-,-,-,"-24,521",-,-,-,"16,016","-17,499","-16,307","4,599","3,407",短期票券,-870,-,"11,606","30,572",911,"-1,935",-,-,-,-,"20,839",-,"-19,916",-,"-41,736","-57,625","-29,166","-28,988",178,-,政府債券,"1,907",-,"-3,757",-,"-2,815",-,"1,549","222,249",-,-,"189,703",-,"84,188",-,"-47,420",-,"223,355","222,249","-1,106",-,國內公司債,"-3,796",-,"5,482","-63,115",-124,"19,418",-,-,-,-,"31,707",-,"31,014",-,"-111,938","3,222","-47,656","-40,475","7,181",-,金融債券,"31,191",-,"9,303",-,"5,662",-,-,-,-,-,"26,911","114,723","124,683",-,"-87,828",-,"109,923","114,723","4,800",-,共同基金,"8,752",-,"11,416",-,"-5,356",-,"3,248",-,-,-,"-32,587","2,821","31,165",-,"-2,503","12,064","14,135","14,885",750,-,上市上櫃公司股權,"99,839",-,"38,851","231,679",-,-,"15,223",-,-,-,"4,863","33,513","8,020",-,"37,102","33,200","203,897","298,392","94,495",-,其他企業權益,"-177,148",-,"-67,640","-143,244",-39,"15,695","-36,274",-,-,-,"-7,194","39,429","-1,777","6,917","-58,123","-46,675","-348,195","-127,878","220,316",-,人壽保險準備,"729,676",-,-,-,-,-,-,-,-,-,-,-,-,"729,676",-,-,"729,676","729,676",-,-,退休基金準備,"204,512",-,-,-,-,-,-,-,-,-,-,-,-,"204,512",-,-,"204,512","204,512",-,-,應收應付款,"-349,040","33,610","182,928","-234,854","-20,950","4,650",-,-,-,-,-,-,-,-,-,-,"-187,062","-196,594",813,"10,345",對外直接投資,"37,823",-,"238,931",-,-547,-,-,-,-,-,"-6,470",-,"2,272",-,"-31,312",-,"240,697",-,-,"240,697",國外證券,"662,921",-,"19,009","-52,333",-,-,-,-,-,-,"50,358",-,"495,563",-,"98,731","13,012","1,326,582","-39,321","-39,321","1,326,582",中央銀行準備資產,-,-,-,-,-,-,-,-,"197,984",-,-,-,-,-,-,-,"197,984",-,-,"197,984",其他債權債務淨額,"37,605",-,"-364,600",-,"50,113",-,"-27,669",-,"2,998",-,"-88,751",-,"139,521",-,"291,619",-,"40,837",-,"-146,854","-106,017",合計,"2,296,570","395,815","105,213","182,606","32,361","68,503","-114,329","57,920","215,045","178,346","1,030,516","1,500,124","1,056,303","866,320","45,372","-164,586","4,667,051","3,085,049","177,860","1,759,863",金融性投資淨額,"1,900,755",-,"-77,393",-,"-36,142",-,"-172,249",-,"36,699",-,"-469,608",-,"189,983",-,"209,959",-,"1,582,003",-,"-1,582,003",-
