期間,合計_原始值,合計_年增率(%),隔夜_原始值,隔夜_年增率(%),1週_原始值,1週_年增率(%),2週_原始值,2週_年增率(%),3週_原始值,3週_年增率(%),1個月_原始值,1個月_年增率(%),2-6個月_原始值,2-6個月_年增率(%),7個月-1年_原始值,7個月-1年_年增率(%)
2005M09,"2,126,308",130.61,"989,670",47.34,"779,211",407.89,"273,936",318.03,"50,666",111.11,"19,145",179.49,"13,680","2,481.13",-,-
2005M10,"1,929,335",204.59,"1,019,647",190.73,"588,877",275.46,"241,346",155.77,"37,595",129.94,"12,780",-5.02,"29,090","1,611.18",-,-
2005M11,"2,217,475",145.00,"1,168,929",88.96,"630,970",281.36,"324,357",245.76,"54,011",311.04,"26,573",103.47,"12,635","1,163.50",-,-
2005M12,"2,372,957",47.82,"1,259,800",-2.83,"680,398",227.37,"340,772",407.18,"50,503",273.54,"27,241",54.17,"14,243",458.55,-,-
2006M01,"1,579,744",19.83,"621,376",-39.61,"412,437",126.57,"351,390",478.25,"133,850",663.11,"40,570",83.61,"20,121",189.09,-,-
2006M02,"1,650,069",88.01,"830,553",32.49,"390,274",160.60,"328,212",339.19,"80,815",802.36,"15,115",-12.62,"5,100",-,-,-
2006M03,"2,580,612",87.49,"1,419,863",74.49,"664,383",111.60,"377,948",124.78,"96,078",108.15,"15,090",-31.94,"7,250",-40.72,-,-
2006M04,"2,345,575",90.76,"1,366,250",89.35,"515,803",109.96,"355,615",95.53,"83,032",86.07,"8,460",-54.02,"16,000",-8.57,415,-
2006M05,"2,305,187",78.27,"1,082,965",50.69,"744,605",122.00,"409,593",112.27,"50,609",81.30,"4,200",-62.16,"12,590",79.60,625,-
2006M06,"2,129,901",35.41,"832,506",8.99,"800,402",57.93,"408,077",80.58,"73,249",17.98,"10,127",13.28,"5,240",-1.13,300,-
2006M07,"1,936,214",23.79,"975,362",22.87,"610,412",42.19,"284,545",16.73,"43,770",-1.20,"8,450",-56.41,"13,375",-60.11,300,-
2006M08,"2,001,135",5.87,"1,009,578",10.62,"626,308",-0.50,"296,682",20.31,"61,805",3.40,"5,052",-77.29,"1,610",-91.26,100,-
2006M09,"1,858,822",-12.58,"856,464",-13.46,"648,098",-16.83,"297,785",8.71,"44,690",-11.79,"9,670",-49.49,"1,915",-86.00,200,-
