期間,資產合計=負債淨值合計_原始值,資產合計=負債淨值合計_年增率(%),資產--放款_原始值,資產--放款_年增率(%),資產--對非金融機構證券投資-政府機關_原始值,資產--對非金融機構證券投資-政府機關_年增率(%),資產--對非金融機構證券投資-公營事業_原始值,資產--對非金融機構證券投資-公營事業_年增率(%),資產--對非金融機構證券投資-民營企業_原始值,資產--對非金融機構證券投資-民營企業_年增率(%),資產--對金融機構證券投資_原始值,資產--對金融機構證券投資_年增率(%),資產--對金融機構債權-中央銀行_原始值,資產--對金融機構債權-中央銀行_年增率(%),資產--對金融機構債權-其他貨幣機構_原始值,資產--對金融機構債權-其他貨幣機構_年增率(%),資產--對金融機構債權-人壽保險公司等_原始值,資產--對金融機構債權-人壽保險公司等_年增率(%),資產--庫存現金_原始值,資產--庫存現金_年增率(%),資產--其他資產_原始值,資產--其他資產_年增率(%),負債與淨值--企業及個人存款-計_原始值,負債與淨值--企業及個人存款-計_年增率(%),負債與淨值--企業及個人存款-支票存款_原始值,負債與淨值--企業及個人存款-支票存款_年增率(%),負債與淨值--企業及個人存款-活期存款_原始值,負債與淨值--企業及個人存款-活期存款_年增率(%),負債與淨值--企業及個人存款-活期儲蓄存款_原始值,負債與淨值--企業及個人存款-活期儲蓄存款_年增率(%),負債與淨值--企業及個人存款-定期存款_原始值,負債與淨值--企業及個人存款-定期存款_年增率(%),負債與淨值--企業及個人存款-定期儲蓄存款_原始值,負債與淨值--企業及個人存款-定期儲蓄存款_年增率(%),負債與淨值--政府存款_原始值,負債與淨值--政府存款_年增率(%),負債與淨值--對金融機構負債-其他貨幣機構_原始值,負債與淨值--對金融機構負債-其他貨幣機構_年增率(%),負債與淨值--對金融機構負債-人壽保險公司等_原始值,負債與淨值--對金融機構負債-人壽保險公司等_年增率(%),負債與淨值--其他負債_原始值,負債與淨值--其他負債_年增率(%),負債與淨值--淨值_原始值,負債與淨值--淨值_年增率(%)
1997M08,"1,694,567",-9.20,"912,358",-5.89,"15,963",-28.34,"2,747",85.23,"23,472",-0.92,"3,211",-66.05,"59,052",-9.85,"487,289",-10.19,-,-,"18,995",-10.42,"171,480",-18.53,"1,464,836",-9.88,"21,687",7.08,"71,285",-0.56,"237,484",2.29,"281,705",-26.54,"852,675",-7.11,78,--,"37,109",--,-,-,"85,117",-38.73,"107,427",5.56
1997M09,"1,429,088",-23.14,"781,087",-19.21,"7,817",-71.97,"2,432",170.22,"17,734",-25.86,"2,648",-61.58,"49,820",-22.44,"418,474",-22.18,-,-,"19,316",-15.80,"129,760",-37.61,"1,266,061",-21.83,"15,816",-27.15,"59,215",-16.69,"192,486",-16.72,"252,785",-32.51,"745,759",-19.04,73,--,"19,431",--,-,-,"55,645",-59.26,"87,878",-14.76
1997M10,"1,400,258",-25.14,"758,764",-20.98,"9,065",-61.80,"1,825",61.65,"24,587",-6.12,"3,028",-73.51,"48,401",-22.91,"403,131",-26.47,-,-,"16,070",-24.34,"135,387",-37.19,"1,244,606",-23.52,"16,465",-30.65,"57,329",-20.03,"191,008",-18.93,"258,982",-28.83,"720,822",-22.69,74,--,"4,756",--,-,-,"63,283",-54.33,"87,539",-16.38
1997M11,"1,396,914",-24.77,"757,323",-20.85,"9,931",-57.84,"1,680",168.80,"30,055",-0.18,"2,846",-70.09,"45,047",-28.19,"399,272",-26.40,-,-,"15,551",-28.01,"135,209",-35.41,"1,241,576",-23.28,"15,793",-18.37,"57,887",-19.16,"192,919",-18.84,"268,007",-24.08,"706,970",-24.53,74,--,"2,915",--,-,-,"63,198",-51.47,"89,151",-17.56
1997M12,"1,334,437",-28.08,"739,606",-23.16,"7,761",-65.59,"1,618",-16.43,"21,215",-4.77,"2,664",-63.45,"43,614",-30.34,"381,525",-30.26,-,-,"16,056",-25.00,"120,378",-42.08,"1,194,852",-26.35,"14,382",-29.29,"57,469",-24.83,"184,938",-24.47,"286,464",-15.54,"651,599",-30.79,74,--,"7,122",--,-,-,"50,384",-60.51,"82,005",-22.40
1998M01,"1,284,153",-27.00,"705,803",-22.61,"8,149",-55.44,"1,455",-29.61,"22,518",-10.75,"2,097",-69.68,"42,068",-26.42,"359,001",-32.32,-,-,"18,189",-53.87,"124,873",-25.47,"1,135,800",-27.33,"15,394",-24.82,"48,923",-31.69,"173,037",-28.41,"299,241",-6.06,"599,205",-34.20,75,15.38,"10,934",123.64,-,-,"56,863",-36.57,"80,481",-20.65
1998M02,"1,296,673",-28.66,"700,745",-22.80,"10,908",-52.81,"1,760",-34.89,"33,092",-10.85,"3,158",-68.94,"42,534",-44.93,"364,083",-30.23,-,-,"15,625",-28.55,"124,768",-42.20,"1,156,533",-26.08,"15,504",-18.15,"54,090",-25.75,"179,923",-26.32,"345,563",9.69,"561,453",-38.54,74,13.85,"2,413",-85.33,-,-,"57,599",-57.80,"80,054",-19.96
1998M03,"1,284,082",-26.41,"698,933",-22.96,"8,173",-60.86,"2,245",-11.54,"29,902",10.81,"2,312",-64.28,"41,483",-46.06,"366,322",-29.13,-,-,"16,031",-26.76,"118,681",-28.15,"1,146,358",-26.25,"13,887",-26.45,"51,914",-28.56,"175,607",-27.95,"375,762",21.93,"529,188",-41.91,74,-2.63,"5,560",48.42,-,-,"52,668",-39.28,"79,422",-20.52
1998M04,"1,255,682",-27.60,"684,623",-24.78,"8,146",-57.38,"1,768",-20.97,"23,158",-3.11,"2,800",-51.15,"41,250",-46.95,"358,057",-30.27,-,-,"15,687",-24.28,"120,193",-25.42,"1,116,626",-27.36,"13,393",-29.30,"49,658",-32.04,"170,217",-29.34,"380,213",25.91,"503,145",-44.24,74,-2.63,"5,992",-50.86,-,-,"54,879",-34.55,"78,111",-22.61
1998M05,"1,244,313",-27.39,"676,574",-25.18,"8,197",-56.60,"1,692",-42.72,"22,061",4.33,"2,619",-56.14,"40,620",-33.17,"352,227",-32.43,-,-,"14,417",-27.83,"125,906",-20.55,"1,100,439",-27.87,"14,570",-19.80,"48,231",-32.69,"168,738",-29.30,"376,746",26.41,"492,154",-45.26,74,-3.90,"5,558",-13.06,-,-,"60,037",-24.16,"78,205",-23.71
