期間,新臺幣_原始值,新臺幣_年增率(%),日圓_原始值,日圓_年增率(%),馬克_原始值,馬克_年增率(%),英鎊_原始值,英鎊_年增率(%),法國法郎_原始值,法國法郎_年增率(%),港幣_原始值,港幣_年增率(%),韓元_原始值,韓元_年增率(%),加拿大幣_原始值,加拿大幣_年增率(%),新加坡元_原始值,新加坡元_年增率(%),人民幣_原始值,人民幣_年增率(%),澳幣_原始值,澳幣_年增率(%),印尼盾_原始值,印尼盾_年增率(%),荷蘭幣_原始值,荷蘭幣_年增率(%),泰銖_原始值,泰銖_年增率(%),馬來西亞幣_原始值,馬來西亞幣_年增率(%),菲律賓披索_原始值,菲律賓披索_年增率(%),歐元_原始值,歐元_年增率(%)
1973M09,38.0000,5.26,265.4900,13.41,2.4236,31.72,0.4131,-0.82,4.2615,17.47,5.1150,10.64,397.8200,0.24,1.0081,-2.50,2.3396,18.61,1.9213,15.41,0.6805,23.38,415.0000,0.00,2.5970,24.30,20.3751,2.09,2.3112,22.00,6.7392,0.60,-,--
1973M10,38.0000,5.26,266.3300,13.06,2.4126,32.91,0.4119,1.34,4.2162,19.15,5.0760,11.33,397.2600,0.33,1.0009,-1.83,2.3287,18.95,1.9113,16.02,0.6723,24.93,415.0000,0.00,2.4980,29.66,20.3751,2.09,2.2834,23.48,6.7396,0.62,-,--
1973M11,38.0000,5.26,277.8100,8.38,2.5794,24.22,0.4184,1.62,4.4078,14.36,5.0790,11.40,397.0400,0.41,0.9988,-2.06,2.4382,13.61,1.9701,13.05,0.6723,24.91,415.0000,0.00,2.6830,20.39,20.3751,2.09,2.3898,17.98,6.7382,0.63,-,--
1973M12,38.0000,5.26,280.0000,7.58,2.6549,20.46,0.4312,-1.11,4.5962,10.68,5.0780,12.47,397.1600,0.43,0.9994,-0.27,2.4458,14.28,2.0052,11.71,0.6723,23.20,415.0000,0.00,2.8070,15.03,20.3751,2.09,2.3886,18.04,6.7353,0.67,-,--
1974M01,38.0000,5.26,298.6400,1.11,2.8104,13.77,0.4496,-5.60,5.0239,1.19,5.0960,11.36,397.7800,0.27,0.9914,0.78,2.5149,11.54,2.0358,10.04,0.6723,16.67,415.0000,0.00,2.9363,9.63,20.3751,2.09,2.4968,12.93,6.7310,0.75,-,--
1974M02,38.0000,0.00,291.2400,-4.17,2.7141,10.91,0.4396,-6.22,4.9537,-3.81,5.0700,1.28,398.2800,0.16,0.9767,1.92,2.4765,7.61,2.0186,5.49,0.6723,8.94,415.0000,0.00,2.8267,6.94,20.3751,2.09,2.4703,6.32,6.7189,0.85,-,--
1974M03,38.0000,0.00,282.5800,-6.13,2.6213,7.84,0.4275,-5.57,4.8211,-6.53,5.0610,1.17,398.6500,0.06,0.9720,2.53,2.4606,2.21,1.9904,-0.02,0.6723,5.00,415.0000,0.00,2.7529,5.45,20.3751,2.09,2.4259,3.08,6.7234,0.72,-,--
1974M04,38.0000,0.00,277.7800,-4.41,2.5231,12.43,0.4188,-3.83,4.8683,-6.46,5.0710,1.54,398.9600,-0.01,0.9673,3.44,2.4222,2.80,1.9550,2.63,0.6723,5.00,415.0000,0.00,2.6756,10.22,20.3751,2.71,2.3835,4.34,6.7218,0.66,-,--
1974M05,38.0000,0.00,278.9300,-5.09,2.4588,13.58,0.4143,-4.62,4.8685,-8.06,5.0550,1.66,399.0000,-0.03,0.9621,3.99,2.4063,3.48,1.9011,4.32,0.6723,5.00,415.0000,0.00,2.5970,11.65,20.3751,2.71,2.3746,4.71,6.7176,0.68,-,--
1974M06,38.0000,0.00,283.0500,-6.48,2.5258,2.09,0.4184,-7.22,4.9000,-13.05,5.0500,0.08,399.0000,-0.04,0.9664,3.30,2.4406,-3.34,1.9395,-1.19,0.6723,5.00,415.0000,0.00,2.6491,3.02,20.3751,2.71,2.4049,1.73,6.7157,0.65,-,--
