期間,噸數(千公噸)-合計_原始值,噸數(千公噸)-合計_年增率(%),延噸公里(千噸公里)-合計_原始值,延噸公里(千噸公里)-合計_年增率(%),平均每噸貨物運距(公里)-合計_原始值,平均每噸貨物運距(公里)-合計_年增率(%),噸數(千公噸)-台鐵_原始值,噸數(千公噸)-台鐵_年增率(%),延噸公里(千噸公里)-台鐵_原始值,延噸公里(千噸公里)-台鐵_年增率(%),平均每噸貨物運距(公里)-台鐵_原始值,平均每噸貨物運距(公里)-台鐵_年增率(%),貨運收入(千元)-台鐵_原始值,貨運收入(千元)-台鐵_年增率(%),噸數(千公噸)-生產事業機構_原始值,噸數(千公噸)-生產事業機構_年增率(%),延噸公里(千噸公里)-生產事業機構_原始值,延噸公里(千噸公里)-生產事業機構_年增率(%)
2007M09,"1,437",-11.74,"75,088",-11.20,52.3,0.62,947,-15.20,"74,610",-11.23,78.8,4.69,"85,826",-12.56,490,-4.18,478,-5.93
2007M10,"1,216",-31.46,"67,486",-25.93,55.5,8.06,837,-30.51,"67,091",-25.90,80.1,6.64,"75,850",-28.16,379,-33.46,395,-30.68
2007M11,"1,397",-2.82,"73,528",-4.57,52.6,-1.80,929,-6.56,"73,024",-4.64,78.6,2.05,"82,607",-7.97,469,5.55,504,8.32
2007M12,"1,663",40.62,"84,527",18.18,50.8,-15.96,"1,089",30.46,"83,710",18.33,76.9,-9.30,"94,142",14.08,573,65.02,817,5.07
2008M01,"1,722",13.04,"85,497",10.41,49.6,-2.33,"1,101",7.89,"84,143",10.29,76.4,2.23,"94,988",4.80,621,23.51,"1,354",18.08
2008M02,"1,053",-8.18,"53,817",-5.30,51.1,3.14,694,-10.33,"52,829",-5.52,76.2,5.36,"61,286",-8.69,359,-3.74,988,8.34
2008M03,"1,491",-4.01,"80,112",2.47,53.7,6.75,972,-2.93,"78,899",2.55,81.2,5.65,"89,513",0.04,519,-5.97,"1,212",-2.62
2008M04,"1,383",-4.95,"79,292",8.73,57.4,14.40,954,-1.76,"78,868",8.87,82.7,10.81,"79,689",-5.18,429,-11.37,424,-11.20
2008M05,"1,366",-15.87,"82,978",2.28,60.7,21.57,946,-9.57,"82,548",2.44,87.3,13.27,"101,494",9.35,420,-27.27,431,-21.27
2008M06,"1,255",-17.05,"73,857",4.68,58.8,26.19,854,-10.25,"73,451",4.87,86.0,16.84,"82,538",3.41,401,-28.57,406,-21.26
2008M07,"1,352",-16.41,"80,177",-0.13,59.3,19.47,913,-12.75,"79,752",0.01,87.3,14.63,"89,232",-1.50,439,-23.10,425,-20.63
2008M08,"1,451",17.74,"84,025",17.08,57.9,-0.56,968,18.28,"83,584",17.16,86.4,-0.95,"94,294",16.09,483,16.68,441,3.61
2008M09,"1,233",-14.17,"72,604",-3.31,58.9,12.65,839,-11.44,"72,209",-3.22,86.1,9.28,"81,458",-5.09,395,-19.44,395,-17.40
2008M10,"1,359",11.75,"82,574",22.36,60.8,9.50,936,11.79,"82,150",22.44,87.8,9.53,"94,062",24.01,423,11.65,425,7.61
2008M11,"1,392",-0.39,"76,752",4.38,55.1,4.80,939,1.12,"76,327",4.52,81.3,3.37,"69,741",-15.57,453,-3.39,425,-15.64
2008M12,"1,526",-8.23,"81,656",-3.40,53.5,5.26,990,-9.06,"80,530",-3.80,81.3,5.78,"108,748",15.51,535,-6.65,"1,125",37.79
2009M01,974,-43.46,"48,329",-43.47,49.6,-0.03,685,-37.77,"47,596",-43.43,69.4,-9.10,"55,431",-41.64,288,-53.54,733,-45.89
2009M02,"1,213",15.21,"53,944",0.24,44.5,-12.99,657,-5.33,"53,020",0.36,80.8,6.01,"58,986",-3.75,556,54.87,924,-6.47
2009M03,"1,243",-16.69,"60,991",-23.87,49.1,-8.62,803,-17.41,"60,100",-23.83,74.9,-7.77,"68,089",-23.93,440,-15.33,891,-26.52
2009M04,"1,137",-17.73,"63,193",-20.30,55.6,-3.13,802,-15.94,"62,918",-20.22,78.5,-5.10,"71,706",-10.02,336,-21.71,275,-35.12
2009M05,"1,098",-19.68,"60,392",-27.22,55.0,-9.39,792,-16.33,"60,130",-27.16,76.0,-12.94,"68,834",-32.18,306,-27.21,262,-39.13
2009M06,"1,134",-9.67,"63,600",-13.89,56.1,-4.66,811,-5.06,"63,129",-14.05,77.8,-9.48,"72,248",-12.47,323,-19.51,472,16.13
2009M07,"1,223",-9.59,"71,589",-10.71,58.6,-1.24,840,-7.98,"71,211",-10.71,84.7,-2.96,"82,072",-8.02,382,-12.94,379,-10.89
2009M08,"1,277",-11.97,"67,154",-20.08,52.6,-9.21,859,-11.28,"66,751",-20.14,77.7,-9.99,"78,124",-17.15,418,-13.36,403,-8.65
2009M09,"1,311",6.32,"72,381",-0.31,55.2,-6.23,887,5.82,"71,982",-0.31,81.1,-5.80,"84,089",3.23,424,7.37,399,1.19
2009M10,948,-30.20,"62,243",-24.62,65.6,8.00,651,-30.45,"61,932",-24.61,95.1,8.40,"71,090",-24.42,297,-29.66,312,-26.63
2009M11,"1,306",-6.18,"74,445",-3.01,57.0,3.38,899,-4.24,"74,052",-2.98,82.4,1.31,"86,271",23.70,407,-10.20,393,-7.55
2009M12,"1,282",-16.00,"77,761",-4.77,60.7,13.37,892,-9.97,"77,049",-4.32,86.4,6.27,"89,389",-17.80,390,-27.15,712,-36.74
2010M01,"1,477",51.71,"79,746",65.01,54.0,8.77,973,41.98,"78,874",65.71,81.0,16.71,"91,848",65.70,504,74.82,873,19.11
2010M02,"1,122",-7.44,"58,146",7.79,51.8,16.46,744,13.33,"57,481",8.41,77.2,-4.34,"67,177",13.88,378,-31.98,665,-28.09
2010M03,"1,353",8.87,"81,953",34.37,60.6,23.42,921,14.68,"81,053",34.86,88.0,17.60,"94,019",38.08,432,-1.74,900,1.03
2010M04,"1,440",26.63,"72,831",15.25,50.6,-8.98,902,12.48,"72,107",14.61,79.9,1.89,"83,681",16.70,538,60.44,724,163.29
2010M05,"1,266",15.32,"74,770",23.81,59.1,7.36,898,13.50,"74,394",23.72,82.8,9.01,"88,111",28.01,367,20.02,376,43.46
2010M06,"1,255",10.67,"73,344",15.32,58.5,4.20,865,6.64,"72,970",15.59,84.4,8.40,"83,346",15.36,390,20.80,373,-20.85
2010M07,"1,225",0.19,"75,066",4.86,61.3,4.66,854,1.58,"74,704",4.91,87.5,3.27,"84,333",2.76,371,-2.88,362,-4.48
