期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),國庫券_原始值,國庫券_年增率(%),國庫券_原始值,國庫券_年增率(%),國庫券_原始值,國庫券_年增率(%),商業本票_原始值,商業本票_年增率(%),商業本票_原始值,商業本票_年增率(%),商業本票_原始值,商業本票_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),銀行承兌匯票_原始值,銀行承兌匯票_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%),可轉讓定期存單_原始值,可轉讓定期存單_年增率(%)
2001M05,"816,332",5.07,"869,342",3.43,"1,716,224",-16.08,"15,000",--,0,-100.00,"35,000",-68.18,"727,972",3.80,"770,645",3.95,"1,266,520",-19.52,"3,385",-15.86,"3,546",-20.85,"8,736",-27.91,"69,975",-2.29,"95,151",47.22,"405,968",16.20
2001M06,"832,468",-4.03,"845,017",-9.62,"1,703,675",-13.85,0,-100.00,0,-100.00,"35,000",-65.00,"726,405",-2.29,"783,950",-4.89,"1,208,974",-19.02,"2,519",-37.09,"2,613",-40.96,"8,642",-26.11,"103,544",3.61,"58,454",-23.38,"451,059",20.92
2001M07,"810,399",-6.49,"818,719",-10.01,"1,695,354",-12.36,0,--,0,-100.00,"35,000",-50.00,"750,598",-3.07,"730,623",-7.49,"1,228,949",-16.82,"2,439",-38.73,"2,819",-34.75,"8,262",-27.25,"57,362",-35.03,"85,277",-0.49,"423,143",12.65
2001M08,"879,947",-3.32,"908,714",0.70,"1,666,587",-14.19,0,--,"20,000",-33.33,"15,000",-62.50,"822,462",3.57,"823,449",4.06,"1,227,962",-17.04,"3,364",-15.90,"3,703",-15.19,"7,923",-27.91,"54,121",-51.67,"61,562",-19.73,"415,702",1.17
2001M09,"821,937",-6.96,"879,800",-8.58,"1,608,724",-13.66,0,--,0,-100.00,"15,000",-25.00,"769,614",-2.20,"815,634",-2.58,"1,181,942",-17.34,"2,346",-32.47,"2,527",-32.45,"7,742",-27.81,"49,977",-46.28,"61,639",-39.20,"404,040",0.37
2001M10,"939,419",4.98,"938,875",-1.54,"1,609,269",-10.82,"20,000",-20.00,0,--,"35,000",-22.22,"852,255",16.96,"838,949",1.99,"1,195,248",-10.54,"3,176",-14.49,"3,290",-20.65,"7,628",-25.89,"63,988",-53.45,"96,636",-23.84,"371,393",-10.10
2001M11,"855,099",-6.14,"907,895",0.96,"1,556,473",-14.30,0,--,"15,000",--,"20,000",-55.56,"811,130",4.73,"827,827",3.77,"1,178,551",-10.22,"2,997",-22.46,"2,877",-22.07,"7,748",-25.97,"40,972",-69.11,"62,191",-36.43,"350,174",-21.83
2001M12,"854,664",-8.38,"923,379",-2.19,"1,487,757",-17.58,"30,000",--,0,--,"50,000",11.11,"775,321",0.76,"851,460",3.09,"1,102,411",-12.25,"3,590",-2.55,"3,059",-22.32,"8,279",-18.92,"45,753",-71.36,"68,860",-39.67,"327,067",-33.73
2002M01,"852,166",30.44,"768,369",23.72,"1,571,556",-14.46,0,--,0,--,"50,000",11.11,"800,946",46.33,"713,849",35.38,"1,189,509",-6.80,"3,314",18.70,"3,469",-13.73,"8,124",-9.55,"47,906",-53.56,"51,051",-43.12,"323,923",-36.10
2002M02,"522,864",-28.20,"518,713",-25.39,"1,575,707",-15.75,0,--,0,-100.00,"50,000",100.00,"477,014",-25.49,"469,480",-21.82,"1,197,043",-9.04,"2,945",-5.79,"2,952",1.37,"8,117",-11.73,"42,905",-49.46,"46,281",-35.50,"320,547",-38.36
