期間,雇主_原始值,雇主_年增率(%),雇主_原始值,雇主_年增率(%),雇主_原始值,雇主_年增率(%),自營作業者_原始值,自營作業者_年增率(%),自營作業者_原始值,自營作業者_年增率(%),自營作業者_原始值,自營作業者_年增率(%),無酬家屬工作者_原始值,無酬家屬工作者_年增率(%),無酬家屬工作者_原始值,無酬家屬工作者_年增率(%),無酬家屬工作者_原始值,無酬家屬工作者_年增率(%),受私人雇用者_原始值,受私人雇用者_年增率(%),受私人雇用者_原始值,受私人雇用者_年增率(%),受私人雇用者_原始值,受私人雇用者_年增率(%),受政府雇用者_原始值,受政府雇用者_年增率(%),受政府雇用者_原始值,受政府雇用者_年增率(%),受政府雇用者_原始值,受政府雇用者_年增率(%)
2005M04,499,-2.00,413,-2.45,86,0.24,"1,442",-0.88,"1,101",-1.27,341,0.39,670,-2.37,170,-3.85,500,-1.85,"6,329",4.18,"3,526",4.28,"2,803",4.05,959,-4.71,539,-4.21,419,-5.34
2005M05,502,-2.13,417,-1.64,85,-4.43,"1,445",-0.48,"1,101",-0.83,344,0.68,668,-2.32,164,4.90,505,-4.45,"6,349",3.88,"3,545",3.58,"2,804",4.27,954,-4.90,526,-5.50,428,-4.16
2005M06,500,-2.75,410,-3.17,90,-0.78,"1,442",-0.85,"1,098",-2.48,343,4.76,664,-3.21,149,-7.23,516,-1.99,"6,358",3.56,"3,580",4.40,"2,777",2.50,956,-4.11,510,-4.88,447,-3.22
2005M07,500,-2.77,399,-6.35,101,14.44,"1,438",-1.47,"1,104",-2.21,333,1.09,667,-3.23,164,-4.06,503,-2.95,"6,378",3.24,"3,571",4.13,"2,808",2.13,958,-3.02,513,-4.10,445,-1.75
2005M08,499,-2.75,413,-3.48,87,0.92,"1,435",-1.78,"1,104",-1.80,331,-1.70,666,-2.90,175,-1.29,491,-3.46,"6,414",3.47,"3,561",3.28,"2,853",3.72,957,-1.97,507,-4.74,451,1.34
2005M09,506,-0.75,429,1.14,77,-10.13,"1,433",-1.10,"1,103",-2.37,330,3.41,663,-2.18,173,-2.54,491,-2.05,"6,396",3.55,"3,553",3.52,"2,843",3.57,952,-2.24,507,-4.03,446,-0.12
2005M10,511,-0.33,419,0.81,92,-5.20,"1,435",-1.49,"1,104",-2.68,331,2.73,662,-2.88,164,-7.60,498,-1.22,"6,426",3.51,"3,566",2.85,"2,860",4.35,958,-1.89,518,-1.47,440,-2.38
2005M11,509,-0.39,417,-0.30,92,-0.82,"1,432",-1.91,"1,082",-3.86,350,4.66,658,-2.90,162,-3.12,496,-2.83,"6,457",3.45,"3,599",2.86,"2,859",4.20,967,-1.19,515,-1.19,452,-1.18
2005M12,506,0.06,419,-0.23,87,1.50,"1,428",-1.61,"1,063",-5.86,366,13.25,653,-3.11,150,-8.14,504,-1.51,"6,486",3.39,"3,636",4.18,"2,850",2.40,963,-1.93,509,-2.02,454,-1.82
2006M01,503,-0.09,415,-1.48,89,6.98,"1,425",-1.55,"1,087",-4.48,338,9.21,651,-4.08,145,-10.10,506,-2.20,"6,507",3.38,"3,641",4.15,"2,867",2.43,951,-2.56,501,-2.77,450,-2.32
