期間,新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),新台幣計價(億元)_原始值,新台幣計價(億元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%),美金計價(百萬美元)_原始值,美金計價(百萬美元)_年增率(%)
1991M08,"1,706",12.16,623,5.41,223,33.53,269,16.96,201,5.24,39,-26.42,"6,394",14.59,"2,333",7.46,835,36.22,"1,014",20.14,754,7.71,144,-25.39
1991M09,"1,676",10.26,612,7.75,244,42.69,264,-1.12,201,5.24,38,-11.63,"6,315",13.23,"2,307",10.75,919,46.57,995,1.53,758,8.29,143,-10.06
1991M10,"1,671",2.58,621,12.09,228,30.29,272,-6.85,210,-5.41,33,-29.79,"6,336",5.97,"2,356",15.77,864,34.37,"1,036",-3.54,796,-2.33,127,-26.16
1991M11,"1,670",3.47,618,20.00,223,37.65,287,0.00,206,-10.43,35,-28.57,"6,434",8.40,"2,379",25.54,859,44.37,"1,105",4.44,792,-6.27,135,-25.00
1991M12,"1,639",8.90,583,9.18,222,47.02,302,7.47,203,-1.46,40,-13.04,"6,379",14.91,"2,268",15.24,863,54.94,"1,180",13.68,791,3.94,156,-7.69
1992M01,"1,620",2.86,566,10.12,219,23.73,266,-5.67,233,0.00,36,-30.77,"6,438",10.85,"2,247",18.51,871,33.18,"1,055",1.54,927,8.04,144,-25.39
1992M02,"1,361",-6.84,491,6.97,160,16.79,252,-21.50,177,-9.69,31,-31.11,"5,451",1.08,"1,968",16.04,641,26.93,"1,008",-15.01,709,-2.07,123,-25.45
1992M03,"1,721",-1.26,569,3.64,216,16.13,325,5.18,230,-10.16,53,0.00,"6,795",5.93,"2,245",11.30,852,24.93,"1,281",12.76,907,-3.82,211,8.76
1992M04,"1,817",6.69,616,8.07,231,14.36,292,-10.15,247,16.51,54,-3.57,"7,188",14.89,"2,440",16.80,914,23.35,"1,157",-2.85,979,26.16,215,4.37
1992M05,"1,735",-2.64,602,0.50,230,-13.53,274,-0.72,212,-8.23,51,-7.27,"6,936",6.05,"2,410",9.70,922,-5.63,"1,092",7.59,849,0.00,204,0.49
