期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),金屬、機械加工類_原始值,金屬、機械加工類_年增率(%),金屬、機械加工類_原始值,金屬、機械加工類_年增率(%),焊接、配管類_原始值,焊接、配管類_年增率(%),焊接、配管類_原始值,焊接、配管類_年增率(%),電機、電匠類_原始值,電機、電匠類_年增率(%),電機、電匠類_原始值,電機、電匠類_年增率(%),電子、儀表類_原始值,電子、儀表類_年增率(%),電子、儀表類_原始值,電子、儀表類_年增率(%),營建、土木類_原始值,營建、土木類_年增率(%),營建、土木類_原始值,營建、土木類_年增率(%),紡織、服飾類_原始值,紡織、服飾類_年增率(%),紡織、服飾類_原始值,紡織、服飾類_年增率(%),印刷、製版類_原始值,印刷、製版類_年增率(%),印刷、製版類_原始值,印刷、製版類_年增率(%),電腦設計類_原始值,電腦設計類_年增率(%),電腦設計類_原始值,電腦設計類_年增率(%),美容、美髮及其他服務類_原始值,美容、美髮及其他服務類_年增率(%),美容、美髮及其他服務類_原始值,美容、美髮及其他服務類_年增率(%),其他技工類_原始值,其他技工類_年增率(%),其他技工類_原始值,其他技工類_年增率(%),漁業人員_原始值,漁業人員_年增率(%),漁業人員_原始值,漁業人員_年增率(%)
2001M05,"1,392",9.35,"1,482",-13.03,332,-1.19,457,5.30,54,315.38,22,-43.59,106,-24.82,20,-31.03,67,191.30,24,-68.83,0,--,50,117.39,11,--,0,--,0,-100.00,0,--,338,16.15,390,24.60,189,68.75,219,-30.48,209,-12.18,201,-44.78,86,-13.13,99,-10.00
2001M06,"2,436",154.81,"4,552",-2.82,303,55.38,"1,581",8.73,36,--,196,-17.99,114,--,519,-18.52,79,-12.22,385,3.77,14,-84.44,302,-3.51,593,--,56,47.37,24,--,28,-61.11,495,223.53,711,-8.49,429,410.71,306,-41.15,217,-21.38,383,75.69,132,94.12,85,88.89
2001M07,"5,625",2.31,"2,780",-10.35,"1,540",9.45,698,3.10,235,12.44,35,59.09,818,39.35,370,2.21,440,5.77,299,-9.39,523,65.51,90,-44.10,142,67.06,128,-2.29,69,38.00,80,33.33,867,-12.42,433,-29.13,590,1.55,419,61.78,375,-50.59,133,-70.25,26,-73.47,95,131.71
2001M08,"4,117",21.52,"3,419",25.93,"1,126",49.34,"1,028",55.52,111,208.33,132,69.23,358,-26.79,467,5.90,341,-13.45,222,-29.75,197,47.01,281,0.00,116,-7.94,0,-100.00,60,-1.64,0,--,696,15.61,584,93.38,463,-1.70,267,25.94,542,254.25,408,65.18,107,-36.31,30,-79.59
2001M09,"3,788",26.69,"3,219",70.77,863,6.02,390,23.03,55,-44.44,33,-54.17,495,0.61,192,214.75,333,39.92,155,162.71,124,-35.42,28,-6.67,80,--,524,"2,083.33",20,--,44,--,958,207.05,529,68.47,560,91.13,574,143.22,212,-39.26,605,2.02,88,-56.22,145,-18.99
2001M10,"3,763",52.47,"2,825",22.72,606,62.03,616,27.80,96,65.52,115,248.48,305,254.65,257,10.30,173,-1.70,189,-2.58,26,52.94,109,62.69,644,24.56,41,--,20,--,0,--,724,108.05,607,103.69,726,46.96,431,49.13,396,45.05,390,-21.05,47,-62.40,70,-66.98
2001M11,"2,033",115.82,"2,349",65.66,335,87.15,377,74.54,27,-12.90,24,-17.24,171,78.12,125,123.21,138,345.16,122,11.93,15,150.00,78,59.18,23,--,50,150.00,0,--,20,--,438,117.91,740,126.30,477,--,444,161.18,315,16.67,323,-13.87,94,-26.56,46,-31.34
2001M12,769,1.05,"6,358",44.37,87,8.75,"1,180",33.64,0,-100.00,210,85.84,20,--,743,30.35,65,--,380,104.30,0,-100.00,189,3.28,0,-100.00,716,21.77,0,--,99,102.04,93,25.68,"1,198",53.20,239,29.19,"1,237",81.91,178,-12.75,289,17.96,87,12.99,117,-6.40
2002M01,"3,815",-7.34,"1,629",8.53,634,-30.10,263,20.09,119,-4.80,0,-100.00,449,-13.15,203,-10.96,164,-34.14,221,41.67,149,-37.13,22,-35.29,689,12.77,103,-14.17,50,0.00,29,-51.67,434,-23.73,234,-4.49,880,25.71,413,50.73,210,740.00,99,--,37,-70.87,42,-72.00
2002M02,"2,029",-31.13,515,-26.11,374,-59.91,46,-80.59,22,-80.18,13,-89.68,341,33.73,42,110.00,300,19.52,49,122.73,80,-41.18,0,--,83,-17.82,0,--,79,31.67,0,--,429,-25.13,212,13.37,274,-33.82,60,7.14,30,-61.04,56,--,17,-51.43,37,-24.49
2002M03,"3,352",71.20,"1,301",-21.01,813,103.25,384,1.05,118,35.63,53,-24.29,231,45.28,25,-73.96,456,870.21,129,174.47,160,--,25,-21.88,34,209.09,14,--,0,--,0,--,648,57.66,210,-51.95,345,70.79,116,-47.27,494,-19.41,314,0.96,53,89.29,31,-42.59
2002M04,"1,887",19.35,"1,820",-27.58,285,-36.10,429,-14.54,87,148.57,36,--,97,-1.02,145,-38.82,343,390.00,331,85.96,0,-100.00,60,-60.00,8,-20.00,10,-97.93,0,--,20,--,374,-11.79,394,20.12,440,195.30,225,-40.79,189,11.18,86,-66.14,64,0.00,84,--
2002M05,"2,971",113.43,"3,476",134.55,520,56.63,442,-3.28,67,24.07,89,304.55,174,64.15,221,"1,005.00",357,432.84,123,412.50,22,--,0,-100.00,20,81.82,512,--,0,--,0,--,572,69.23,544,39.49,604,219.58,875,299.54,470,124.88,531,164.18,165,91.86,139,40.40
2002M06,"3,176",30.38,"5,201",14.26,399,31.68,"1,520",-3.86,37,2.78,133,-32.14,133,16.67,586,12.91,223,182.28,570,48.05,31,121.43,315,4.30,515,-13.15,35,-37.50,0,-100.00,31,10.71,484,-2.22,631,-11.25,704,64.10,688,124.84,482,122.12,574,49.87,168,27.27,118,38.82
2002M07,"5,139",-8.64,"4,732",70.22,"1,215",-21.10,848,21.49,154,-34.47,121,245.71,527,-35.57,468,26.49,565,28.41,668,123.41,199,-61.95,133,47.78,92,-35.21,143,11.72,75,8.70,75,-6.25,787,-9.23,733,69.28,"1,085",83.90,"1,018",142.96,325,-13.33,369,177.44,115,342.31,156,64.21
2002M08,"6,317",53.44,"5,175",51.36,"1,219",8.26,574,-44.16,99,-10.81,57,-56.82,410,14.53,375,-19.70,765,124.34,603,171.62,211,7.11,95,-66.19,108,-6.90,467,--,60,0.00,0,--,794,14.08,557,-4.62,"1,821",293.30,"1,609",502.62,271,-50.00,308,-24.51,559,422.43,530,"1,666.67"
2002M09,"3,762",-0.69,"2,930",-8.98,719,-16.69,528,35.38,78,41.82,67,103.03,331,-33.13,121,-36.98,518,55.56,292,88.39,146,17.74,0,-100.00,52,-35.00,9,-98.28,0,-100.00,0,-100.00,727,-24.11,546,3.21,712,27.14,873,52.09,240,13.21,253,-58.18,239,171.59,241,66.21
2002M10,"3,852",2.37,"3,030",7.26,756,24.75,504,-18.18,57,-40.62,101,-12.17,324,6.23,203,-21.01,626,261.85,638,237.57,33,26.92,92,-15.60,15,-97.67,0,-100.00,0,-100.00,20,--,703,-2.90,618,1.81,928,27.82,492,14.15,338,-14.65,268,-31.28,72,53.19,94,34.29
