期間,定期存款--合計_原始值,定期存款--合計_年增率(%),定期存款--合計_原始值,定期存款--合計_年增率(%),定期存款--未滿3個月_原始值,定期存款--未滿3個月_年增率(%),定期存款--未滿3個月_原始值,定期存款--未滿3個月_年增率(%),定期存款--滿3個月~未滿6個月_原始值,定期存款--滿3個月~未滿6個月_年增率(%),定期存款--滿3個月~未滿6個月_原始值,定期存款--滿3個月~未滿6個月_年增率(%),定期存款--滿6個月~未滿9個月_原始值,定期存款--滿6個月~未滿9個月_年增率(%),定期存款--滿6個月~未滿9個月_原始值,定期存款--滿6個月~未滿9個月_年增率(%),定期存款--滿9個月~未滿12個月_原始值,定期存款--滿9個月~未滿12個月_年增率(%),定期存款--滿9個月~未滿12個月_原始值,定期存款--滿9個月~未滿12個月_年增率(%),定期存款--1年期以上_原始值,定期存款--1年期以上_年增率(%),定期存款--1年期以上_原始值,定期存款--1年期以上_年增率(%),定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),定期儲蓄存款--合計_原始值,定期儲蓄存款--合計_年增率(%),定期儲存存款--未滿2年_原始值,定期儲存存款--未滿2年_年增率(%),定期儲存存款--未滿2年_原始值,定期儲存存款--未滿2年_年增率(%),定期儲蓄存款--滿2年~未滿3年_原始值,定期儲蓄存款--滿2年~未滿3年_年增率(%),定期儲蓄存款--滿2年~未滿3年_原始值,定期儲蓄存款--滿2年~未滿3年_年增率(%),定期儲蓄存款--3年以上_原始值,定期儲蓄存款--3年以上_年增率(%),定期儲蓄存款--3年以上_原始值,定期儲蓄存款--3年以上_年增率(%)
2005M09,"1,519,602",15.38,"2,972,752",10.33,"185,638",42.29,"392,646",15.16,"455,680",23.34,"694,938",26.73,"535,522",9.76,"602,635",2.32,"63,133",15.72,"103,019",-18.33,"279,629",1.80,"1,179,514",8.22,"8,973,148",3.10,"7,006,532",6.13,"7,389,579",7.43,"5,635,760",9.63,"1,056,900",-15.86,"962,986",-7.75,"526,669",-7.40,"407,786",-2.19
2005M10,"1,527,721",14.24,"2,990,233",11.14,"189,600",37.19,"402,977",11.38,"458,633",21.46,"690,241",26.97,"536,719",8.87,"618,734",5.83,"63,895",17.96,"109,730",-8.99,"278,874",1.66,"1,168,552",8.22,"8,985,924",2.91,"7,033,040",5.90,"7,417,522",7.09,"5,670,383",9.56,"1,048,874",-15.43,"961,038",-7.97,"519,528",-8.09,"401,618",-4.73
2005M11,"1,529,969",12.80,"3,010,541",9.25,"197,952",39.82,"433,157",10.92,"451,440",17.65,"654,559",13.28,"536,931",6.61,"613,364",1.87,"63,906",21.11,"104,271",-6.34,"279,740",1.84,"1,205,191",12.24,"9,001,316",3.30,"7,043,852",5.78,"7,448,300",7.26,"5,696,233",9.52,"1,044,418",-13.84,"957,172",-7.22,"508,598",-8.82,"390,446",-8.37
2005M12,"1,523,446",11.36,"3,007,509",6.67,"200,857",38.17,"421,737",1.65,"442,272",14.33,"647,715",3.31,"536,566",5.61,"612,517",1.98,"62,921",24.12,"105,043",5.45,"280,830",1.38,"1,220,497",13.28,"9,031,199",3.64,"7,068,609",5.70,"7,488,853",7.43,"5,726,065",9.38,"1,043,256",-12.31,"956,827",-6.37,"499,090",-9.89,"385,717",-10.40
2006M01,"1,531,377",10.98,"3,085,796",9.33,"205,513",42.57,"432,949",15.86,"440,549",10.47,"697,455",4.91,"538,654",5.97,"624,512",1.87,"63,898",26.02,"108,821",14.57,"282,763",1.77,"1,222,059",13.59,"9,069,275",4.02,"7,101,818",5.86,"7,536,197",7.70,"5,756,323",9.33,"1,044,018",-10.69,"961,062",-5.05,"489,060",-11.38,"384,433",-10.91
2006M02,"1,545,287",8.36,"3,126,721",7.92,"206,934",34.61,"443,726",14.46,"445,326",4.84,"716,809",2.22,"545,723",5.52,"645,564",4.66,"66,201",26.11,"111,265",16.55,"281,103",1.17,"1,209,359",10.34,"9,133,582",3.94,"7,149,137",5.91,"7,610,377",7.57,"5,799,018",9.09,"1,049,148",-9.39,"971,831",-3.36,"474,057",-14.51,"378,288",-11.77
2006M03,"1,552,208",6.86,"3,073,660",4.79,"213,734",35.42,"412,110",-1.26,"443,529",1.22,"704,070",1.80,"548,493",4.87,"664,224",10.17,"68,027",25.21,"117,710",24.32,"278,425",-0.26,"1,175,545",4.34,"9,138,243",3.56,"7,163,044",5.32,"7,630,865",7.04,"5,821,732",8.39,"1,049,386",-7.42,"971,906",-2.43,"457,992",-18.41,"369,407",-14.88
2006M04,"1,546,508",5.84,"3,050,365",2.85,"212,582",28.82,"398,191",-11.83,"441,108",0.12,"689,922",0.00,"547,526",4.45,"663,181",9.85,"68,534",25.16,"117,474",29.55,"276,758",0.05,"1,181,598",4.57,"9,116,051",2.92,"7,169,822",4.94,"7,622,351",6.21,"5,836,294",7.84,"1,048,267",-6.26,"969,076",-1.71,"445,433",-20.82,"364,451",-16.17
2006M05,"1,546,992",5.92,"3,081,046",3.47,"214,542",32.40,"434,273",-4.24,"439,018",0.63,"692,215",5.03,"547,786",4.10,"683,751",12.91,"67,774",22.43,"115,073",26.67,"277,872",-1.00,"1,155,734",-1.12,"9,216,566",3.84,"7,214,260",5.30,"7,721,617",7.05,"5,887,706",8.23,"1,061,911",-3.43,"974,839",-0.15,"433,038",-23.12,"351,715",-19.04
2006M06,"1,555,294",6.26,"3,120,131",1.83,"224,299",36.35,"497,875",-4.92,"439,204",1.58,"688,597",2.85,"548,953",3.65,"672,596",9.43,"66,691",18.45,"112,239",23.34,"276,147",-1.65,"1,148,825",-1.43,"9,185,829",3.16,"7,191,131",4.40,"7,708,163",6.19,"5,876,686",7.07,"1,060,800",-1.96,"973,865",0.61,"416,866",-26.00,"340,581",-21.09
