期間,民意代表、主管及經理人員_原始值,民意代表、主管及經理人員_年增率(%),民意代表、主管及經理人員_原始值,民意代表、主管及經理人員_年增率(%),民意代表、主管及經理人員_原始值,民意代表、主管及經理人員_年增率(%),專業人員_原始值,專業人員_年增率(%),專業人員_原始值,專業人員_年增率(%),專業人員_原始值,專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),技術員及助理專業人員_原始值,技術員及助理專業人員_年增率(%),事務支援人員_原始值,事務支援人員_年增率(%),事務支援人員_原始值,事務支援人員_年增率(%),事務支援人員_原始值,事務支援人員_年增率(%),服務及銷售工作人員_原始值,服務及銷售工作人員_年增率(%),服務及銷售工作人員_原始值,服務及銷售工作人員_年增率(%),服務及銷售工作人員_原始值,服務及銷售工作人員_年增率(%),農林漁牧生產人員_原始值,農林漁牧生產人員_年增率(%),農林漁牧生產人員_原始值,農林漁牧生產人員_年增率(%),農林漁牧生產人員_原始值,農林漁牧生產人員_年增率(%),技藝有關工作人員、機械設備操作及勞力工_原始值,技藝有關工作人員、機械設備操作及勞力工_年增率(%),技藝有關工作人員、機械設備操作及勞力工_原始值,技藝有關工作人員、機械設備操作及勞力工_年增率(%),技藝有關工作人員、機械設備操作及勞力工_原始值,技藝有關工作人員、機械設備操作及勞力工_年增率(%)
2011M09,433,-1.76,353,0.22,80,-9.60,"1,208",7.13,599,6.00,609,8.27,"1,959",-0.60,"1,071",-0.69,889,-0.50,"1,197",2.23,267,10.12,930,0.17,"2,088",1.24,920,1.86,"1,168",0.75,495,-2.82,364,-3.09,131,-2.06,"3,369",3.71,"2,450",3.23,919,5.04
2011M10,431,-1.68,336,-2.72,95,2.19,"1,212",6.76,610,9.45,603,4.17,"1,961",-0.50,"1,075",-0.60,886,-0.38,"1,202",1.79,274,5.36,929,0.78,"2,085",1.35,923,1.18,"1,162",1.48,497,-2.59,366,0.55,131,-10.39,"3,376",3.36,"2,446",2.06,930,6.96
2011M11,430,-2.99,332,-4.53,98,2.57,"1,215",6.16,610,8.84,605,3.59,"1,958",-0.87,"1,071",0.51,887,-2.48,"1,207",3.01,256,0.62,952,3.68,"2,093",0.92,932,-0.83,"1,161",2.37,499,-2.30,362,1.84,137,-11.76,"3,385",3.05,"2,479",2.46,906,4.71
2011M12,428,-3.29,338,-3.68,89,-1.81,"1,221",4.99,607,0.71,614,9.60,"1,954",-0.31,"1,078",1.31,876,-2.23,"1,214",3.80,249,4.04,965,3.73,"2,098",0.90,932,-0.07,"1,166",1.69,498,-1.19,363,1.63,135,-8.07,"3,388",2.85,"2,482",3.44,906,1.27
2012M01,427,-3.32,330,-6.33,97,8.55,"1,224",4.96,612,2.74,612,7.29,"1,951",-0.24,"1,070",-0.38,882,-0.07,"1,218",3.85,267,7.44,951,2.88,"2,104",1.14,937,1.23,"1,167",1.07,497,-0.41,365,0.98,131,-4.09,"3,386",2.43,"2,480",3.51,906,-0.42
2012M02,428,-2.53,326,-5.64,102,8.91,"1,226",4.89,602,5.04,625,4.74,"1,945",-0.20,"1,057",-1.53,888,1.43,"1,219",3.74,268,9.48,951,2.23,"2,096",1.51,946,1.52,"1,151",1.50,494,-0.08,364,3.97,130,-9.92,"3,381",2.18,"2,486",2.49,894,1.33
2012M03,426,-2.46,330,-3.09,96,-0.20,"1,229",4.64,595,1.20,634,8.09,"1,944",-0.41,"1,043",-1.29,902,0.64,"1,222",3.62,251,5.75,971,3.08,"2,102",1.40,957,3.27,"1,146",-0.12,496,0.56,372,1.89,124,-3.20,"3,386",1.99,"2,507",1.89,880,2.30
2012M04,424,-2.89,331,-3.85,92,0.72,"1,233",4.40,612,4.01,621,4.78,"1,943",-0.30,"1,048",0.88,895,-1.65,"1,225",4.07,260,7.24,965,3.25,"2,109",1.35,961,1.05,"1,148",1.59,495,0.34,364,0.31,131,0.43,"3,388",1.77,"2,492",1.29,896,3.14
2012M05,423,-3.63,325,-4.42,98,-0.92,"1,238",4.49,619,4.24,620,4.73,"1,940",-0.71,"1,064",1.78,876,-3.57,"1,223",4.00,270,1.55,953,4.72,"2,121",2.01,977,2.32,"1,145",1.75,492,0.28,362,2.12,130,-4.49,"3,396",1.53,"2,472",1.15,924,2.55
2012M06,424,-3.06,332,-0.36,92,-11.68,"1,242",3.90,615,2.62,627,5.19,"1,945",-0.81,"1,061",0.52,884,-2.35,"1,220",3.90,256,-1.29,964,5.38,"2,119",2.10,960,2.27,"1,159",1.96,494,0.06,372,3.37,122,-8.81,"3,409",1.49,"2,499",1.51,910,1.44
2012M07,423,-2.94,326,-3.09,97,-2.43,"1,247",3.65,617,1.98,630,5.35,"1,947",-0.99,"1,046",-1.50,901,-0.38,"1,218",2.96,264,1.73,954,3.30,"2,139",1.90,970,4.98,"1,170",-0.52,496,-0.18,371,2.20,125,-6.64,"3,412",1.33,"2,504",1.24,907,1.59
2012M08,421,-3.15,323,-5.08,98,3.82,"1,252",3.81,623,2.71,630,4.93,"1,950",-0.61,"1,068",0.45,882,-1.86,"1,223",2.53,259,0.13,964,3.19,"2,137",1.14,962,3.67,"1,175",-0.85,495,-0.21,368,1.09,127,-3.80,"3,422",1.36,"2,500",0.81,922,2.86
2012M09,419,-3.16,330,-6.35,89,10.86,"1,254",3.82,608,1.40,647,6.20,"1,953",-0.31,"1,079",0.74,875,-1.57,"1,219",1.87,256,-4.32,963,3.65,"2,114",1.26,944,2.65,"1,170",0.17,494,-0.26,369,1.33,124,-4.68,"3,424",1.62,"2,498",1.95,926,0.75
2012M10,418,-3.06,317,-5.68,101,6.24,"1,258",3.78,611,0.21,647,7.40,"1,959",-0.10,"1,060",-1.42,900,1.51,"1,217",1.25,259,-5.35,958,3.19,"2,123",1.83,953,3.29,"1,170",0.68,493,-0.75,362,-1.11,131,0.27,"3,428",1.54,"2,530",3.44,898,-3.45
2012M11,416,-3.23,305,-7.91,111,12.54,"1,261",3.81,604,-1.00,658,8.65,"1,961",0.15,"1,070",-0.16,892,0.52,"1,223",1.33,257,0.57,966,1.53,"2,130",1.76,953,2.25,"1,177",1.38,495,-0.81,359,-0.77,136,-0.91,"3,431",1.35,"2,547",2.73,884,-2.42
2012M12,414,-3.18,315,-6.87,99,10.83,"1,265",3.62,604,-0.50,662,7.69,"1,958",0.20,"1,080",0.16,879,0.24,"1,229",1.23,261,4.74,968,0.33,"2,133",1.68,980,5.14,"1,153",-1.09,494,-0.78,360,-0.92,134,-0.39,"3,437",1.44,"2,508",1.06,929,2.48
