期間,本國籍-合計_原始值,本國籍-合計_年增率(%),本國籍占總出生(%)_原始值,本國籍占總出生(%)_年增率(%),本國籍-男_原始值,本國籍-男_年增率(%),本國籍-女_原始值,本國籍-女_年增率(%),大陸港澳地區與外國籍-計_原始值,大陸港澳地區與外國籍-計_年增率(%),大陸港澳地區與外國籍-男_原始值,大陸港澳地區與外國籍-男_年增率(%),大陸港澳地區與外國籍-女_原始值,大陸港澳地區與外國籍-女_年增率(%),大陸港澳地區-計_原始值,大陸港澳地區-計_年增率(%),大陸港澳地區-男_原始值,大陸港澳地區-男_年增率(%),大陸港澳地區-女_原始值,大陸港澳地區-女_年增率(%),外國籍-計_原始值,外國籍-計_年增率(%),外國籍-男_原始值,外國籍-男_年增率(%),外國籍-女_原始值,外國籍-女_年增率(%)
2008,"179,647",-2.10,90.40,-,"93,858",-2.13,"85,789",-2.08,"19,086",-8.70,"10,079",-8.39,"9,007",-9.05,"9,834",-2.80,"5,211",-2.20,"4,623",-3.47,"9,252",-14.24,"4,868",-14.21,"4,384",-14.27
2009,"174,698",-2.75,91.32,-,"90,797",-3.26,"83,901",-2.20,"16,612",-12.96,"8,695",-13.73,"7,917",-12.10,"8,871",-9.79,"4,633",-11.09,"4,238",-8.33,"7,741",-16.33,"4,062",-16.56,"3,679",-16.08
