期間,總出境人數(人次)_原始值,總出境人數(人次)_年增率(%),男_原始值,男_年增率(%),女_原始值,女_年增率(%),0 - 14 歲_原始值,0 - 14 歲_年增率(%),15 - 64歲_原始值,15 - 64歲_年增率(%),65歲以上_原始值,65歲以上_年增率(%),本國人民 (含金馬地區)_原始值,本國人民 (含金馬地區)_年增率(%),大陸地區人民_原始值,大陸地區人民_年增率(%),香港澳門居民_原始值,香港澳門居民_年增率(%),本國無戶籍國民_原始值,本國無戶籍國民_年增率(%),外國人_原始值,外國人_年增率(%)
2005M11,"857,080",2.35,"523,402",1.52,"333,678",3.68,"22,693",10.58,"778,844",2.57,"55,543",-3.43,"560,080",-3.35,"19,206",58.92,"25,920",12.54,"1,276",11.34,"250,598",13.07
2005M12,"860,367",2.86,"522,208",2.74,"338,159",3.05,"36,532",6.39,"780,859",3.00,"42,976",-2.27,"555,265",-1.96,"24,493",92.03,"33,170",16.52,"1,676",1.45,"245,763",8.18
2006M01,"966,148",15.62,"538,577",10.19,"427,571",23.26,"84,914",43.94,"834,029",13.58,"47,205",11.42,"667,004",17.34,"22,518",73.44,"27,437",18.33,"2,524",0.12,"246,665",7.95
2006M02,"971,936",0.96,"582,872",3.54,"389,064",-2.67,"63,081",-18.47,"859,286",2.00,"49,569",15.55,"710,619",-0.26,"21,142",35.90,"30,178",-3.77,"1,470",-43.59,"208,527",3.90
2006M03,"952,544",6.90,"562,107",5.24,"390,437",9.39,"26,673",-4.86,"845,033",5.87,"80,838",24.75,"651,368",8.80,"19,388",56.71,"26,662",-16.01,"1,396",-26.95,"253,730",3.02
2006M04,"1,018,954",5.64,"594,448",3.45,"424,506",8.85,"38,730",19.24,"891,022",4.92,"89,202",7.63,"732,699",4.67,"24,549",86.51,"33,587",39.22,"1,540",4.55,"226,579",0.34
2006M05,"984,351",0.27,"572,160",-0.73,"412,191",1.69,"31,977",3.80,"873,145",0.41,"79,229",-2.55,"699,865",-0.24,"25,340",83.68,"30,603",-6.77,"1,417",2.98,"227,126",-2.16
2006M06,"1,055,342",2.91,"606,540",1.11,"448,802",5.43,"56,394",6.78,"926,276",2.22,"72,672",9.18,"757,014",3.84,"22,919",54.88,"33,128",8.07,"1,619",5.89,"240,662",-3.55
2006M07,"1,176,337",1.29,"643,179",0.27,"533,158",2.54,"143,527",3.76,"974,690",0.89,"58,120",2.04,"902,710",1.42,"22,714",34.70,"32,268",-3.32,"2,006",3.83,"216,639",-1.14
2006M08,"1,116,402",4.74,"624,038",3.23,"492,364",6.71,"109,439",5.27,"955,195",4.35,"51,768",11.15,"816,489",3.97,"25,468",49.85,"39,102",1.06,"2,304",1.86,"233,039",4.69
2006M09,"960,943",1.22,"555,768",0.11,"405,175",2.77,"22,074",-9.29,"871,023",1.50,"67,846",1.45,"698,682",0.26,"21,999",37.14,"21,855",-10.10,"1,327",-12.24,"217,080",3.05
2006M10,"1,076,620",8.42,"623,856",6.08,"452,764",11.83,"32,601",22.28,"961,822",7.45,"82,197",15.40,"778,136",9.56,"22,641",34.78,"25,355",-0.42,"1,527",17.37,"248,961",4.08
2006M11,"949,649",10.80,"571,432",9.18,"378,217",13.35,"23,095",1.77,"852,616",9.47,"73,938",33.12,"641,668",14.57,"25,635",33.47,"21,904",-15.49,"1,251",-1.96,"259,191",3.43
2006M12,"931,693",8.29,"551,664",5.64,"380,029",12.38,"40,820",11.74,"837,815",7.29,"53,058",23.46,"615,121",10.78,"25,595",4.50,"32,179",-2.99,"1,851",10.44,"256,947",4.55
2007M01,"924,386",-4.32,"540,990",0.45,"383,396",-10.33,"53,042",-37.53,"818,264",-1.89,"53,080",12.45,"631,110",-5.38,"20,617",-8.44,"24,104",-12.15,"2,149",-14.86,"246,406",-0.11
2007M02,"1,043,766",7.39,"578,408",-0.77,"465,358",19.61,"105,959",67.97,"888,177",3.36,"49,630",0.12,"772,835",8.76,"25,975",22.86,"29,284",-2.96,"2,091",42.24,"213,581",2.42
