期間,授信部門-中央銀行_原始值,授信部門-中央銀行_年增率(%),授信部門-其他貨幣機構_原始值,授信部門-其他貨幣機構_年增率(%),授信部門-保險公司及退休基金_原始值,授信部門-保險公司及退休基金_年增率(%),授信部門-其他金融機構_原始值,授信部門-其他金融機構_年增率(%),授信部門-政府_原始值,授信部門-政府_年增率(%),授信部門-公營事業_原始值,授信部門-公營事業_年增率(%),授信部門-民營企業_原始值,授信部門-民營企業_年增率(%),授信部門-家庭及非營利團體_原始值,授信部門-家庭及非營利團體_年增率(%),授信部門-國外_原始值,授信部門-國外_年增率(%),受信部門-中央銀行_原始值,受信部門-中央銀行_年增率(%),受信部門-其他貨幣機構_原始值,受信部門-其他貨幣機構_年增率(%),受信部門-保險公司及退休基金_原始值,受信部門-保險公司及退休基金_年增率(%),受信部門-其他金融機構_原始值,受信部門-其他金融機構_年增率(%),受信部門-民營企業_原始值,受信部門-民營企業_年增率(%),受信部門-國外_原始值,受信部門-國外_年增率(%)
2000,"37,860",...,"353,610",...,"54,314",...,"366,812",...,-,...,-,...,"103,674",...,"596,017",...,231,...,-,...,"434,773",...,-,...,"1,048,678",...,"29,066",...,-,...
2001,-,--,"327,071",-7.51,"58,503",7.71,"646,455",76.24,-,--,-,--,"81,822",-21.08,"320,335",-46.25,316,36.80,-,--,"372,326",-14.36,-,--,"1,047,153",-0.15,"15,023",-48.31,-,--
2002,-,--,"246,720",-24.57,"82,389",40.83,"701,400",8.50,-,--,-,--,"57,157",-30.14,"504,401",57.46,309,-2.22,-,--,"454,400",22.04,-,--,"1,135,686",8.45,"2,289",-84.76,-,--
