期間,發行部門--中央銀行_原始值,發行部門--中央銀行_年增率(%),持有部門-其他貨幣機構_原始值,持有部門-其他貨幣機構_年增率(%),持有部門-其他金融機構_原始值,持有部門-其他金融機構_年增率(%)
2006,"3,755,930",6.68,"3,683,240",6.96,"72,690",-5.76
2007,"3,460,300",-7.87,"3,430,530",-6.86,"29,770",-59.05
2008,"4,334,945",25.28,"4,298,095",25.29,"36,850",23.78
