期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),中央政府發行_原始值,中央政府發行_年增率(%),中央政府發行_原始值,中央政府發行_年增率(%),中央政府發行_原始值,中央政府發行_年增率(%),直轄市政府發行_原始值,直轄市政府發行_年增率(%),直轄市政府發行_原始值,直轄市政府發行_年增率(%),直轄市政府發行_原始值,直轄市政府發行_年增率(%)
2005M09,"40,000",14.29,"30,054","2,817.86","3,079,370",8.78,"40,000",14.29,"30,052","71,452.38","2,947,899",8.66,-,-,2,-99.80,"131,471",11.55
2005M10,"30,000",-14.29,"1,032","3,027.27","3,108,338",8.46,"30,000",-14.29,26,4.00,"2,977,873",8.37,-,-,"1,006","12,475.00","130,465",10.70
2005M11,"30,000",-14.29,"40,067",-55.82,"3,098,271",10.26,"30,000",-14.29,"29,776",-66.28,"2,978,097",10.52,-,-,"10,291",329.51,"120,174",4.09
2005M12,"44,000",2.33,43,-89.36,"3,142,228",10.15,"35,000",0.00,25,-93.47,"3,013,072",10.40,"9,000",12.50,18,-14.29,"129,156",4.64
2006M01,"40,000",-52.94,"54,730",35.49,"3,127,498",7.95,"40,000",-50.00,"54,720",35.49,"2,998,352",8.29,-,-,10,100.00,"129,146",0.56
2006M02,"30,000",0.00,37,-89.31,"3,157,461",7.88,"30,000",0.00,21,-93.91,"3,028,331",8.21,-,-,16,"1,500.00","129,130",0.55
2006M03,"50,000",25.00,33,-99.90,"3,207,428",9.29,"40,000",0.00,31,-99.90,"3,068,300",9.26,"10,000",-,2,-99.90,"139,128",10.03
2006M04,"40,000",33.33,"49,981","87,585.96","3,197,447",7.85,"40,000",33.33,"49,967","87,561.40","3,058,333",7.75,-,-,14,-,"139,114",10.02
2006M05,"35,000",16.67,42,-99.86,"3,232,405",9.03,"35,000",16.67,28,-99.91,"3,093,305",8.99,-,-,14,-,"139,100",10.01
2006M06,"50,000",25.00,156,-96.89,"3,282,249",9.42,"40,000",0.00,146,71.76,"3,133,159",8.86,"10,000",-,10,-99.80,"149,090",22.70
2006M07,"35,000",16.67,67,-31.63,"3,317,182",9.50,"35,000",16.67,66,0.00,"3,168,093",8.94,-,-,1,-96.88,"149,089",22.73
2006M08,"30,000",-25.00,"2,021","3,862.75","3,345,161",8.98,"30,000",0.00,23,-52.08,"3,198,070",8.85,-,-,"1,998","66,500.00","147,091",11.88
2006M09,"45,000",12.50,"29,569",-1.61,"3,360,592",9.13,"45,000",12.50,"29,569",-1.61,"3,213,501",9.01,-,-,-,-,"147,091",11.88
2006M10,"30,000",0.00,"29,659","2,773.93","3,360,933",8.13,"30,000",0.00,"29,654","113,953.85","3,213,847",7.92,-,-,5,-99.50,"147,086",12.74
2006M11,"35,000",16.67,227,-99.43,"3,395,706",9.60,"35,000",16.67,212,-99.29,"3,248,635",9.08,-,-,15,-99.85,"147,071",22.38
2006M12,"48,000",9.09,"58,983","137,069.77","3,384,723",7.72,"40,000",14.29,"49,296","197,084.00","3,239,339",7.51,"8,000",-11.11,"9,687","53,716.67","145,384",12.56
2007M01,"40,000",0.00,"80,354",46.82,"3,344,369",6.93,"40,000",0.00,"80,331",46.80,"3,199,008",6.69,-,-,23,130.00,"145,361",12.56
2007M02,"30,000",0.00,"50,128","135,381.08","3,324,241",5.28,"30,000",0.00,"50,100","238,471.43","3,178,908",4.97,-,-,28,75.00,"145,333",12.55
2007M03,"40,000",-20.00,"2,071","6,175.76","3,362,170",4.82,"40,000",0.00,76,145.16,"3,218,832",4.91,-,-,"1,995","99,650.00","143,338",3.03
2007M04,"30,000",-25.00,70,-99.86,"3,392,100",6.09,"30,000",-25.00,62,-99.88,"3,248,770",6.23,-,-,8,-42.86,"143,330",3.03
2007M05,"39,000",11.43,"8,998","21,323.81","3,422,102",5.87,"30,000",-14.29,119,325.00,"3,278,651",5.99,"9,000",-,"8,879","63,321.43","143,451",3.13
2007M06,"40,000",-20.00,419,168.59,"3,461,683",5.47,"40,000",0.00,401,174.66,"3,318,250",5.91,-,-,18,80.00,"143,433",-3.79
2007M07,"20,000",-42.86,"40,076","59,714.93","3,441,607",3.75,"20,000",-42.86,"30,020","45,384.85","3,308,230",4.42,-,-,"10,056","1,005,500.00","133,377",-10.54
2007M08,"9,900",-67.00,"7,503",271.25,"3,444,004",2.95,"9,900",-67.00,61,165.22,"3,318,069",3.75,-,-,"7,442",272.47,"125,935",-14.38
2007M09,"40,000",-11.11,"37,872",28.08,"3,446,132",2.55,"40,000",-11.11,"30,025",1.54,"3,328,044",3.56,-,-,"7,847",-,"118,088",-19.72
2007M10,"58,251",94.17,"31,296",5.52,"3,473,087",3.34,"58,251",94.17,"31,205",5.23,"3,355,090",4.39,-,-,91,"1,720.00","117,997",-19.78
2007M11,"30,000",-14.29,102,-55.07,"3,502,985",3.16,"30,000",-14.29,39,-81.60,"3,385,051",4.20,-,-,63,320.00,"117,934",-19.81
2007M12,"25,000",-47.92,"8,138",-86.20,"3,519,847",3.99,"25,000",-37.50,21,-99.96,"3,410,030",5.27,-,-,"8,117",-16.21,"109,817",-24.46
2008M01,"52,000",30.00,"70,130",-12.72,"3,501,717",4.70,"40,000",0.00,"70,016",-12.84,"3,380,014",5.66,"12,000",-,114,395.65,"121,703",-16.28
2008M02,"30,000",0.00,35,-99.93,"3,531,682",6.24,"30,000",0.00,9,-99.98,"3,410,005",7.27,-,-,26,-7.14,"121,677",-16.28
2008M03,"40,000",0.00,"2,090",0.92,"3,569,592",6.17,"40,000",0.00,77,1.32,"3,449,928",7.18,-,-,"2,013",0.90,"119,664",-16.52
2008M04,"41,700",39.00,48,-31.43,"3,611,244",6.46,"35,000",16.67,3,-95.16,"3,484,925",7.27,"6,700",-,45,462.50,"126,319",-11.87
