期間,批發、零售及餐飲業_原始值,批發、零售及餐飲業_年增率(%),批發業_原始值,批發業_年增率(%),零售業_原始值,零售業_年增率(%),餐飲業_原始值,餐飲業_年增率(%)
2002,"9,134,803",5.29,"6,287,842",5.60,"2,585,451",5.11,"261,510",0.05
2003,"9,470,413",3.67,"6,505,580",3.46,"2,701,398",4.48,"263,435",0.74
2004,"10,393,496",9.75,"7,194,157",10.58,"2,928,073",8.39,"271,266",2.97
