期間,新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),新設立_原始值,新設立_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%),歇業_原始值,歇業_年增率(%)
2003M04,463,21.52,23,53.33,-,--,11,22.22,15,66.67,4,33.33,1,-66.67,9,80.00,12,50.00,21,31.25,3,-25.00,13,-13.33,-,--,5,-44.44,33,37.50,9,-25.00,13,30.00,64,8.47,109,65.15,37,-5.13,28,-9.68,15,-6.25,9,-18.18,14,75.00,15,114.29,468,78.63,15,25.00,-,--,20,66.67,13,160.00,2,--,12,71.43,9,28.57,9,50.00,7,-22.22,1,0.00,11,266.67,1,--,4,33.33,37,48.00,29,314.29,12,140.00,73,55.32,84,110.00,7,133.33,14,--,59,22.92,24,380.00,6,-14.29,19,90.00
2003M05,415,11.26,33,65.00,-,--,13,8.33,12,20.00,3,-25.00,2,100.00,4,100.00,7,75.00,17,41.67,5,0.00,15,-6.25,-,--,5,-28.57,32,6.67,10,66.67,13,225.00,62,6.90,105,40.00,22,-26.67,18,-57.14,7,-46.15,11,37.50,11,22.22,8,100.00,322,-10.06,14,-33.33,-,--,15,50.00,11,175.00,4,-33.33,5,-37.50,5,-66.67,11,57.14,10,-9.09,1,-66.67,5,-28.57,-,--,3,-62.50,30,-18.92,7,75.00,12,33.33,47,-17.54,49,13.95,16,128.57,9,50.00,33,-41.07,13,-7.14,6,0.00,16,-15.79
2003M06,422,23.03,34,30.77,-,--,7,-22.22,22,100.00,3,200.00,3,0.00,6,100.00,14,180.00,13,0.00,2,-60.00,15,36.36,1,-50.00,4,0.00,34,47.83,12,50.00,2,-66.67,68,19.30,89,21.92,29,0.00,26,52.94,9,-35.71,8,-11.11,11,175.00,10,0.00,342,46.78,8,33.33,-,--,11,-8.33,16,166.67,4,33.33,5,0.00,12,33.33,-,--,11,0.00,4,300.00,7,-36.36,2,--,3,50.00,35,84.21,6,50.00,2,-66.67,53,6.00,71,208.70,11,175.00,11,266.67,40,8.11,9,-10.00,7,75.00,14,180.00
2003M07,478,7.66,35,20.69,-,--,8,-20.00,15,25.00,3,-25.00,4,33.33,6,100.00,5,0.00,20,5.26,7,-12.50,10,66.67,-,--,4,-63.64,48,60.00,16,60.00,10,11.11,62,-4.62,109,36.25,36,5.88,28,-31.71,17,-39.29,14,-6.67,9,12.50,12,-14.29,"1,228",314.86,170,"2,025.00",-,--,50,284.62,83,937.50,10,400.00,50,900.00,24,242.86,26,420.00,58,480.00,14,600.00,17,240.00,2,--,6,200.00,69,165.38,35,337.50,27,200.00,97,53.97,134,306.06,59,"1,080.00",30,500.00,78,56.00,49,390.00,32,540.00,108,620.00
2003M08,537,23.73,42,44.83,-,--,14,55.56,10,-16.67,8,166.67,8,700.00,3,-25.00,4,300.00,23,27.78,2,-75.00,11,-26.67,1,-50.00,8,33.33,35,-18.60,13,62.50,12,33.33,93,43.08,117,15.84,39,116.67,38,0.00,28,33.33,10,66.67,6,-14.29,12,20.00,415,22.06,13,116.67,-,--,18,-5.26,13,85.71,6,20.00,10,42.86,7,133.33,14,75.00,24,242.86,4,--,7,-22.22,1,--,6,200.00,30,0.00,13,85.71,7,-22.22,50,-26.47,75,141.94,30,150.00,22,"1,000.00",28,-60.00,17,13.33,4,33.33,16,-20.00
2003M09,469,43.87,32,-5.88,-,--,14,16.67,10,25.00,6,200.00,8,300.00,6,500.00,8,60.00,19,111.11,7,16.67,20,185.71,-,--,2,-66.67,32,68.42,11,22.22,9,0.00,78,56.00,104,89.09,28,-9.68,24,-11.11,13,30.00,10,-23.08,12,140.00,16,166.67,389,52.55,17,325.00,-,--,20,66.67,7,0.00,9,800.00,17,466.67,12,71.43,7,250.00,19,280.00,5,66.67,11,"1,000.00",2,--,5,400.00,30,87.50,7,40.00,11,83.33,60,39.53,66,65.00,17,70.00,18,50.00,20,-57.45,17,41.67,6,50.00,6,-57.14
2003M10,497,36.91,36,33.33,-,--,14,16.67,10,0.00,10,900.00,4,--,10,42.86,10,400.00,18,5.88,6,20.00,12,-7.69,-,--,9,350.00,43,19.44,8,-11.11,11,57.14,82,74.47,117,50.00,32,33.33,22,-24.14,6,-45.45,14,27.27,10,66.67,13,62.50,347,26.64,9,200.00,-,--,17,112.50,9,12.50,11,--,7,133.33,8,300.00,4,-20.00,10,42.86,3,-50.00,9,28.57,1,--,4,0.00,29,20.83,5,-16.67,5,-50.00,56,12.00,67,81.08,25,257.14,19,280.00,12,-72.73,15,7.14,7,16.67,15,-16.67
2003M11,421,-2.55,29,26.09,-,--,9,-40.00,4,-63.64,4,300.00,5,66.67,7,133.33,7,40.00,17,88.89,5,-28.57,9,-35.71,2,0.00,4,33.33,42,40.00,10,-33.33,8,-42.86,77,-11.49,76,-8.43,28,-6.67,31,19.23,16,-5.88,10,-23.08,12,71.43,9,-35.71,"1,132",362.04,56,"1,300.00",-,--,105,"2,000.00",29,222.22,25,525.00,26,"2,500.00",35,"1,650.00",18,500.00,35,191.67,6,-14.29,16,433.33,2,--,18,800.00,61,177.27,19,850.00,12,20.00,277,739.39,144,227.27,24,242.86,24,"1,100.00",42,27.27,80,280.95,14,250.00,64,326.67
2003M12,471,24.60,39,44.44,-,--,11,37.50,14,27.27,2,--,4,33.33,12,33.33,5,-44.44,18,-5.26,5,-16.67,18,80.00,1,--,7,40.00,34,25.93,6,-33.33,15,275.00,71,26.79,98,28.95,40,14.29,24,-4.00,11,22.22,14,40.00,14,0.00,8,33.33,"1,108",253.99,59,637.50,-,--,48,220.00,32,255.56,24,"2,300.00",22,214.29,30,"1,400.00",13,116.67,38,660.00,9,50.00,22,266.67,2,--,12,300.00,74,311.11,18,125.00,24,200.00,130,176.60,180,252.94,33,175.00,33,175.00,82,49.09,88,486.67,48,500.00,87,690.91
2004M01,314,-21.11,24,-20.00,-,--,13,0.00,7,40.00,3,0.00,4,33.33,4,0.00,7,-22.22,19,58.33,2,-33.33,10,-9.09,1,0.00,6,-25.00,31,-3.12,5,-16.67,6,-14.29,52,-1.89,55,-31.25,20,-41.18,15,-51.61,5,-44.44,11,-42.11,6,-45.45,8,-42.86,300,-19.79,21,40.00,-,--,13,-45.83,9,12.50,8,166.67,12,50.00,8,-33.33,5,25.00,13,-13.33,1,-85.71,10,400.00,1,--,3,-40.00,24,-33.33,11,10.00,3,-50.00,30,-42.31,40,-13.04,23,109.09,16,100.00,15,-72.73,11,-8.33,8,-38.46,15,-28.57
