期間,遷入-合計_原始值,遷入-合計_年增率(%),遷入-自外國_原始值,遷入-自外國_年增率(%),遷入-新北市_原始值,遷入-新北市_年增率(%),遷入-臺北市_原始值,遷入-臺北市_年增率(%),遷入-臺中市_原始值,遷入-臺中市_年增率(%),遷入-臺南市_原始值,遷入-臺南市_年增率(%),遷入-高雄市_原始值,遷入-高雄市_年增率(%),遷入-臺灣省_原始值,遷入-臺灣省_年增率(%),遷入-福建省_原始值,遷入-福建省_年增率(%),遷入-其他省市_原始值,遷入-其他省市_年增率(%),遷入-自本省他縣市_原始值,遷入-自本省他縣市_年增率(%),遷入-自本縣市他鄉鎮市區_原始值,遷入-自本縣市他鄉鎮市區_年增率(%),遷入-初設戶籍_原始值,遷入-初設戶籍_年增率(%),遷入-其他_原始值,遷入-其他_年增率(%),遷出-合計_原始值,遷出-合計_年增率(%),遷出-往外國_原始值,遷出-往外國_年增率(%),遷出-新北市_原始值,遷出-新北市_年增率(%),遷出-臺北市_原始值,遷出-臺北市_年增率(%),遷出-臺中市_原始值,遷出-臺中市_年增率(%),遷出-臺南市_原始值,遷出-臺南市_年增率(%),遷出-高雄市_原始值,遷出-高雄市_年增率(%),遷出-臺灣省_原始值,遷出-臺灣省_年增率(%),遷出-福建省_原始值,遷出-福建省_年增率(%),遷出-其他省市_原始值,遷出-其他省市_年增率(%),遷出-自本省他縣市_原始值,遷出-自本省他縣市_年增率(%),遷出-自本縣市他鄉鎮市區_原始值,遷出-自本縣市他鄉鎮市區_年增率(%),遷出-廢止戶籍_原始值,遷出-廢止戶籍_年增率(%),遷出-其他_原始值,遷出-其他_年增率(%),鄉鎮區內住址變更人數 -遷入_原始值,鄉鎮區內住址變更人數 -遷入_年增率(%),鄉鎮區內住址變更人數 -遷出_原始值,鄉鎮區內住址變更人數 -遷出_年增率(%),淨遷入_原始值,淨遷入_年增率(%)
2003M09,"116,837",9.92,"2,528",31.60,-,--,"9,210",23.03,-,--,-,--,"4,661",14.58,"11,507",5.95,269,-17.99,0,--,"34,144",8.53,"53,415",8.92,"1,090",-2.59,13,62.50,"119,381",10.20,"6,135",20.72,-,--,"7,482",8.96,-,--,-,--,"4,158",-0.07,"13,584",19.44,421,27.58,0,--,"34,146",8.60,"53,410",8.93,0,-100.00,45,60.71,"66,668",5.79,"66,668",5.79,"-2,544",-
2003M10,"95,523",1.10,"2,702",28.30,-,--,"7,137",27.47,-,--,-,--,"3,808",10.12,"9,896",-5.24,188,-10.48,3,200.00,"27,404",-3.81,"43,339",0.65,"1,037",-6.24,9,-30.77,"95,150",0.09,"3,321",-11.63,-,--,"6,302",-5.80,-,--,-,--,"3,653",-7.14,"10,607",20.82,463,50.81,0,--,"27,406",-3.81,"43,341",0.65,0,-100.00,57,307.14,"53,450",-2.27,"53,450",-2.27,373,-
2003M11,"86,835",3.46,"2,102",1.64,-,--,"6,355",40.38,-,--,-,--,"3,669",31.74,"8,908",-3.77,165,-26.99,0,-100.00,"25,497",-2.93,"39,260",3.93,862,-15.24,17,112.50,"86,610",3.38,"2,723",-6.36,-,--,"5,619",-5.94,-,--,-,--,"3,278",-3.08,"9,786",36.83,413,46.98,0,--,"25,503",-2.86,"39,248",3.92,0,-100.00,40,90.48,"49,164",4.93,"49,164",4.93,225,-
2003M12,"105,294",-1.56,"3,381",14.42,-,--,"8,073",-5.42,-,--,-,--,"3,846",-28.55,"10,734",-3.29,196,-20.00,2,--,"30,135",-3.05,"47,765",2.79,"1,107",-6.19,55,511.11,"104,087",-1.73,"3,273",6.96,-,--,"6,961",-1.79,-,--,-,--,"3,835",-8.41,"11,572",-15.32,437,33.64,0,--,"30,132",-3.04,"47,790",2.86,0,-100.00,87,314.29,"57,319",6.20,"57,319",6.20,"1,207",-
2004M01,"86,854",-15.00,"2,689",5.04,-,--,"5,876",-32.97,-,--,-,--,"3,304",-30.63,"8,721",-16.37,177,-6.84,1,-50.00,"27,384",-7.45,"37,827",-15.68,858,-15.38,17,30.77,"86,102",-16.04,"2,813",-28.24,-,--,"5,516",-16.74,-,--,-,--,"3,288",-17.72,"8,932",-32.15,331,-7.28,0,--,"27,372",-7.50,"37,812",-15.69,0,-100.00,38,46.15,"42,789",-17.31,"42,789",-17.31,752,-
2004M02,"106,518",6.81,"2,469",26.16,-,--,"7,386",-4.93,-,--,-,--,"4,065",-4.69,"10,518",6.11,335,59.52,2,--,"33,856",8.59,"46,832",7.57,"1,039",16.74,16,60.00,"105,465",4.72,"2,392",-37.09,-,--,"6,647",6.56,-,--,-,--,"4,090",7.26,"11,202",-4.58,363,0.55,0,--,"33,872",8.63,"46,836",7.58,0,-100.00,63,320.00,"55,733",12.74,"55,733",12.74,"1,053",-
2004M03,"101,203",-4.87,"4,489",115.20,-,--,"7,139",-13.52,-,--,-,--,"3,994",-8.39,"9,987",-9.88,196,-7.55,1,--,"29,491",-6.93,"44,589",-6.37,"1,304",21.19,13,225.00,"101,715",-5.58,"6,315",40.74,-,--,"6,237",-11.39,-,--,-,--,"3,906",-5.22,"10,879",-12.05,291,-22.19,0,--,"29,485",-6.93,"44,559",-6.43,0,-100.00,43,230.77,"56,808",2.94,"56,808",2.94,-512,-
2004M04,"115,036",10.73,"2,864",95.76,-,--,"9,069",9.04,-,--,-,--,"4,470",3.45,"12,161",12.57,222,-10.48,0,--,"34,515",7.90,"50,475",10.37,"1,249",23.91,11,10.00,"115,902",9.89,"4,914",22.00,-,--,"7,772",9.23,-,--,-,--,"4,487",14.14,"13,128",6.26,541,87.20,1,--,"34,504",7.86,"50,501",10.44,0,-100.00,54,184.21,"61,201",16.18,"61,201",16.18,-866,-
2004M05,"112,879",4.47,"2,707",243.53,-,--,"8,737",-5.58,-,--,-,--,"4,359",-4.51,"11,846",14.27,230,6.98,1,--,"34,489",3.18,"49,694",2.11,814,6.96,2,-81.82,"112,965",2.17,"3,607",-11.14,-,--,"7,735",19.74,-,--,-,--,"4,271",2.50,"12,801",-5.88,360,118.18,0,--,"34,469",3.13,"49,678",2.11,0,-100.00,44,69.23,"63,257",7.43,"63,257",7.43,-86,-
2004M06,"125,704",7.83,"3,216",224.52,-,--,"9,303",0.22,-,--,-,--,"4,702",3.91,"12,801",13.36,191,-1.55,1,0.00,"36,626",2.30,"57,530",7.00,"1,315",85.73,19,111.11,"124,135",4.70,"2,952",-19.80,-,--,"8,198",11.30,-,--,-,--,"4,708",13.25,"13,630",0.70,453,91.14,0,--,"36,623",2.30,"57,519",6.99,0,-100.00,52,173.68,"69,211",8.28,"69,211",8.28,"1,569",-
2004M07,"111,154",-4.58,"3,653",55.05,-,--,"8,826",-7.53,-,--,-,--,"4,392",-10.70,"11,965",-3.40,228,-25.00,1,0.00,"31,970",-10.26,"48,626",-3.27,"1,481",37.90,12,-7.69,"110,446",-6.28,"4,399",-7.58,-,--,"7,620",-5.37,-,--,-,--,"4,389",-4.77,"12,850",-9.26,546,65.96,0,--,"31,970",-10.25,"48,618",-3.30,0,--,54,31.71,"57,938",-1.02,"57,938",-1.02,708,-
2004M08,"124,419",7.51,"2,773",7.23,-,--,"9,431",1.18,-,--,-,--,"4,886",1.12,"13,055",10.10,236,-13.24,3,200.00,"38,818",5.22,"54,067",10.82,"1,141",-3.14,9,80.00,"125,016",6.54,"4,475",-16.68,-,--,"8,033",6.05,-,--,-,--,"5,124",15.90,"13,884",0.40,568,25.94,0,--,"38,809",5.26,"54,060",10.81,0,--,63,46.51,"63,073",16.52,"63,073",16.52,-597,-
2004M09,"108,285",-7.32,"2,514",-0.55,-,--,"8,661",-5.96,-,--,-,--,"4,241",-9.01,"10,389",-9.72,229,-14.87,1,--,"30,600",-10.38,"50,142",-6.13,"1,481",35.87,27,107.69,"110,757",-7.22,"6,437",4.92,-,--,"6,616",-11.57,-,--,-,--,"3,849",-7.43,"12,591",-7.31,464,10.21,0,--,"30,594",-10.40,"50,149",-6.11,0,--,57,26.67,"65,319",-2.02,"65,319",-2.02,"-2,472",-
