期間,合計_原始值,合計_年增率(%),公營事業_原始值,公營事業_年增率(%),民營企業_原始值,民營企業_年增率(%),個人等_原始值,個人等_年增率(%),政府機關_原始值,政府機關_年增率(%)
2010M01,"17,603,328",1.97,"730,126",-4.24,"6,867,722",-2.80,"8,361,060",3.18,"1,644,420",23.54
2010M02,"17,600,986",3.16,"701,228",-3.08,"6,913,252",-0.54,"8,343,626",4.07,"1,642,879",19.99
2010M03,"17,558,910",3.22,"681,622",-5.92,"6,923,288",-0.09,"8,381,356",4.84,"1,572,644",15.51
2010M04,"17,656,681",3.92,"731,024",-0.92,"6,974,317",1.74,"8,428,523",5.39,"1,522,817",8.70
2010M05,"17,876,975",5.36,"755,702",1.70,"7,111,605",3.94,"8,508,625",6.09,"1,501,042",10.15
2010M06,"17,946,273",5.49,"761,382",2.60,"7,184,952",4.23,"8,580,229",6.27,"1,419,710",9.03
2010M07,"18,075,185",6.06,"773,009",-0.41,"7,232,872",6.70,"8,621,730",6.45,"1,447,573",4.26
2010M08,"18,244,615",6.35,"776,579",1.56,"7,387,100",8.79,"8,619,139",6.10,"1,461,797",-0.99
2010M09,"18,269,525",6.25,"788,410",6.52,"7,382,709",7.95,"8,672,519",6.10,"1,425,887",-1.18
2010M10,"18,352,039",7.18,"793,862",10.64,"7,434,040",8.56,"8,714,418",6.22,"1,409,719",4.25
2010M11,"18,430,201",6.80,"766,036",6.16,"7,507,660",9.50,"8,777,847",6.26,"1,378,658",-2.76
2010M12,"18,735,529",6.73,"791,888",7.91,"7,559,180",8.47,"8,878,965",6.21,"1,505,496",0.95
2011M01,"19,067,816",8.32,"761,892",4.35,"7,681,104",11.84,"8,885,572",6.27,"1,739,249",5.77
2011M02,"19,084,320",8.43,"749,676",6.91,"7,719,139",11.66,"8,861,301",6.20,"1,754,204",6.78
2011M03,"19,132,331",8.96,"776,575",13.93,"7,744,769",11.87,"8,917,798",6.40,"1,693,189",7.67
2011M04,"19,173,644",8.59,"764,993",4.65,"7,824,863",12.20,"8,954,002",6.23,"1,629,786",7.02
2011M05,"19,322,496",8.09,"809,257",7.09,"7,956,394",11.88,"8,972,054",5.45,"1,584,791",5.58
2011M06,"19,333,013",7.73,"819,110",7.58,"8,044,695",11.97,"8,967,580",4.51,"1,501,627",5.77
2011M07,"19,438,129",7.54,"837,804",8.38,"8,076,055",11.66,"8,988,424",4.25,"1,535,846",6.10
2011M08,"19,649,421",7.70,"847,555",9.14,"8,277,545",12.05,"9,014,499",4.59,"1,509,822",3.29
2011M09,"19,719,780",7.94,"835,870",6.02,"8,368,571",13.35,"9,038,809",4.22,"1,476,530",3.55
2011M10,"19,703,687",7.37,"815,402",2.71,"8,354,623",12.38,"9,059,732",3.96,"1,473,930",4.55
2011M11,"19,735,697",7.08,"828,751",8.19,"8,408,458",12.00,"9,087,748",3.53,"1,410,740",2.33
2011M12,"19,819,265",5.78,"824,558",4.13,"8,296,101",9.75,"9,160,805",3.17,"1,537,801",2.15
