期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),國際觀光旅館_原始值,國際觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%),一般觀光旅館_原始值,一般觀光旅館_年增率(%)
1999,80,...,"20,274",...,60.64,-,0,...,56,...,"17,403",...,61.29,-,0,...,24,...,"2,871",...,55.96,-,0,...
2000,80,0.00,"19,928",-1.71,63.89,-,0,-5.67,56,0.00,"17,057",-1.99,64.85,-,0,-5.49,24,0.00,"2,871",0.00,57.37,-,0,-5.33
2001,83,3.75,"20,789",4.32,61.62,-,0,1.78,58,3.57,"17,815",4.44,62.02,-,0,2.35,25,4.17,"2,974",3.59,58.87,-,0,0.46
