期間,對金融機構放款--居住民_原始值,對金融機構放款--居住民_年增率(%),對金融機構放款--非居住民_原始值,對金融機構放款--非居住民_年增率(%),證券投資_原始值,證券投資_年增率(%),對金融機構債權--小計_原始值,對金融機構債權--小計_年增率(%),對金融機構債權--外匯指定銀行_原始值,對金融機構債權--外匯指定銀行_年增率(%),對金融機構債權--OBU相互間_原始值,對金融機構債權--OBU相互間_年增率(%),對金融機構債權--國外金融機構_原始值,對金融機構債權--國外金融機構_年增率(%),其他資產_原始值,其他資產_年增率(%),資產合計=負債合計_原始值,資產合計=負債合計_年增率(%),非金融機構存款_原始值,非金融機構存款_年增率(%),對金融機構負債--小計_原始值,對金融機構負債--小計_年增率(%),對金融機構負債--國內金融機構_原始值,對金融機構負債--國內金融機構_年增率(%),對金融機構負債--OBU相互間_原始值,對金融機構負債--OBU相互間_年增率(%),對金融機構負債--國外金融機構_原始值,對金融機構負債--國外金融機構_年增率(%),證券發行_原始值,證券發行_年增率(%),其他負債_原始值,其他負債_年增率(%)
2010M01,743,-33.00,"30,375",-1.89,"13,893",30.40,"49,864",10.06,"16,173",-2.80,"7,754",204.32,"25,937",-0.70,"7,125",5.42,"102,000",7.61,"31,316",2.33,"62,114",8.95,"48,195",6.13,"7,755",204.36,"6,164",-31.91,357,-50.28,"8,213",27.25
2010M02,743,-32.70,"30,699",3.44,"13,786",29.29,"50,284",-4.18,"18,118",1.84,"8,346",122.56,"23,820",-23.00,"7,504",27.62,"103,016",3.22,"31,591",-0.59,"62,262",1.55,"46,750",-4.20,"8,346",122.56,"7,166",-18.21,358,-48.93,"8,805",46.48
2010M03,712,-33.46,"31,117",6.54,"14,023",26.82,"52,966",-0.17,"16,984",2.05,"9,376",220.33,"26,606",-20.55,"7,438",24.59,"106,256",5.87,"32,100",0.16,"65,330",6.49,"48,774",-2.33,"9,376",220.33,"7,180",-15.39,356,-50.14,"8,470",35.56
2010M04,712,-19.55,"32,130",11.74,"14,618",29.87,"51,054",-6.91,"16,075",-13.19,"9,093",182.39,"25,886",-21.82,"8,352",46.58,"106,866",5.35,"31,834",-1.73,"65,978",6.12,"49,391",-3.10,"9,093",182.48,"7,494",-6.14,357,-49.36,"8,697",41.05
2010M05,712,-19.55,"33,464",16.78,"13,864",19.85,"55,488",2.45,"16,975",-6.05,"10,849",277.23,"27,664",-16.71,"9,520",56.07,"113,048",11.52,"31,337",-4.62,"71,162",15.61,"49,100",-5.31,"10,849",278.81,"11,213",64.10,362,-28.17,"10,187",57.74
2010M06,427,-48.55,"33,988",21.91,"14,008",14.58,"51,691",5.18,"18,409",17.11,"10,387",304.16,"22,895",-25.81,"8,831",43.17,"108,945",13.19,"31,371",-3.78,"67,683",20.07,"45,066",-5.60,"10,388",304.36,"12,229",101.87,368,-26.69,"9,523",40.48
2010M07,245,-70.48,"35,711",30.14,"14,413",19.32,"52,841",12.44,"20,443",19.79,"10,185",345.54,"22,213",-19.64,"8,989",45.78,"112,199",19.99,"32,156",-1.41,"69,753",29.95,"44,225",-1.75,"10,185",345.54,"15,343",140.60,372,-25.45,"9,918",47.63
2010M08,235,-71.69,"36,276",30.76,"15,019",21.06,"54,109",13.91,"23,157",25.09,"9,789",438.45,"21,163",-22.12,"8,929",49.39,"114,568",21.29,"32,878",-1.26,"71,482",32.21,"44,442",-1.79,"9,789",438.45,"17,251",146.51,375,-25.60,"9,833",49.21
2010M09,204,-74.47,"36,547",30.51,"15,458",20.09,"54,843",15.56,"23,603",30.92,"10,192",412.16,"21,048",-23.29,"9,148",33.14,"116,200",21.04,"33,962",0.46,"71,061",30.81,"45,052",-3.26,"10,191",412.11,"15,818",174.52,376,-25.84,"10,801",46.59
2010M10,204,-74.47,"38,998",38.48,"16,135",23.20,"55,546",23.01,"23,676",32.27,"10,440",371.97,"21,430",-14.43,"9,743",45.09,"120,626",28.42,"34,858",5.16,"73,773",40.02,"46,923",8.01,"10,440",372.18,"16,410",133.26,376,-25.69,"11,619",53.16
2010M11,204,-74.47,"39,168",35.57,"15,866",19.12,"53,758",15.94,"21,248",14.71,"10,994",234.06,"21,516",-12.38,"9,429",30.34,"118,425",22.58,"34,031",1.70,"72,029",31.55,"46,171",5.11,"10,994",234.27,"14,864",97.21,372,-27.49,"11,993",52.14
