期間,總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),總計_原始值,總計_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),農、林、漁、牧業_原始值,農、林、漁、牧業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),礦業及土石採取業_原始值,礦業及土石採取業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),製造業_原始值,製造業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),水電燃氣業_原始值,水電燃氣業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),營造業_原始值,營造業_年增率(%),批發及零售業_原始值,批發及零售業_年增率(%),批發及零售業_原始值,批發及零售業_年增率(%),批發及零售業_原始值,批發及零售業_年增率(%),住宿及餐飲業_原始值,住宿及餐飲業_年增率(%),住宿及餐飲業_原始值,住宿及餐飲業_年增率(%),住宿及餐飲業_原始值,住宿及餐飲業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),運輸、倉儲及通信業_原始值,運輸、倉儲及通信業_年增率(%),金融及保險業_原始值,金融及保險業_年增率(%),金融及保險業_原始值,金融及保險業_年增率(%),金融及保險業_原始值,金融及保險業_年增率(%),不動產及租賃業_原始值,不動產及租賃業_年增率(%),不動產及租賃業_原始值,不動產及租賃業_年增率(%),不動產及租賃業_原始值,不動產及租賃業_年增率(%),專業、科學及技術服務業_原始值,專業、科學及技術服務業_年增率(%),專業、科學及技術服務業_原始值,專業、科學及技術服務業_年增率(%),專業、科學及技術服務業_原始值,專業、科學及技術服務業_年增率(%),教育服務業_原始值,教育服務業_年增率(%),教育服務業_原始值,教育服務業_年增率(%),教育服務業_原始值,教育服務業_年增率(%),醫療保健及社會福利服務業_原始值,醫療保健及社會福利服務業_年增率(%),醫療保健及社會福利服務業_原始值,醫療保健及社會福利服務業_年增率(%),醫療保健及社會福利服務業_原始值,醫療保健及社會福利服務業_年增率(%),文化、運動及休閒服務業_原始值,文化、運動及休閒服務業_年增率(%),文化、運動及休閒服務業_原始值,文化、運動及休閒服務業_年增率(%),文化、運動及休閒服務業_原始值,文化、運動及休閒服務業_年增率(%),其他服務業_原始值,其他服務業_年增率(%),其他服務業_原始值,其他服務業_年增率(%),其他服務業_原始值,其他服務業_年增率(%),公共行政業_原始值,公共行政業_年增率(%),公共行政業_原始值,公共行政業_年增率(%),公共行政業_原始值,公共行政業_年增率(%)
1999M01,"9,352",...,"5,632",...,"3,720",...,814,...,577,...,236,...,12,...,9,...,3,...,"2,560",...,"1,576",...,984,...,35,...,30,...,5,...,847,...,752,...,95,...,"1,691",...,901,...,790,...,459,...,213,...,246,...,483,...,394,...,89,...,347,...,146,...,201,...,66,...,44,...,21,...,233,...,131,...,102,...,470,...,160,...,310,...,231,...,75,...,156,...,155,...,85,...,70,...,637,...,338,...,298,...,314,...,200,...,114,...
1999M02,"9,337",...,"5,605",...,"3,732",...,800,...,566,...,234,...,11,...,9,...,2,...,"2,563",...,"1,586",...,978,...,34,...,29,...,5,...,854,...,759,...,95,...,"1,690",...,909,...,781,...,457,...,204,...,253,...,474,...,378,...,96,...,352,...,149,...,203,...,66,...,44,...,22,...,230,...,119,...,111,...,478,...,162,...,317,...,245,...,79,...,167,...,156,...,83,...,73,...,612,...,329,...,283,...,315,...,200,...,115,...
1999M03,"9,275",...,"5,564",...,"3,712",...,791,...,569,...,222,...,11,...,9,...,2,...,"2,577",...,"1,574",...,"1,003",...,34,...,29,...,5,...,839,...,752,...,87,...,"1,669",...,908,...,761,...,448,...,198,...,250,...,458,...,369,...,89,...,356,...,151,...,205,...,64,...,44,...,21,...,220,...,116,...,104,...,488,...,171,...,318,...,239,...,76,...,163,...,164,...,78,...,86,...,599,...,320,...,279,...,318,...,200,...,118,...
1999M04,"9,303",...,"5,597",...,"3,706",...,788,...,571,...,217,...,11,...,9,...,2,...,"2,588",...,"1,577",...,"1,011",...,35,...,29,...,5,...,831,...,742,...,89,...,"1,675",...,913,...,762,...,464,...,204,...,260,...,467,...,378,...,90,...,355,...,164,...,191,...,67,...,41,...,26,...,216,...,116,...,100,...,489,...,172,...,317,...,231,...,72,...,159,...,167,...,83,...,83,...,600,...,325,...,274,...,321,...,200,...,121,...
1999M05,"9,348",...,"5,563",...,"3,785",...,781,...,553,...,228,...,11,...,9,...,2,...,"2,605",...,"1,569",...,"1,036",...,35,...,30,...,5,...,834,...,738,...,96,...,"1,667",...,891,...,777,...,493,...,213,...,280,...,467,...,373,...,95,...,357,...,163,...,194,...,69,...,37,...,31,...,224,...,124,...,100,...,480,...,171,...,309,...,219,...,73,...,147,...,177,...,95,...,82,...,608,...,328,...,279,...,319,...,194,...,125,...
1999M06,"9,385",...,"5,602",...,"3,783",...,777,...,548,...,228,...,11,...,9,...,2,...,"2,618",...,"1,603",...,"1,015",...,35,...,30,...,5,...,837,...,749,...,88,...,"1,679",...,896,...,784,...,488,...,218,...,270,...,473,...,373,...,100,...,362,...,157,...,205,...,65,...,36,...,29,...,241,...,136,...,105,...,469,...,165,...,304,...,225,...,66,...,159,...,175,...,92,...,83,...,614,...,326,...,288,...,316,...,198,...,118,...
1999M07,"9,413",...,"5,640",...,"3,773",...,772,...,554,...,218,...,11,...,9,...,2,...,"2,622",...,"1,616",...,"1,006",...,36,...,31,...,5,...,842,...,750,...,93,...,"1,678",...,913,...,765,...,503,...,232,...,271,...,478,...,379,...,99,...,360,...,151,...,209,...,69,...,42,...,28,...,241,...,130,...,111,...,474,...,156,...,318,...,239,...,68,...,171,...,169,...,86,...,83,...,608,...,326,...,281,...,311,...,198,...,113,...
1999M08,"9,429",...,"5,663",...,"3,767",...,768,...,553,...,215,...,11,...,9,...,2,...,"2,620",...,"1,617",...,"1,003",...,36,...,31,...,5,...,846,...,754,...,92,...,"1,692",...,924,...,768,...,499,...,225,...,274,...,481,...,387,...,94,...,360,...,153,...,208,...,70,...,42,...,29,...,235,...,125,...,110,...,474,...,162,...,312,...,257,...,79,...,177,...,158,...,84,...,74,...,610,...,327,...,282,...,313,...,191,...,122,...
1999M09,"9,376",...,"5,622",...,"3,754",...,748,...,537,...,210,...,11,...,9,...,2,...,"2,603",...,"1,612",...,991,...,36,...,30,...,5,...,839,...,759,...,80,...,"1,692",...,901,...,791,...,474,...,219,...,255,...,488,...,391,...,96,...,368,...,154,...,214,...,67,...,39,...,28,...,233,...,126,...,108,...,465,...,166,...,299,...,250,...,74,...,176,...,164,...,84,...,80,...,622,...,328,...,294,...,317,...,191,...,126,...
1999M10,"9,424",...,"5,639",...,"3,785",...,748,...,541,...,208,...,11,...,9,...,2,...,"2,616",...,"1,620",...,995,...,36,...,31,...,5,...,848,...,756,...,93,...,"1,687",...,899,...,788,...,498,...,220,...,278,...,486,...,387,...,100,...,364,...,149,...,215,...,69,...,42,...,27,...,232,...,121,...,111,...,474,...,176,...,298,...,237,...,76,...,161,...,169,...,86,...,83,...,621,...,324,...,297,...,326,...,202,...,125,...
