期間,合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),合計_原始值,合計_年增率(%),國內航線_原始值,國內航線_年增率(%),國內航線_原始值,國內航線_年增率(%),國內航線_原始值,國內航線_年增率(%),國內航線_原始值,國內航線_年增率(%),國內航線_原始值,國內航線_年增率(%),國際航線_原始值,國際航線_年增率(%),國際航線_原始值,國際航線_年增率(%),國際航線_原始值,國際航線_年增率(%),國際航線_原始值,國際航線_年增率(%),國際航線_原始值,國際航線_年增率(%)
2005M02,"20,392",1.73,"2,166,312",17.34,"4,665,695",12.83,"121,634",-7.43,"786,753",-7.52,"11,816",-8.03,"796,013",4.47,"254,717",6.85,"5,593",32.47,518,-15.05,"8,576",19.13,"1,370,299",26.39,"4,410,978",13.20,"116,041",-8.75,"786,234",-7.52
2005M03,"20,870",-3.63,"2,127,421",5.05,"4,916,393",10.51,"151,884",1.53,"986,988",2.20,"12,034",-11.89,"764,978",-7.71,"243,566",-6.79,"3,888",-9.41,554,-11.79,"8,836",10.46,"1,362,443",13.88,"4,672,827",11.59,"147,996",1.86,"986,434",2.21
2005M04,"20,961",-0.81,"2,242,434",4.91,"4,895,398",7.80,"145,168",4.34,"935,263",4.36,"12,159",-8.62,"831,537",-5.41,"261,074",-5.36,"4,390",3.56,560,-5.52,"8,802",12.46,"1,410,897",12.12,"4,634,324",8.66,"140,778",4.37,"934,702",4.37
2005M05,"21,795",-0.44,"2,319,529",6.48,"5,136,852",6.42,"144,235",-1.99,"921,203",-5.16,"12,821",-6.89,"875,571",-5.47,"274,172",-5.19,"4,455",1.83,587,-7.25,"8,974",10.48,"1,443,958",15.32,"4,862,680",7.16,"139,780",-2.11,"920,616",-5.16
2005M06,"21,967",-1.12,"2,294,444",0.14,"5,262,132",4.19,"152,622",1.73,"975,267",1.36,"12,872",-8.29,"834,289",-8.19,"261,593",-7.41,"4,358",-1.63,579,-6.71,"9,095",11.17,"1,460,155",5.62,"5,000,539",4.88,"148,264",1.84,"974,688",1.37
2005M07,"22,606",-2.84,"2,595,092",3.95,"5,759,107",6.75,"157,930",-3.00,"990,369",-1.96,"13,152",-6.53,"949,323",-3.75,"294,008",-4.33,"5,110",5.43,593,-1.12,"9,454",2.82,"1,645,769",8.99,"5,465,099",7.42,"152,820",-3.26,"989,776",-1.96
2005M08,"22,786",-0.25,"2,456,547",1.62,"5,743,168",9.53,"153,328",0.79,"961,659",1.71,"12,691",-7.99,"830,508",-11.17,"258,401",-10.86,"4,965",8.26,568,-3.83,"10,095",11.55,"1,626,039",9.68,"5,484,766",10.72,"148,363",0.56,"961,091",1.72
2005M09,"20,755",-6.28,"2,143,976",1.19,"4,939,037",7.96,"153,131",1.78,"970,344",0.70,"11,783",-11.96,"759,962",-7.08,"238,692",-7.41,"4,555",-3.39,617,-4.06,"8,972",2.39,"1,384,014",6.39,"4,700,345",8.88,"148,576",1.95,"969,727",0.70
2005M10,"20,942",-3.65,"2,191,954",0.70,"5,017,406",6.90,"164,567",5.48,"1,041,227",1.14,"11,655",-9.54,"755,024",-9.70,"240,058",-9.78,"4,330",0.22,576,-4.96,"9,287",4.93,"1,436,930",7.19,"4,777,347",7.91,"160,237",5.63,"1,040,651",1.15
2005M11,"20,143",-5.45,"2,010,254",-4.54,"4,673,978",3.24,"152,515",3.87,"973,034",1.50,"11,241",-12.29,"706,933",-13.71,"225,168",-13.91,"3,964",-8.62,568,-6.00,"8,902",4.89,"1,303,321",1.30,"4,448,810",4.29,"148,551",4.25,"972,467",1.50
2005M12,"20,742",-1.88,"2,069,307",-2.14,"4,910,895",2.40,"152,917",5.92,"980,486",3.49,"11,557",-7.15,"716,442",-10.34,"229,406",-10.55,"4,186",-8.70,603,-6.54,"9,185",5.67,"1,352,865",2.84,"4,681,489",3.13,"148,731",6.40,"979,884",3.50
2006M01,"20,977",-1.28,"2,154,394",5.85,"5,373,774",10.26,"140,996",4.55,"891,890",1.80,"11,389",-7.65,"720,247",-4.08,"233,695",-2.66,"4,954",4.05,743,6.18,"9,588",7.54,"1,434,147",11.66,"5,140,079",10.93,"136,042",4.56,"891,148",1.79
2006M02,"19,113",-6.27,"2,091,348",-3.46,"4,888,290",4.77,"124,208",2.12,"778,195",-1.09,"10,440",-11.65,"658,010",-17.34,"211,909",-16.81,"4,520",-19.18,488,-5.94,"8,673",1.13,"1,433,338",4.60,"4,676,382",6.02,"119,688",3.14,"777,707",-1.08
2006M03,"20,513",-1.71,"2,157,603",1.42,"5,195,891",5.69,"161,625",6.41,"1,027,582",4.11,"11,191",-7.01,"696,292",-8.98,"223,604",-8.20,"3,960",1.85,501,-9.45,"9,322",5.50,"1,461,311",7.26,"4,972,287",6.41,"157,665",6.53,"1,027,081",4.12
2006M04,"20,620",-1.63,"2,198,894",-1.94,"5,060,633",3.38,"151,690",4.49,"963,886",3.06,"11,310",-6.98,"717,012",-13.77,"226,693",-13.17,"4,154",-5.38,528,-5.84,"9,310",5.77,"1,481,882",5.03,"4,833,939",4.31,"147,536",4.80,"963,358",3.07
2006M05,"21,267",-2.42,"2,158,086",-6.96,"5,115,292",-0.42,"143,123",-0.77,"921,844",0.07,"11,861",-7.49,"731,502",-16.45,"231,121",-15.70,"4,261",-4.35,591,0.74,"9,406",4.81,"1,426,584",-1.20,"4,884,171",0.44,"138,862",-0.66,"921,253",0.07
2006M06,"21,137",-3.78,"2,258,687",-1.56,"5,407,052",2.75,"146,885",-3.76,"971,903",-0.34,"11,949",-7.17,"750,166",-10.08,"235,976",-9.79,"4,177",-4.15,567,-2.00,"9,188",1.02,"1,508,521",3.31,"5,171,076",3.41,"142,708",-3.75,"971,335",-0.34
2006M07,"21,924",-3.02,"2,531,052",-2.47,"5,872,331",1.97,"154,706",-2.04,"1,016,432",2.63,"12,017",-8.63,"809,506",-14.73,"252,460",-14.13,"5,091",-0.37,555,-6.37,"9,907",4.79,"1,721,546",4.60,"5,619,871",2.83,"149,615",-2.10,"1,015,877",2.64
2006M08,"22,138",-2.84,"2,442,457",-0.57,"5,669,769",-1.28,"149,033",-2.80,"957,809",-0.40,"12,472",-1.73,"783,659",-5.64,"247,119",-4.37,"4,949",-0.32,618,8.68,"9,666",-4.25,"1,658,798",2.01,"5,422,650",-1.13,"144,084",-2.88,"957,191",-0.41
2006M09,"20,882",0.61,"2,098,232",-2.13,"4,855,243",-1.70,"152,675",-0.30,"983,031",1.31,"11,469",-2.66,"673,508",-11.38,"215,050",-9.90,"4,330",-4.94,581,-5.77,"9,413",4.92,"1,424,724",2.94,"4,640,193",-1.28,"148,345",-0.16,"982,450",1.31
2006M10,"21,575",3.02,"2,303,603",5.09,"5,257,430",4.78,"155,869",-5.29,"1,001,589",-3.81,"11,603",-0.45,"742,337",-1.68,"239,897",-0.07,"4,974",14.88,615,6.67,"9,972",7.38,"1,561,266",8.65,"5,017,533",5.03,"150,895",-5.83,"1,000,975",-3.81
2006M11,"19,456",-3.41,"2,109,926",4.96,"4,990,106",6.76,"152,303",-0.14,"1,003,924",3.17,"10,046",-10.63,"656,126",-7.19,"213,695",-5.10,"4,043",1.99,583,2.64,"9,410",5.71,"1,453,800",11.55,"4,776,412",7.36,"148,260",-0.20,"1,003,342",3.17
2006M12,"19,887",-4.12,"2,187,850",5.73,"5,357,021",9.08,"151,989",-0.61,"978,234",-0.23,"10,196",-11.78,"667,974",-6.77,"217,416",-5.23,"4,208",0.53,606,0.48,"9,691",5.51,"1,519,876",12.34,"5,139,604",9.79,"147,781",-0.64,"977,628",-0.23
2007M01,"19,486",-7.11,"1,996,661",-7.32,"5,300,356",-1.37,"130,988",-7.10,"815,428",-8.57,"9,945",-12.68,"566,134",-21.40,"183,493",-21.48,"4,261",-13.99,647,-12.87,"9,541",-0.49,"1,430,527",-0.25,"5,116,863",-0.45,"126,727",-6.85,"814,781",-8.57
2007M02,"19,360",1.29,"2,145,561",2.59,"5,045,384",3.21,"119,998",-3.39,"755,102",-2.97,"9,745",-6.66,"604,601",-8.12,"194,639",-8.15,"5,656",25.13,587,20.36,"9,615",10.86,"1,540,960",7.51,"4,850,745",3.73,"114,342",-4.47,"754,515",-2.98
2007M03,"19,325",-5.79,"2,074,365",-3.86,"5,395,781",3.85,"149,565",-7.46,"950,700",-7.48,"9,570",-14.48,"510,396",-26.70,"160,744",-28.11,"5,419",36.84,635,26.69,"9,755",4.64,"1,563,969",7.03,"5,235,037",5.28,"144,146",-8.57,"950,065",-7.50
2007M04,"19,377",-6.03,"2,133,080",-2.99,"5,219,169",3.13,"140,440",-7.42,"904,696",-6.14,"9,565",-15.43,"562,128",-21.60,"174,759",-22.91,"4,161",0.17,459,-12.99,"9,812",5.39,"1,570,952",6.01,"5,044,411",4.35,"136,279",-7.63,"904,237",-6.14
2007M05,"20,138",-5.31,"2,096,892",-2.84,"5,272,920",3.08,"142,397",-0.51,"944,052",2.41,"9,981",-15.85,"555,506",-24.06,"171,059",-25.99,"4,096",-3.87,509,-13.96,"10,157",7.98,"1,541,386",8.05,"5,101,862",4.46,"138,301",-0.40,"943,543",2.42
2007M06,"20,006",-5.35,"2,149,481",-4.83,"5,490,820",1.55,"148,049",0.79,"986,030",1.45,"9,948",-16.75,"544,699",-27.39,"167,336",-29.09,"4,132",-1.08,525,-7.44,"10,058",9.47,"1,604,782",6.38,"5,323,484",2.95,"143,917",0.85,"985,505",1.46
2007M07,"21,092",-3.79,"2,365,536",-6.54,"5,855,746",-0.28,"151,470",-2.09,"976,675",-3.91,"10,586",-11.91,"662,891",-18.11,"199,779",-20.87,"4,958",-2.61,531,-4.27,"10,506",6.05,"1,702,645",-1.10,"5,655,968",0.64,"146,512",-2.07,"976,144",-3.91
2007M08,"19,069",-13.86,"2,148,425",-12.04,"5,704,532",0.61,"146,598",-1.63,"942,566",-1.59,"8,870",-28.88,"493,884",-36.98,"149,613",-39.46,"4,157",-16.00,514,-16.69,"10,199",5.51,"1,654,541",-0.26,"5,554,919",2.44,"142,441",-1.14,"942,052",-1.58
2007M09,"18,860",-9.68,"1,962,108",-6.49,"5,039,723",3.80,"152,371",-0.20,"974,135",-0.90,"8,913",-22.29,"491,276",-27.06,"150,028",-30.24,"4,221",-2.52,539,-7.38,"9,947",5.67,"1,470,832",3.24,"4,889,694",5.38,"148,150",-0.13,"973,597",-0.90
2007M10,"18,359",-14.91,"1,917,209",-16.77,"4,976,609",-5.34,"152,311",-2.28,"982,008",-1.96,"8,342",-28.10,"450,234",-39.35,"142,582",-40.57,"3,705",-25.51,480,-21.92,"10,017",0.45,"1,466,975",-6.04,"4,834,027",-3.66,"148,606",-1.52,"981,528",-1.94
2007M11,"18,143",-6.75,"1,870,019",-11.37,"4,884,378",-2.12,"151,142",-0.76,"985,290",-1.86,"8,483",-15.56,"439,775",-32.97,"139,824",-34.57,"3,676",-9.08,483,-17.18,"9,660",2.66,"1,430,244",-1.62,"4,744,555",-0.67,"147,466",-0.54,"984,807",-1.85
2007M12,"18,682",-6.06,"1,928,732",-11.84,"5,101,657",-4.77,"146,596",-3.55,"928,829",-5.05,"8,580",-15.85,"439,416",-34.22,"138,989",-36.07,"3,941",-6.35,538,-11.18,"10,102",4.24,"1,489,316",-2.01,"4,962,668",-3.44,"142,655",-3.47,"928,291",-5.05
2008M01,"17,579",-9.79,"1,881,882",-5.75,"5,395,679",1.80,"143,241",9.35,"840,273",3.05,"7,878",-20.78,"409,784",-27.62,"129,095",-29.65,"4,241",-0.47,659,1.90,"9,701",1.68,"1,472,098",2.91,"5,266,584",2.93,"139,000",9.68,"839,613",3.05
2008M02,"18,061",-6.71,"1,962,281",-8.54,"4,969,899",-1.50,"124,604",3.84,"753,128",-0.26,"8,394",-13.86,"471,865",-21.95,"145,714",-25.14,"4,883",-13.67,461,-21.49,"9,667",0.54,"1,490,416",-3.28,"4,824,186",-0.55,"119,721",4.70,"752,667",-0.24
