期間,原住民人數_原始值,原住民人數_年增率(%),原住民人數_原始值,原住民人數_年增率(%),原住民人數_原始值,原住民人數_年增率(%),平地原住民人數_原始值,平地原住民人數_年增率(%),平地原住民人數_原始值,平地原住民人數_年增率(%),平地原住民人數_原始值,平地原住民人數_年增率(%),山地原住民人數_原始值,山地原住民人數_年增率(%),山地原住民人數_原始值,山地原住民人數_年增率(%),山地原住民人數_原始值,山地原住民人數_年增率(%)
2011M01,"513,103",1.57,"251,840",1.31,"261,263",1.83,"241,654",1.50,"119,886",1.18,"121,768",1.81,"271,449",1.64,"131,954",1.42,"139,495",1.84
2011M02,"513,640",1.56,"252,089",1.31,"261,551",1.81,"241,910",1.50,"120,014",1.20,"121,896",1.79,"271,730",1.62,"132,075",1.40,"139,655",1.82
2011M03,"514,345",1.55,"252,375",1.30,"261,970",1.79,"242,219",1.47,"120,141",1.19,"122,078",1.75,"272,126",1.62,"132,234",1.40,"139,892",1.83
2011M04,"514,824",1.53,"252,556",1.28,"262,268",1.77,"242,444",1.47,"120,228",1.21,"122,216",1.72,"272,380",1.59,"132,328",1.35,"140,052",1.80
2011M05,"515,371",1.51,"252,795",1.27,"262,576",1.74,"242,683",1.45,"120,336",1.20,"122,347",1.69,"272,688",1.57,"132,459",1.34,"140,229",1.79
2011M06,"515,993",1.50,"253,057",1.27,"262,936",1.71,"242,961",1.43,"120,457",1.20,"122,504",1.65,"273,032",1.56,"132,600",1.34,"140,432",1.77
2011M07,"516,625",1.47,"253,283",1.23,"263,342",1.70,"243,245",1.39,"120,561",1.17,"122,684",1.61,"273,380",1.54,"132,722",1.29,"140,658",1.77
2011M08,"517,455",1.42,"253,649",1.20,"263,806",1.63,"243,618",1.35,"120,729",1.15,"122,889",1.56,"273,837",1.48,"132,920",1.25,"140,917",1.70
2011M09,"518,218",1.41,"253,966",1.19,"264,252",1.63,"243,984",1.33,"120,861",1.09,"123,123",1.56,"274,234",1.49,"133,105",1.28,"141,129",1.69
2011M10,"518,829",1.42,"254,237",1.21,"264,592",1.62,"244,197",1.30,"120,950",1.08,"123,247",1.52,"274,632",1.52,"133,287",1.33,"141,345",1.71
2011M11,"519,402",1.41,"254,454",1.17,"264,948",1.63,"244,456",1.31,"121,060",1.08,"123,396",1.54,"274,946",1.49,"133,394",1.26,"141,552",1.72
2011M12,"519,984",1.42,"254,704",1.20,"265,280",1.63,"244,758",1.34,"121,185",1.13,"123,573",1.56,"275,226",1.49,"133,519",1.27,"141,707",1.70
2012M01,"520,440",1.43,"254,906",1.22,"265,534",1.63,"244,952",1.36,"121,277",1.16,"123,675",1.57,"275,488",1.49,"133,629",1.27,"141,859",1.69
2012M02,"521,183",1.47,"255,262",1.26,"265,921",1.67,"245,319",1.41,"121,444",1.19,"123,875",1.62,"275,864",1.52,"133,818",1.32,"142,046",1.71
2012M03,"521,709",1.43,"255,518",1.25,"266,191",1.61,"245,581",1.39,"121,558",1.18,"124,023",1.59,"276,128",1.47,"133,960",1.31,"142,168",1.63
2012M04,"522,245",1.44,"255,719",1.25,"266,526",1.62,"245,820",1.39,"121,657",1.19,"124,163",1.59,"276,425",1.49,"134,062",1.31,"142,363",1.65
2012M05,"522,942",1.47,"256,008",1.27,"266,934",1.66,"246,161",1.43,"121,825",1.24,"124,336",1.63,"276,781",1.50,"134,183",1.30,"142,598",1.69
2012M06,"523,498",1.45,"256,279",1.27,"267,219",1.63,"246,407",1.42,"121,959",1.25,"124,448",1.59,"277,091",1.49,"134,320",1.30,"142,771",1.67
2012M07,"524,059",1.44,"256,523",1.28,"267,536",1.59,"246,657",1.40,"122,061",1.24,"124,596",1.56,"277,402",1.47,"134,462",1.31,"142,940",1.62
2012M08,"524,854",1.43,"256,848",1.26,"268,006",1.59,"247,006",1.39,"122,200",1.22,"124,806",1.56,"277,848",1.46,"134,648",1.30,"143,200",1.62
2012M09,"525,539",1.41,"257,154",1.26,"268,385",1.56,"247,304",1.36,"122,337",1.22,"124,967",1.50,"278,235",1.46,"134,817",1.29,"143,418",1.62
2012M10,"526,148",1.41,"257,409",1.25,"268,739",1.57,"247,541",1.37,"122,433",1.23,"125,108",1.51,"278,607",1.45,"134,976",1.27,"143,631",1.62
2012M11,"526,720",1.41,"257,650",1.26,"269,070",1.56,"247,784",1.36,"122,532",1.22,"125,252",1.50,"278,936",1.45,"135,118",1.29,"143,818",1.60
2012M12,"527,250",1.40,"257,888",1.25,"269,362",1.54,"248,042",1.34,"122,653",1.21,"125,389",1.47,"279,208",1.45,"135,235",1.29,"143,973",1.60
2013M01,"527,767",1.41,"258,113",1.26,"269,654",1.55,"248,248",1.35,"122,745",1.21,"125,503",1.48,"279,519",1.46,"135,368",1.30,"144,151",1.62
2013M02,"528,232",1.35,"258,300",1.19,"269,932",1.51,"248,480",1.29,"122,833",1.14,"125,647",1.43,"279,752",1.41,"135,467",1.23,"144,285",1.58
2013M03,"528,799",1.36,"258,532",1.18,"270,267",1.53,"248,725",1.28,"122,920",1.12,"125,805",1.44,"280,074",1.43,"135,612",1.23,"144,462",1.61
2013M04,"529,281",1.35,"258,719",1.17,"270,562",1.51,"248,939",1.27,"122,987",1.09,"125,952",1.44,"280,342",1.42,"135,732",1.25,"144,610",1.58
2013M05,"529,784",1.31,"258,934",1.14,"270,850",1.47,"249,149",1.21,"123,067",1.02,"126,082",1.40,"280,635",1.39,"135,867",1.26,"144,768",1.52
2013M06,"530,277",1.29,"259,144",1.12,"271,133",1.46,"249,389",1.21,"123,163",0.99,"126,226",1.43,"280,888",1.37,"135,981",1.24,"144,907",1.50
2013M07,"530,756",1.28,"259,348",1.10,"271,408",1.45,"249,602",1.19,"123,257",0.98,"126,345",1.40,"281,154",1.35,"136,091",1.21,"145,063",1.49
2013M08,"531,435",1.25,"259,635",1.09,"271,800",1.42,"249,918",1.18,"123,409",0.99,"126,509",1.36,"281,517",1.32,"136,226",1.17,"145,291",1.46
2013M09,"532,061",1.24,"259,913",1.07,"272,148",1.40,"250,180",1.16,"123,526",0.97,"126,654",1.35,"281,881",1.31,"136,387",1.16,"145,494",1.45
2013M10,"532,600",1.23,"260,185",1.08,"272,415",1.37,"250,407",1.16,"123,639",0.99,"126,768",1.33,"282,193",1.29,"136,546",1.16,"145,647",1.40
2013M11,"533,139",1.22,"260,423",1.08,"272,716",1.36,"250,606",1.14,"123,719",0.97,"126,887",1.31,"282,533",1.29,"136,704",1.17,"145,829",1.40
2013M12,"533,601",1.20,"260,616",1.06,"272,985",1.35,"250,815",1.12,"123,800",0.94,"127,015",1.30,"282,786",1.28,"136,816",1.17,"145,970",1.39
2014M01,"534,007",1.18,"260,788",1.04,"273,219",1.32,"251,029",1.12,"123,894",0.94,"127,135",1.30,"282,978",1.24,"136,894",1.13,"146,084",1.34
2014M02,"534,561",1.20,"260,983",1.04,"273,578",1.35,"251,290",1.13,"123,965",0.92,"127,325",1.34,"283,271",1.26,"137,018",1.14,"146,253",1.36
2014M03,"534,981",1.17,"261,179",1.02,"273,802",1.31,"251,516",1.12,"124,061",0.93,"127,455",1.31,"283,465",1.21,"137,118",1.11,"146,347",1.30
2014M04,"535,492",1.17,"261,383",1.03,"274,109",1.31,"251,724",1.12,"124,128",0.93,"127,596",1.31,"283,768",1.22,"137,255",1.12,"146,513",1.32
2014M05,"535,953",1.16,"261,562",1.01,"274,391",1.31,"251,965",1.13,"124,225",0.94,"127,740",1.32,"283,988",1.19,"137,337",1.08,"146,651",1.30
2014M06,"536,509",1.18,"261,798",1.02,"274,711",1.32,"252,174",1.12,"124,311",0.93,"127,863",1.30,"284,335",1.23,"137,487",1.11,"146,848",1.34
2014M07,"537,103",1.20,"262,028",1.03,"275,075",1.35,"252,457",1.14,"124,422",0.95,"128,035",1.34,"284,646",1.24,"137,606",1.11,"147,040",1.36
2014M08,"537,766",1.19,"262,303",1.03,"275,463",1.35,"252,756",1.14,"124,526",0.91,"128,230",1.36,"285,010",1.24,"137,777",1.14,"147,233",1.34
